大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,VC長野トライデンツ,27,91,217,112,19,51.6,42.857142857142854,0,0,0,-,,1.23,30,0.33,294,4,7,60,62,3.9,53,28,11,63.2,112,30,11,153
レギュラーラウンド,VC長野トライデンツ,27,91,217,112,19,51.6,42.857142857142854,0,0,0,-,,1.23,30,0.33,294,4,7,60,62,3.9,53,28,11,63.2,112,30,11,153
V.LEAGUE DIVISION1 MEN 2018-19,VC長野トライデンツ,22,54,179,81,18,45.3,35.19553072625698,25,9,6,36.0,12.0,1.5,15,0.28,161,8,5,46,48,8.4,7,3,1,50.0,81,15,13,109
レギュラーラウンド,VC長野トライデンツ,22,54,179,81,18,45.3,35.19553072625698,25,9,6,36.0,12.0,1.5,15,0.28,161,8,5,46,48,8.4,7,3,1,50.0,81,15,13,109
Ｖ・チャレンジリーグⅠ男子 2017/18,VC長野トライデンツ,21,83,356,198,29,55.6,47.47191011235955,0,0,0,-,,2.39,27,0.33,260,13,15,43,71,13.5,14,9,2,71.4,198,27,28,253
レギュラーラウンド,VC長野トライデンツ,21,83,356,198,29,55.6,47.47191011235955,0,0,0,-,,2.39,27,0.33,260,13,15,43,71,13.5,14,9,2,71.4,198,27,28,253
Ｖ・チャレンジリーグⅠ男子 2016/17,VC長野トライデンツ,21,76,290,156,24,53.8,45.51724137931035,0,0,0,-,,2.05,35,0.46,207,1,2,15,71,9.8,17,9,0,52.9,156,35,3,194
レギュラーラウンド,VC長野トライデンツ,21,76,290,156,24,53.8,45.51724137931035,0,0,0,-,,2.05,35,0.46,207,1,2,15,71,9.8,17,9,0,52.9,156,35,3,194
Ｖ・チャレンジリーグⅡ男子 2015/16,VC長野トライデンツ,18,61,194,115,10,59.3,54.123711340206185,0,0,0,-,,1.89,34,0.56,202,0,4,22,64,9.5,7,6,0,85.7,115,34,4,153
レギュラーラウンド,VC長野トライデンツ,18,61,194,115,10,59.3,54.123711340206185,0,0,0,-,,1.89,34,0.56,202,0,4,22,64,9.5,7,6,0,85.7,115,34,4,153
レギュラーシーズン通算,,109,365,1236,662,100,53.6,45.46925566343042,25,9,6,36.0,12.0,1.81,141,0.39,1124,26,33,186,316,8.1,98,55,14,63.3,662,141,59,862
通算,,109,365,1236,662,100,53.6,45.46925566343042,25,9,6,36.0,12.0,1.81,141,0.39,1124,26,33,186,316,8.1,98,55,14,63.3,662,141,59,862
