大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,東レアローズ,25,80,187,103,10,55.1,49.73262032085562,1,0,0,0.0,0.0,1.29,42,0.53,196,2,1,7,34,5.0,23,13,5,67.4,103,42,3,148
レギュラーラウンド,東レアローズ,25,80,187,103,10,55.1,49.73262032085562,1,0,0,0.0,0.0,1.29,42,0.53,196,2,1,7,34,5.0,23,13,5,67.4,103,42,3,148
V.LEAGUE DIVISION1 MEN 2018-19,東レアローズ,17,54,90,47,4,52.2,47.77777777777778,0,0,0,-,,0.87,38,0.70,161,3,6,10,36,9.6,14,7,4,64.3,47,38,9,94
レギュラーラウンド,東レアローズ,16,50,85,44,4,51.8,47.05882352941176,0,0,0,-,,0.88,36,0.72,154,3,6,10,35,9.9,13,6,4,61.5,44,36,9,89
ファイナル６,東レアローズ,1,4,5,3,0,60.0,60.0,0,0,0,-,,0.75,2,0.50,7,0,0,0,1,3.6,1,1,0,100.0,3,2,0,5
Ｖ・プレミアリーグ男子 2017/18,東レアローズ,23,68,184,96,12,52.2,45.65217391304348,0,0,0,-,,1.41,41,0.60,234,6,3,32,66,7.5,11,8,3,86.4,96,41,9,146
レギュラーラウンド,東レアローズ,18,51,144,75,11,52.1,44.44444444444444,0,0,0,-,,1.47,36,0.71,175,2,2,26,44,4.9,5,3,2,80.0,75,36,4,115
ファイナル６,東レアローズ,5,17,40,21,1,52.5,50.0,0,0,0,-,,1.24,5,0.29,59,4,1,6,22,15.3,6,5,1,91.7,21,5,5,31
天皇杯全日本選手権大会,,1,5,19,10,2,52.6,42.10526315789473,0,0,0,-,,2.00,5,1.00,18,0,1,6,7,6.9,3,2,0,66.7,10,5,1,16
レギュラーラウンド,,1,5,19,10,2,52.6,42.10526315789473,0,0,0,-,,2.00,5,1.00,18,0,1,6,7,6.9,3,2,0,66.7,10,5,1,16
Ｖ・プレミアリーグ男子 2016/17,東レアローズ,26,95,248,146,10,58.9,54.83870967741935,0,0,0,-,,1.54,63,0.66,403,8,18,41,156,15.2,11,7,0,63.6,146,63,26,235
