大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,東レアローズ,56,86,135,84,7,62.2,57.03703703703704,1,1,0,100.0,100.0,0.98,36,0.42,189,6,3,39,27,3.2,5,3,2,80.0,84,36,9,129
レギュラーラウンド,ジェイテクトSTINGS,26,77,124,79,7,63.7,58.06451612903226,1,1,0,100.0,100.0,1.03,34,0.44,178,5,3,36,26,3.1,5,3,2,80.0,79,34,8,121
セミファイナル（３位決定戦）,ジェイテクトSTINGS,1,4,9,4,0,44.4,44.44444444444444,0,0,0,-,,1.00,1,0.25,9,0,0,3,0,-8.3,0,0,0,-,4,1,0,5
ファイナル,ジェイテクトSTINGS,1,5,2,1,0,50.0,50.0,0,0,0,-,,0.20,1,0.20,2,1,0,0,1,62.5,0,0,0,-,1,1,1,3
V.LEAGUE DIVISION1 MEN 2018-19,東レアローズ,34,92,88,45,1,51.1,50.0,0,0,0,-,,0.49,19,0.21,97,4,1,30,19,2.3,6,4,2,83.3,45,19,5,69
レギュラーラウンド,東レアローズ,27,68,85,43,1,50.6,49.411764705882355,0,0,0,-,,0.63,17,0.25,93,3,1,30,18,1.1,6,4,2,83.3,43,17,4,64
ファイナル６,東レアローズ,5,17,3,2,0,66.7,66.66666666666666,0,0,0,-,,0.12,2,0.12,4,1,0,0,1,31.2,0,0,0,-,2,2,1,5
ファイナル３,東レアローズ,2,7,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,東レアローズ,26,72,151,80,5,53.0,49.668874172185426,0,0,0,-,,1.11,34,0.47,166,5,2,29,47,6.9,3,1,2,66.7,80,34,7,121
レギュラーラウンド,東レアローズ,21,54,130,72,3,55.4,53.07692307692308,0,0,0,-,,1.33,27,0.50,137,4,2,23,36,6.8,2,1,1,75.0,72,27,6,105
ファイナル６,東レアローズ,5,18,21,8,2,38.1,28.57142857142857,0,0,0,-,,0.44,7,0.39,29,1,0,6,11,7.8,1,0,1,50.0,8,7,1,16
天皇杯全日本選手権大会,,1,3,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,1,3,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,東レアローズ,18,7,19,12,0,63.2,63.1578947368421,0,0,0,-,,1.71,2,0.29,20,1,1,6,7,17.8,0,0,0,-,12,2,2,16
レギュラーラウンド,東レアローズ,14,7,19,12,0,63.2,63.1578947368421,0,0,0,-,,1.71,2,0.29,20,1,1,6,7,17.8,0,0,0,-,12,2,2,16
ファイナル６,東レアローズ,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,東レアローズ,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
天皇杯全日本選手権大会,,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,東レアローズ,26,50,82,41,6,50.0,42.68292682926829,0,0,0,-,,0.82,19,0.38,82,4,0,19,27,13.1,2,2,0,100.0,41,19,4,64
レギュラーラウンド,東レアローズ,20,45,77,39,6,50.6,42.857142857142854,0,0,0,-,,0.87,18,0.40,76,4,0,19,25,13.5,2,2,0,100.0,39,18,4,61
ファイナル６,東レアローズ,5,4,5,2,0,40.0,40.0,0,0,0,-,,0.50,1,0.25,6,0,0,0,2,8.3,0,0,0,-,2,1,0,3
ファイナル３,東レアローズ,1,1,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2014/15,東レアローズ,5,11,0,0,0,-,,0,0,0,-,,-,0,-,5,0,0,3,1,5.0,0,0,0,-,0,0,0,0
レギュラーラウンド,東レアローズ,5,11,0,0,0,-,,0,0,0,-,,-,0,-,5,0,0,3,1,5.0,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2013/14,東レアローズ,3,5,0,0,0,-,,0,0,0,-,,-,0,-,1,0,0,0,1,25.0,0,0,0,-,0,0,0,0
レギュラーラウンド,東レアローズ,3,5,0,0,0,-,,0,0,0,-,,-,0,-,1,0,0,0,1,25.0,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,116,267,435,245,17,56.3,52.41379310344828,1,1,0,100.0,100.0,0.92,98,0.37,510,17,7,117,114,4.6,15,10,5,83.3,245,98,24,367
通算,,171,326,475,262,19,55.2,51.1578947368421,1,1,0,100.0,100.0,0.80,110,0.34,560,20,7,126,129,5.0,16,10,6,81.2,262,110,27,399
