大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,JTサンダーズ広島,24,35,58,38,4,65.5,58.620689655172406,0,0,0,-,,1.09,13,0.37,81,2,2,17,14,4.0,7,2,2,42.9,38,13,4,55
レギュラーラウンド,JTサンダーズ広島,23,33,58,38,4,65.5,58.620689655172406,0,0,0,-,,1.15,12,0.36,78,2,2,16,13,4.2,5,2,1,50.0,38,12,4,54
GAME2（4位決定戦）,JTサンダーズ広島,1,2,0,0,0,-,,0,0,0,-,,-,1,0.50,3,0,0,1,1,0.0,2,0,1,25.0,0,1,0,1
V.LEAGUE DIVISION1 MEN 2018-19,JTサンダーズ,18,26,34,21,1,61.8,58.82352941176471,0,0,0,-,,0.81,9,0.35,57,2,0,4,4,3.5,10,6,1,65.0,21,9,2,32
レギュラーラウンド,JTサンダーズ,18,26,34,21,1,61.8,58.82352941176471,0,0,0,-,,0.81,9,0.35,57,2,0,4,4,3.5,10,6,1,65.0,21,9,2,32
Ｖ・プレミアリーグ男子 2017/18,JTサンダーズ,26,91,135,70,13,51.9,42.22222222222222,0,0,0,-,,0.77,31,0.34,234,0,4,16,28,3.0,33,17,9,65.2,70,31,4,105
レギュラーラウンド,JTサンダーズ,18,62,91,42,9,46.2,36.26373626373626,0,0,0,-,,0.68,19,0.31,153,0,2,11,22,3.1,28,14,8,64.3,42,19,2,63
ファイナル６,JTサンダーズ,5,20,29,19,3,65.5,55.172413793103445,0,0,0,-,,0.95,7,0.35,55,0,0,2,3,0.5,3,2,1,83.3,19,7,0,26
ファイナル３,JTサンダーズ,3,9,15,9,1,60.0,53.333333333333336,0,0,0,-,,1.00,5,0.56,26,0,2,3,3,7.7,2,1,0,50.0,9,5,2,16
Ｖ・プレミアリーグ男子 2016/17,JTサンダーズ,15,40,77,42,2,54.5,51.94805194805194,1,0,0,0.0,0.0,1.05,16,0.40,104,0,4,20,18,7.4,1,0,0,0.0,42,16,4,62
レギュラーラウンド,JTサンダーズ,15,40,77,42,2,54.5,51.94805194805194,1,0,0,0.0,0.0,1.05,16,0.40,104,0,4,20,18,7.4,1,0,0,0.0,42,16,4,62
チャレンジマッチ男子2016/17,JTサンダーズ,2,7,16,9,1,56.2,50.0,0,0,0,-,,1.29,1,0.14,20,1,0,0,6,12.5,4,2,0,50.0,9,1,1,11
チャレンジマッチ,JTサンダーズ,2,7,16,9,1,56.2,50.0,0,0,0,-,,1.29,1,0.14,20,1,0,0,6,12.5,4,2,0,50.0,9,1,1,11
Ｖ・プレミアリーグ男子 2015/16,JTサンダーズ,26,69,119,75,4,63.0,59.66386554621849,0,0,0,-,,1.09,25,0.36,206,4,6,33,60,11.6,17,10,0,58.8,75,25,10,110
レギュラーラウンド,JTサンダーズ,21,48,81,52,2,64.2,61.72839506172839,0,0,0,-,,1.08,17,0.35,137,2,3,24,38,10.1,15,9,0,60.0,52,17,5,74
ファイナル６,JTサンダーズ,5,21,38,23,2,60.5,55.26315789473685,0,0,0,-,,1.10,8,0.38,69,2,3,9,22,14.3,2,1,0,50.0,23,8,5,36
Ｖ・プレミアリーグ男子 2014/15,JTサンダーズ,10,6,6,3,1,50.0,33.33333333333333,0,0,0,-,,0.50,1,0.17,12,0,0,2,4,8.3,0,0,0,-,3,1,0,4
レギュラーラウンド,JTサンダーズ,8,4,2,2,0,100.0,100.0,0,0,0,-,,0.50,1,0.25,6,0,0,1,2,8.3,0,0,0,-,2,1,0,3
ファイナル６,JTサンダーズ,2,2,4,1,1,25.0,0.0,0,0,0,-,,0.50,0,-,6,0,0,1,2,8.3,0,0,0,-,1,0,0,1
Ｖ・プレミアリーグ男子 2013/14,JTサンダーズ,3,5,11,5,2,45.5,27.27272727272727,0,0,0,-,,1.00,1,0.20,14,1,0,4,2,10.7,3,0,0,0.0,5,1,1,7
レギュラーラウンド,JTサンダーズ,3,5,11,5,2,45.5,27.27272727272727,0,0,0,-,,1.00,1,0.20,14,1,0,4,2,10.7,3,0,0,0.0,5,1,1,7
Ｖ・チャレンジリーグ男子 2012/13,近畿クラブスフィーダ,11,34,103,47,8,45.6,37.86407766990291,4,2,1,50.0,25.0,1.38,17,0.50,69,0,0,14,17,6.2,2,2,0,100.0,47,17,0,64
レギュラーラウンド,近畿クラブスフィーダ,11,34,103,47,8,45.6,37.86407766990291,4,2,1,50.0,25.0,1.38,17,0.50,69,0,0,14,17,6.2,2,2,0,100.0,47,17,0,64
Ｖ・チャレンジリーグ男子 2011/12,近畿クラブスフィーダ,10,29,157,52,23,33.1,18.471337579617835,18,2,7,11.1,-27.77777777777778,1.79,10,0.34,72,1,2,10,11,7.4,4,1,0,25.0,52,10,3,65
レギュラーラウンド,近畿クラブスフィーダ,7,19,116,34,18,29.3,13.793103448275861,16,2,6,12.5,-25.0,1.79,6,0.32,50,1,1,5,4,5.6,4,1,0,25.0,34,6,2,42
下位リーグ,近畿クラブスフィーダ,3,10,41,18,5,43.9,31.70731707317073,2,0,1,0.0,-50.0,1.80,4,0.40,22,0,1,5,7,11.6,0,0,0,-,18,4,1,23
Ｖ・チャレンジリーグ男子 2010/11,近畿クラブスフィーダ,15,39,189,89,31,47.1,30.687830687830687,28,11,9,39.3,7.142857142857142,2.28,22,0.56,100,0,2,10,27,8.3,10,4,0,40.0,89,22,2,113
レギュラーラウンド,近畿クラブスフィーダ,15,39,189,89,31,47.1,30.687830687830687,28,11,9,39.3,7.142857142857142,2.28,22,0.56,100,0,2,10,27,8.3,10,4,0,40.0,89,22,2,113
レギュラーシーズン通算,,139,310,762,372,77,48.8,38.71391076115486,49,15,16,30.6,-2.0408163265306123,1.20,120,0.39,768,8,14,109,147,4.1,78,38,10,55.1,372,120,22,514
通算,,160,381,905,451,90,49.8,39.889502762430936,51,15,17,29.4,-3.9215686274509802,1.18,146,0.38,969,11,20,130,191,4.8,91,44,12,54.9,451,146,31,628
