大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,JTサンダーズ広島,28,97,299,190,11,63.5,59.86622073578596,1,0,0,0.0,0.0,1.96,72,0.74,355,11,10,47,86,8.7,38,19,7,59.2,190,72,21,283
レギュラーラウンド,JTサンダーズ広島,27,93,280,184,9,65.7,62.5,1,0,0,0.0,0.0,1.98,69,0.74,343,11,10,44,81,8.8,37,18,7,58.1,184,69,21,274
GAME2（4位決定戦）,JTサンダーズ広島,1,4,19,6,2,31.6,21.052631578947366,0,0,0,-,,1.5,3,0.75,12,0,0,3,5,4.2,1,1,0,100.0,6,3,0,9
V.LEAGUE DIVISION1 MEN 2018-19,JTサンダーズ,36,133,397,234,17,58.9,54.65994962216625,0,0,0,-,,1.76,93,0.7,547,10,14,48,141,8.6,46,20,13,57.6,234,93,24,351
レギュラーラウンド,JTサンダーズ,27,98,298,178,12,59.7,55.70469798657718,0,0,0,-,,1.82,75,0.77,406,8,10,38,104,8.5,37,18,10,62.2,178,75,18,271
ファイナル６,JTサンダーズ,5,18,54,29,1,53.7,51.85185185185185,0,0,0,-,,1.61,6,0.33,65,0,2,6,17,7.3,2,1,1,75.0,29,6,2,37
ファイナル３,JTサンダーズ,2,9,20,13,2,65.0,55.00000000000001,0,0,0,-,,1.44,6,0.67,39,0,1,1,10,8.3,2,0,1,25.0,13,6,1,20
ファイナル,JTサンダーズ,2,8,25,14,2,56.0,48.0,0,0,0,-,,1.75,6,0.75,37,2,1,3,10,12.8,5,1,1,30.0,14,6,3,23
Ｖ・プレミアリーグ男子 2017/18,JTサンダーズ,15,58,162,91,8,56.2,51.23456790123457,0,0,0,-,,1.57,33,0.57,226,0,1,17,49,4.0,17,9,6,70.6,91,33,1,125
レギュラーラウンド,JTサンダーズ,7,29,78,43,2,55.1,52.56410256410257,0,0,0,-,,1.48,20,0.69,107,0,0,10,19,2.1,11,4,6,63.6,43,20,0,63
ファイナル６,JTサンダーズ,5,20,61,32,4,52.5,45.90163934426229,0,0,0,-,,1.6,11,0.55,86,0,0,5,19,4.1,4,4,0,100.0,32,11,0,43
ファイナル３,JTサンダーズ,3,9,23,16,2,69.6,60.86956521739131,0,0,0,-,,1.78,2,0.22,33,0,1,2,11,9.8,2,1,0,50.0,16,2,1,19
レギュラーシーズン通算,,61,220,656,405,23,61.7,58.231707317073166,1,0,0,0.0,0.0,1.84,164,0.75,856,19,20,92,204,7.8,85,40,23,60.6,405,164,39,608
通算,,79,288,858,515,36,60.0,55.82750582750583,1,0,0,0.0,0.0,1.79,198,0.69,1128,21,25,112,276,7.7,101,48,26,60.4,515,198,46,759
