大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,大分三好ヴァイセアドラー,27,76,112,56,7,50.0,43.75,0,0,0,-,,0.74,11,0.14,148,2,2,29,29,2.7,8,4,2,62.5,56,11,4,71
レギュラーラウンド,大分三好ヴァイセアドラー,27,76,112,56,7,50.0,43.75,0,0,0,-,,0.74,11,0.14,148,2,2,29,29,2.7,8,4,2,62.5,56,11,4,71
V.LEAGUE DIVISION1 MEN 2018-19,大分三好ヴァイセアドラー,14,9,12,5,0,41.7,41.66666666666667,0,0,0,-,,0.56,0,-,15,1,0,1,3,10.0,1,1,0,100.0,5,0,1,6
レギュラーラウンド,大分三好ヴァイセアドラー,14,9,12,5,0,41.7,41.66666666666667,0,0,0,-,,0.56,0,-,15,1,0,1,3,10.0,1,1,0,100.0,5,0,1,6
Ｖ・チャレンジリーグⅡ男子 2017/18,近畿クラブスフィーダ,6,23,89,36,3,40.4,37.07865168539326,1,0,0,0.0,0.0,1.57,9,0.39,49,0,2,5,18,10.7,1,0,0,0.0,36,9,2,47
レギュラーラウンド,近畿クラブスフィーダ,6,23,89,36,3,40.4,37.07865168539326,1,0,0,0.0,0.0,1.57,9,0.39,49,0,2,5,18,10.7,1,0,0,0.0,36,9,2,47
Ｖ・チャレンジリーグⅡ男子 2016/17,近畿クラブスフィーダ,7,19,115,49,9,42.6,34.78260869565217,36,15,6,41.7,25.0,2.58,10,0.53,46,1,1,14,16,12.6,0,0,0,-,49,10,2,61
レギュラーラウンド,近畿クラブスフィーダ,7,19,115,49,9,42.6,34.78260869565217,36,15,6,41.7,25.0,2.58,10,0.53,46,1,1,14,16,12.6,0,0,0,-,49,10,2,61
Ｖ・チャレンジリーグⅡ男子 2015/16,近畿クラブスフィーダ,11,27,118,60,17,50.8,36.440677966101696,24,8,9,33.3,-4.166666666666666,2.22,10,0.37,89,0,2,19,17,6.6,0,0,0,-,60,10,2,72
レギュラーラウンド,近畿クラブスフィーダ,11,27,118,60,17,50.8,36.440677966101696,24,8,9,33.3,-4.166666666666666,2.22,10,0.37,89,0,2,19,17,6.6,0,0,0,-,60,10,2,72
レギュラーシーズン通算,,65,154,446,206,36,46.2,38.11659192825112,61,23,15,37.7,13.114754098360656,1.34,40,0.26,347,4,7,68,83,4.3,10,5,2,60.0,206,40,11,257
通算,,65,154,446,206,36,46.2,38.11659192825112,61,23,15,37.7,13.114754098360656,1.34,40,0.26,347,4,7,68,83,4.3,10,5,2,60.0,206,40,11,257
