大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,大分三好ヴァイセアドラー,27,88,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,445,169,123,51.8,0,0,0,0
レギュラーラウンド,大分三好ヴァイセアドラー,27,88,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,445,169,123,51.8,0,0,0,0
V.LEAGUE DIVISION2 MEN 2018-19,大同特殊鋼レッドスター,24,81,220,87,14,39.5,33.18181818181819,3,0,1,0.0,-33.33333333333333,1.07,12,0.15,114,1,9,16,19,9.4,443,222,102,61.6,87,12,10,109
レギュラーラウンド,大同特殊鋼レッドスター,24,81,220,87,14,39.5,33.18181818181819,3,0,1,0.0,-33.33333333333333,1.07,12,0.15,114,1,9,16,19,9.4,443,222,102,61.6,87,12,10,109
Ｖ・チャレンジリーグⅠ男子 2017/18,大同特殊鋼レッドスター,21,79,531,211,34,39.7,33.33333333333333,10,4,3,40.0,10.0,2.67,22,0.28,277,6,8,60,68,5.8,421,218,104,64.1,211,22,14,247
レギュラーラウンド,大同特殊鋼レッドスター,21,79,531,211,34,39.7,33.33333333333333,10,4,3,40.0,10.0,2.67,22,0.28,277,6,8,60,68,5.8,421,218,104,64.1,211,22,14,247
Ｖ・チャレンジリーグⅠ男子 2016/17,大同特殊鋼レッドスター,21,77,545,227,41,41.7,34.12844036697248,10,1,2,10.0,-10.0,2.95,14,0.18,271,11,7,68,78,13.3,789,500,0,63.4,227,14,18,259
レギュラーラウンド,大同特殊鋼レッドスター,21,77,545,227,41,41.7,34.12844036697248,10,1,2,10.0,-10.0,2.95,14,0.18,271,11,7,68,78,13.3,789,500,0,63.4,227,14,18,259
Ｖ・チャレンジリーグⅠ男子 2015/16,大同特殊鋼レッドスター,21,80,631,276,78,43.7,31.378763866877975,60,20,13,33.3,11.666666666666666,3.45,11,0.14,302,5,3,52,96,10.4,522,338,0,64.8,276,11,8,295
レギュラーラウンド,大同特殊鋼レッドスター,21,80,631,276,78,43.7,31.378763866877975,60,20,13,33.3,11.666666666666666,3.45,11,0.14,302,5,3,52,96,10.4,522,338,0,64.8,276,11,8,295
Ｖ・チャレンジリーグ男子 2014/15,大同特殊鋼レッドスター,22,74,364,138,42,37.9,26.373626373626376,29,8,7,27.6,3.4482758620689653,1.86,21,0.28,204,0,3,27,53,7.7,505,304,0,60.2,138,21,3,162
レギュラーラウンド,大同特殊鋼レッドスター,22,74,364,138,42,37.9,26.373626373626376,29,8,7,27.6,3.4482758620689653,1.86,21,0.28,204,0,3,27,53,7.7,505,304,0,60.2,138,21,3,162
レギュラーシーズン通算,,136,479,2291,939,209,41.0,31.86381492797905,112,33,26,29.5,6.25,1.96,80,0.17,1168,23,30,223,314,6.5,3125,1751,329,61.3,939,80,53,1072
通算,,136,479,2291,939,209,41.0,31.86381492797905,112,33,26,29.5,6.25,1.96,80,0.17,1168,23,30,223,314,6.5,3125,1751,329,61.3,939,80,53,1072
