大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,FC東京,26,98,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,54,32,7,65.7,0,0,0,0
レギュラーラウンド,FC東京,26,98,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,54,32,7,65.7,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,FC東京,27,95,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,451,199,109,56.2,0,0,0,0
レギュラーラウンド,FC東京,27,95,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,451,199,109,56.2,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,FC東京,21,70,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,377,161,101,56.1,0,0,0,0
レギュラーラウンド,FC東京,21,70,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,377,161,101,56.1,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,FC東京,21,75,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,423,271,0,64.1,0,0,0,0
レギュラーラウンド,FC東京,21,75,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,423,271,0,64.1,0,0,0,0
チャレンジマッチ男子2016/17,FC東京,2,7,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,38,17,0,44.7,0,0,0,0
チャレンジマッチ,FC東京,2,7,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,38,17,0,44.7,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,FC東京,21,81,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,397,222,0,55.9,0,0,0,0
