大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,堺ブレイザーズ,25,82,286,128,23,44.8,36.71328671328671,41,19,8,46.3,26.82926829268293,1.56,19,0.23,200,4,8,48,25,3.1,437,170,124,53.1,128,19,12,159
レギュラーラウンド,堺ブレイザーズ,24,79,269,120,23,44.6,36.059479553903344,39,18,8,46.2,25.64102564102564,1.52,19,0.24,194,4,8,46,25,3.5,414,164,115,53.5,120,19,12,151
GAME1（5位決定戦）,堺ブレイザーズ,1,3,17,8,0,47.1,47.05882352941176,2,1,0,50.0,50.0,2.67,0,-,6,0,0,2,0,-8.3,23,6,9,45.7,8,0,0,8
V.LEAGUE DIVISION1 MEN 2018-19,堺ブレイザーズ,32,120,661,327,44,49.5,42.81391830559758,31,21,2,67.7,61.29032258064516,2.73,36,0.30,397,12,15,130,89,4.2,1050,398,272,50.9,327,36,27,390
レギュラーラウンド,堺ブレイザーズ,27,99,542,273,38,50.4,43.35793357933579,27,19,2,70.4,62.96296296296296,2.76,30,0.30,338,10,14,109,75,4.6,845,323,219,51.2,273,30,24,327
ファイナル６,堺ブレイザーズ,5,21,119,54,6,45.4,40.33613445378151,4,2,0,50.0,50.0,2.57,6,0.29,59,2,1,21,14,2.1,205,75,53,49.5,54,6,3,63
Ｖ・プレミアリーグ男子 2017/18,堺ブレイザーズ,12,41,213,91,10,42.7,38.028169014084504,2,2,0,100.0,100.0,2.22,12,0.29,112,1,0,31,22,-1.1,292,100,85,48.8,91,12,1,104
レギュラーラウンド,堺ブレイザーズ,12,41,213,91,10,42.7,38.028169014084504,2,2,0,100.0,100.0,2.22,12,0.29,112,1,0,31,22,-1.1,292,100,85,48.8,91,12,1,104
Ｖ・プレミアリーグ男子 2016/17,堺ブレイザーズ,26,78,334,162,23,48.5,41.61676646706587,6,1,1,16.7,0.0,2.08,23,0.29,255,1,8,53,81,10.8,572,285,0,49.8,162,23,9,194
レギュラーラウンド,堺ブレイザーズ,21,58,240,114,17,47.5,40.416666666666664,4,1,0,25.0,25.0,1.97,19,0.33,189,1,8,36,66,12.6,413,212,0,51.3,114,19,9,142
ファイナル６,堺ブレイザーズ,5,20,94,48,6,51.1,44.680851063829785,2,0,1,0.0,-50.0,2.4,4,0.20,66,0,0,17,15,5.7,159,73,0,45.9,48,4,0,52
Ｖ・プレミアリーグ男子 2015/16,堺ブレイザーズ,6,14,45,20,4,44.4,35.55555555555556,3,3,0,100.0,100.0,1.43,6,0.43,52,3,0,13,15,13.0,81,44,0,54.3,20,6,3,29
レギュラーラウンド,堺ブレイザーズ,2,5,18,9,2,50.0,38.88888888888889,3,3,0,100.0,100.0,1.8,1,0.20,21,1,0,6,9,15.5,33,19,0,57.6,9,1,1,11
ファイナル６,堺ブレイザーズ,4,9,27,11,2,40.7,33.33333333333333,0,0,0,-,,1.22,5,0.56,31,2,0,7,6,11.3,48,25,0,52.1,11,5,2,18
レギュラーシーズン通算,,86,282,1282,607,90,47.3,40.32761310452418,75,43,10,57.3,44.0,2.15,81,0.29,854,17,30,228,197,4.6,1997,818,419,51.5,607,81,47,735
通算,,101,335,1539,728,104,47.3,40.5458089668616,83,46,11,55.4,42.168674698795186,2.17,96,0.29,1016,21,31,275,232,4.1,2432,997,481,50.9,728,96,52,876
