大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
V.LEAGUE DIVISION1 MEN 2018-19,FC東京,27,65,368,156,29,42.4,34.51086956521739,117,41,12,35.0,24.786324786324787,2.40,5,0.08,179,3,3,27,47,6.1,214,83,54,51.4,156,5,6,167
レギュラーラウンド,FC東京,27,65,368,156,29,42.4,34.51086956521739,117,41,12,35.0,24.786324786324787,2.40,5,0.08,179,3,3,27,47,6.1,214,83,54,51.4,156,5,6,167
Ｖ・プレミアリーグ男子 2017/18,FC東京,19,68,328,142,19,43.3,37.5,48,21,1,43.8,41.66666666666667,2.09,11,0.16,232,6,5,22,73,10.2,384,164,98,55.5,142,11,11,164
レギュラーラウンド,FC東京,19,68,328,142,19,43.3,37.5,48,21,1,43.8,41.66666666666667,2.09,11,0.16,232,6,5,22,73,10.2,384,164,98,55.5,142,11,11,164
Ｖ・プレミアリーグ男子 2016/17,FC東京,20,32,155,80,9,51.6,45.806451612903224,55,26,4,47.3,40.0,2.50,10,0.31,83,0,1,12,28,9.4,27,6,0,22.2,80,10,1,91
レギュラーラウンド,FC東京,20,32,155,80,9,51.6,45.806451612903224,55,26,4,47.3,40.0,2.50,10,0.31,83,0,1,12,28,9.4,27,6,0,22.2,80,10,1,91
チャレンジマッチ男子2016/17,FC東京,2,4,1,0,0,0.0,0.0,0,0,0,-,,-,0,-,4,0,0,0,2,12.5,0,0,0,-,0,0,0,0
チャレンジマッチ,FC東京,2,4,1,0,0,0.0,0.0,0,0,0,-,,-,0,-,4,0,0,0,2,12.5,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,FC東京,14,32,19,6,1,31.6,26.31578947368421,9,3,0,33.3,33.33333333333333,0.19,1,0.03,50,0,0,6,17,8.5,1,0,0,0.0,6,1,0,7
レギュラーラウンド,FC東京,14,32,19,6,1,31.6,26.31578947368421,9,3,0,33.3,33.33333333333333,0.19,1,0.03,50,0,0,6,17,8.5,1,0,0,0.0,6,1,0,7
Ｖ・プレミアリーグ男子 2014/15,FC東京,18,53,29,10,0,34.5,34.48275862068966,8,2,0,25.0,25.0,0.19,1,0.02,72,2,0,6,29,12.8,1,0,0,0.0,10,1,2,13
レギュラーラウンド,FC東京,18,53,29,10,0,34.5,34.48275862068966,8,2,0,25.0,25.0,0.19,1,0.02,72,2,0,6,29,12.8,1,0,0,0.0,10,1,2,13
チャレンジマッチ男子2014/15,FC東京,2,6,6,2,0,33.3,33.33333333333333,2,0,0,0.0,0.0,0.33,0,-,9,0,0,2,3,8.3,0,0,0,-,2,0,0,2
チャレンジマッチ,FC東京,2,6,6,2,0,33.3,33.33333333333333,2,0,0,0.0,0.0,0.33,0,-,9,0,0,2,3,8.3,0,0,0,-,2,0,0,2
レギュラーシーズン通算,,98,250,899,394,58,43.8,37.37486095661847,237,93,17,39.2,32.06751054852321,1.58,28,0.11,616,11,9,73,194,8.2,627,253,152,52.5,394,28,20,442
通算,,102,260,906,396,58,43.7,37.30684326710817,239,93,17,38.9,31.799163179916317,1.52,28,0.11,629,11,9,75,199,8.1,627,253,152,52.5,396,28,20,444
