大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,大分三好ヴァイセアドラー,16,16,12,6,1,50.0,41.66666666666667,0,0,0,-,,0.38,0,-,20,1,0,3,2,3.8,4,3,0,75.0,6,0,1,7
レギュラーラウンド,大分三好ヴァイセアドラー,16,16,12,6,1,50.0,41.66666666666667,0,0,0,-,,0.38,0,-,20,1,0,3,2,3.8,4,3,0,75.0,6,0,1,7
レギュラーシーズン通算,,16,16,12,6,1,50.0,41.66666666666667,0,0,0,-,,0.38,0,-,20,1,0,3,2,3.8,4,3,0,75.0,6,0,1,7
通算,,16,16,12,6,1,50.0,41.66666666666667,0,0,0,-,,0.38,0,-,20,1,0,3,2,3.8,4,3,0,75.0,6,0,1,7
