大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,28,85,652,338,32,51.8,46.93251533742331,210,107,12,51.0,45.23809523809524,3.98,28,0.33,296,13,12,45,96,12.8,14,3,6,42.9,338,28,25,391
レギュラーラウンド,パナソニックパンサーズ,27,80,611,319,28,52.2,47.62684124386252,199,103,10,51.8,46.733668341708544,3.99,28,0.35,283,13,12,40,94,13.6,12,3,4,41.7,319,28,25,372
ファイナル,パナソニックパンサーズ,1,5,41,19,4,46.3,36.58536585365854,11,4,2,36.4,18.181818181818183,3.80,0,-,13,0,0,5,2,-5.8,2,0,2,50.0,19,0,0,19
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,5,12,17,9,3,52.9,35.294117647058826,1,0,1,0.0,-100.0,0.75,1,0.08,8,0,1,1,3,18.8,0,0,0,-,9,1,1,11
レギュラーラウンド,パナソニックパンサーズ,2,7,7,5,1,71.4,57.14285714285714,0,0,0,-,,0.71,0,-,5,0,1,1,2,25.0,0,0,0,-,5,0,1,6
ファイナル６,パナソニックパンサーズ,1,2,4,1,0,25.0,25.0,0,0,0,-,,0.50,0,-,2,0,0,0,1,12.5,0,0,0,-,1,0,0,1
ファイナル,パナソニックパンサーズ,2,3,6,3,2,50.0,16.666666666666664,1,0,1,0.0,-100.0,1.00,1,0.33,1,0,0,0,0,0.0,0,0,0,-,3,1,0,4
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,23,82,630,346,38,54.9,48.888888888888886,229,115,22,50.2,40.61135371179039,4.22,36,0.44,286,7,12,41,95,11.4,6,1,1,25.0,346,36,19,401
レギュラーラウンド,パナソニックパンサーズ,19,71,547,299,33,54.7,48.62888482632541,196,99,17,50.5,41.83673469387755,4.21,31,0.44,246,6,12,37,78,11.5,5,1,1,30.0,299,31,18,348
ファイナル６,パナソニックパンサーズ,4,11,83,47,5,56.6,50.602409638554214,33,16,5,48.5,33.33333333333333,4.27,5,0.45,40,1,0,4,17,10.6,1,0,0,0.0,47,5,1,53
天皇杯全日本選手権大会,,2,9,84,48,2,57.1,54.761904761904766,34,15,2,44.1,38.23529411764706,5.33,5,0.56,38,3,1,5,10,13.8,0,0,0,-,48,5,4,57
レギュラーラウンド,,2,9,84,48,2,57.1,54.761904761904766,34,15,2,44.1,38.23529411764706,5.33,5,0.56,38,3,1,5,10,13.8,0,0,0,-,48,5,4,57
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,15,48,372,197,27,53.0,45.69892473118279,121,60,9,49.6,42.14876033057851,4.10,22,0.46,163,3,4,34,45,10.7,3,3,0,100.0,197,22,7,226
レギュラーラウンド,パナソニックパンサーズ,14,47,371,196,27,52.8,45.55256064690027,121,60,9,49.6,42.14876033057851,4.17,22,0.47,163,3,4,34,45,10.7,3,3,0,100.0,196,22,7,225
ファイナル６,パナソニックパンサーズ,1,1,1,1,0,100.0,100.0,0,0,0,-,,1.00,0,-,0,0,0,0,0,-,0,0,0,-,1,0,0,1
Ｖ・プレミアリーグ男子 2015/16,パナソニックパンサーズ,28,107,1068,537,77,50.3,43.07116104868914,470,229,43,48.7,39.57446808510638,5.02,48,0.45,447,15,18,63,183,16.8,13,3,0,23.1,537,48,33,618
レギュラーラウンド,パナソニックパンサーズ,21,82,827,420,62,50.8,43.288996372430475,367,185,33,50.4,41.41689373297003,5.12,37,0.45,359,12,15,45,146,16.9,10,1,0,10.0,420,37,27,484
ファイナル６,パナソニックパンサーズ,5,15,147,75,6,51.0,46.93877551020408,58,27,4,46.6,39.6551724137931,5.00,7,0.47,53,2,3,10,21,18.2,3,2,0,66.7,75,7,5,87
ファイナル３,パナソニックパンサーズ,1,5,42,22,2,52.4,47.61904761904761,17,7,2,41.2,29.411764705882355,4.40,3,0.60,22,1,0,6,9,14.8,0,0,0,-,22,3,1,26
