大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,FC東京,27,72,95,48,4,50.5,46.31578947368421,0,0,0,-,,0.67,14,0.19,210,2,6,11,67,10.5,19,4,10,47.4,48,14,8,70
レギュラーラウンド,FC東京,27,72,95,48,4,50.5,46.31578947368421,0,0,0,-,,0.67,14,0.19,210,2,6,11,67,10.5,19,4,10,47.4,48,14,8,70
V.LEAGUE DIVISION1 MEN 2018-19,FC東京,26,88,214,86,10,40.2,35.51401869158878,0,0,0,-,,0.98,28,0.32,301,1,8,39,97,7.8,10,2,3,35.0,86,28,9,123
レギュラーラウンド,FC東京,26,88,214,86,10,40.2,35.51401869158878,0,0,0,-,,0.98,28,0.32,301,1,8,39,97,7.8,10,2,3,35.0,86,28,9,123
Ｖ・プレミアリーグ男子 2017/18,FC東京,2,4,4,1,1,25.0,0.0,0,0,0,-,,0.25,0,-,3,0,0,1,1,0.0,0,0,0,-,1,0,0,1
レギュラーラウンド,FC東京,2,4,4,1,1,25.0,0.0,0,0,0,-,,0.25,0,-,3,0,0,1,1,0.0,0,0,0,-,1,0,0,1
Ｖ・プレミアリーグ男子 2016/17,FC東京,20,45,26,14,2,53.8,46.15384615384615,1,0,0,0.0,0.0,0.31,1,0.02,25,2,0,3,12,20.0,18,5,0,27.8,14,1,2,17
レギュラーラウンド,FC東京,20,45,26,14,2,53.8,46.15384615384615,1,0,0,0.0,0.0,0.31,1,0.02,25,2,0,3,12,20.0,18,5,0,27.8,14,1,2,17
チャレンジマッチ男子2016/17,FC東京,2,1,0,0,0,-,,0,0,0,-,,-,0,-,1,0,0,0,1,25.0,0,0,0,-,0,0,0,0
チャレンジマッチ,FC東京,2,1,0,0,0,-,,0,0,0,-,,-,0,-,1,0,0,0,1,25.0,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,FC東京,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,FC東京,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,77,209,339,149,17,44.0,38.93805309734513,1,0,0,0.0,0.0,0.71,43,0.21,539,5,14,54,177,9.2,47,11,13,37.2,149,43,19,211
通算,,79,210,339,149,17,44.0,38.93805309734513,1,0,0,0.0,0.0,0.71,43,0.20,540,5,14,54,178,9.3,47,11,13,37.2,149,43,19,211
