大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,28,95,23,12,2,52.2,43.47826086956522,0,0,0,-,,0.13,17,0.18,400,11,20,32,122,13.4,7,0,0,0.0,12,17,31,60
レギュラーラウンド,パナソニックパンサーズ,27,90,23,12,2,52.2,43.47826086956522,0,0,0,-,,0.13,16,0.18,379,11,18,30,116,13.3,7,0,0,0.0,12,16,29,57
ファイナル,パナソニックパンサーズ,1,5,0,0,0,-,,0,0,0,-,,-,1,0.20,21,0,2,2,6,14.3,0,0,0,-,0,1,2,3
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,34,123,29,20,0,69.0,68.96551724137932,1,0,0,0.0,0.0,0.16,23,0.19,550,2,7,26,164,7.9,7,1,0,14.3,20,23,9,52
レギュラーラウンド,パナソニックパンサーズ,27,96,23,16,0,69.6,69.56521739130434,1,0,0,0.0,0.0,0.17,20,0.21,435,2,6,21,133,8.3,7,1,0,14.3,16,20,8,44
ファイナル６,パナソニックパンサーズ,5,19,4,3,0,75.0,75.0,0,0,0,-,,0.16,1,0.05,81,0,0,5,20,4.6,0,0,0,-,3,1,0,4
ファイナル,パナソニックパンサーズ,2,8,2,1,0,50.0,50.0,0,0,0,-,,0.12,2,0.25,34,0,1,0,11,11.0,0,0,0,-,1,2,1,4
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,26,96,24,15,1,62.5,58.333333333333336,1,0,0,0.0,0.0,0.16,10,0.10,380,11,11,23,97,10.7,8,1,0,12.5,15,10,22,47
レギュラーラウンド,パナソニックパンサーズ,19,71,13,8,0,61.5,61.53846153846154,1,0,0,0.0,0.0,0.11,6,0.08,275,7,9,17,75,11.1,6,1,0,16.7,8,6,16,30
ファイナル６,パナソニックパンサーズ,5,17,10,7,0,70.0,70.0,0,0,0,-,,0.41,1,0.06,77,4,2,5,15,11.0,0,0,0,-,7,1,6,14
ファイナル,パナソニックパンサーズ,2,8,1,0,1,0.0,-100.0,0,0,0,-,,-,3,0.38,28,0,0,1,7,5.4,2,0,0,0.0,0,3,0,3
天皇杯全日本選手権大会,,2,9,1,0,0,0.0,0.0,0,0,0,-,,-,1,0.11,42,1,2,1,13,14.3,0,0,0,-,0,1,3,4
レギュラーラウンド,,2,9,1,0,0,0.0,0.0,0,0,0,-,,-,1,0.11,42,1,2,1,13,14.3,0,0,0,-,0,1,3,4
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,26,97,28,16,2,57.1,50.0,0,0,0,-,,0.16,9,0.09,405,6,12,27,158,13.6,6,0,0,0.0,16,9,18,43
レギュラーラウンド,パナソニックパンサーズ,21,79,23,13,1,56.5,52.17391304347826,0,0,0,-,,0.16,7,0.09,358,6,12,25,134,13.7,5,0,0,0.0,13,7,18,38
ファイナル６,パナソニックパンサーズ,5,18,5,3,1,60.0,40.0,0,0,0,-,,0.17,2,0.11,47,0,0,2,24,12.8,1,0,0,0.0,3,2,0,5
Ｖ・プレミアリーグ男子 2015/16,パナソニックパンサーズ,28,106,25,14,2,56.0,48.0,1,0,0,0.0,0.0,0.13,18,0.17,397,2,8,20,155,11.9,4,0,0,0.0,14,18,10,42
レギュラーラウンド,パナソニックパンサーズ,21,81,19,10,2,52.6,42.10526315789473,1,0,0,0.0,0.0,0.12,16,0.20,308,2,5,15,114,11.2,2,0,0,0.0,10,16,7,33
