大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,ウルフドッグス名古屋,19,28,69,36,2,52.2,49.275362318840585,0,0,0,-,,1.29,10,0.36,87,1,3,16,23,6.6,2,0,1,25.0,36,10,4,50
レギュラーラウンド,ウルフドッグス名古屋,19,28,69,36,2,52.2,49.275362318840585,0,0,0,-,,1.29,10,0.36,87,1,3,16,23,6.6,2,0,1,25.0,36,10,4,50
V.LEAGUE DIVISION1 MEN 2018-19,豊田合成トレフェルサ,32,19,29,20,2,69.0,62.06896551724138,0,0,0,-,,1.05,2,0.11,44,0,1,5,10,5.1,1,1,0,100.0,20,2,1,23
レギュラーラウンド,豊田合成トレフェルサ,27,15,23,17,1,73.9,69.56521739130434,0,0,0,-,,1.13,2,0.13,34,0,1,5,5,2.9,0,0,0,-,17,2,1,20
ファイナル６,豊田合成トレフェルサ,5,4,6,3,1,50.0,33.33333333333333,0,0,0,-,,0.75,0,-,10,0,0,0,5,12.5,1,1,0,100.0,3,0,0,3
Ｖ・プレミアリーグ男子 2017/18,豊田合成トレフェルサ,31,7,14,8,1,57.1,50.0,0,0,0,-,,1.14,2,0.29,18,0,0,5,3,-2.8,0,0,0,-,8,2,0,10
レギュラーラウンド,豊田合成トレフェルサ,21,5,12,6,1,50.0,41.66666666666667,0,0,0,-,,1.20,2,0.40,14,0,0,3,3,0.0,0,0,0,-,6,2,0,8
ファイナル６,豊田合成トレフェルサ,5,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル３,豊田合成トレフェルサ,3,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,豊田合成トレフェルサ,2,2,2,2,0,100.0,100.0,0,0,0,-,,1.00,0,-,4,0,0,2,0,-12.5,0,0,0,-,2,0,0,2
天皇杯全日本選手権大会,,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,豊田合成トレフェルサ,30,13,1,0,0,0.0,0.0,0,0,0,-,,-,0,-,1,0,0,0,0,0.0,0,0,0,-,0,0,0,0
レギュラーラウンド,豊田合成トレフェルサ,20,7,0,0,0,-,,0,0,0,-,,-,0,-,1,0,0,0,0,0.0,0,0,0,-,0,0,0,0
ファイナル６,豊田合成トレフェルサ,5,5,1,0,0,0.0,0.0,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル３,豊田合成トレフェルサ,3,1,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,豊田合成トレフェルサ,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
天皇杯全日本選手権大会,,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,豊田合成トレフェルサ,27,15,11,7,1,63.6,54.54545454545454,0,0,0,-,,0.47,1,0.07,16,0,0,5,1,1.6,0,0,0,-,7,1,0,8
レギュラーラウンド,豊田合成トレフェルサ,21,14,11,7,1,63.6,54.54545454545454,0,0,0,-,,0.50,1,0.07,15,0,0,5,1,1.7,0,0,0,-,7,1,0,8
ファイナル６,豊田合成トレフェルサ,5,1,0,0,0,-,,0,0,0,-,,-,0,-,1,0,0,0,0,0.0,0,0,0,-,0,0,0,0
ファイナル,豊田合成トレフェルサ,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2014/15,豊田合成トレフェルサ,27,50,90,55,3,61.1,57.77777777777777,0,0,0,-,,1.10,21,0.42,121,0,1,30,29,6.7,1,0,0,0.0,55,21,1,77
レギュラーラウンド,豊田合成トレフェルサ,21,41,82,49,3,59.8,56.09756097560976,0,0,0,-,,1.20,20,0.49,110,0,1,27,26,6.6,1,0,0,0.0,49,20,1,70
ファイナル６,豊田合成トレフェルサ,5,7,8,6,0,75.0,75.0,0,0,0,-,,0.86,1,0.14,11,0,0,3,3,6.8,0,0,0,-,6,1,0,7
ファイナル３,豊田合成トレフェルサ,1,2,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2013/14,豊田合成トレフェルサ,20,70,139,66,11,47.5,39.568345323741006,0,0,0,-,,0.94,19,0.27,211,0,2,33,57,7.5,4,2,0,50.0,66,19,2,87
レギュラーラウンド,豊田合成トレフェルサ,20,70,139,66,11,47.5,39.568345323741006,0,0,0,-,,0.94,19,0.27,211,0,2,33,57,7.5,4,2,0,50.0,66,19,2,87
Ｖ・プレミアリーグ男子 2012/13,豊田合成トレフェルサ,10,7,34,12,7,35.3,14.705882352941178,15,6,4,40.0,13.333333333333334,1.71,2,0.29,16,0,0,4,3,4.7,0,0,0,-,12,2,0,14
レギュラーラウンド,豊田合成トレフェルサ,10,7,34,12,7,35.3,14.705882352941178,15,6,4,40.0,13.333333333333334,1.71,2,0.29,16,0,0,4,3,4.7,0,0,0,-,12,2,0,14
Ｖ・チャレンジリーグ男子 2011/12,近畿クラブスフィーダ,7,21,211,86,22,40.8,30.33175355450237,67,27,9,40.3,26.865671641791046,4.10,11,0.52,57,1,1,13,6,5.8,8,1,0,12.5,86,11,2,99
レギュラーラウンド,近畿クラブスフィーダ,6,19,190,77,20,40.5,30.0,62,24,9,38.7,24.193548387096776,4.05,8,0.42,53,1,1,13,4,5.3,8,1,0,12.5,77,8,2,87
下位リーグ,近畿クラブスフィーダ,1,2,21,9,2,42.9,33.33333333333333,5,3,0,60.0,60.0,4.50,3,1.50,4,0,0,0,2,12.5,0,0,0,-,9,3,0,12
Ｖ・チャレンジリーグ男子 2010/11,近畿クラブスフィーダ,14,50,308,136,25,44.2,36.038961038961034,33,6,6,18.2,0.0,2.72,13,0.26,146,0,0,6,20,3.4,30,13,0,43.3,136,13,0,149
レギュラーラウンド,近畿クラブスフィーダ,14,50,308,136,25,44.2,36.038961038961034,33,6,6,18.2,0.0,2.72,13,0.26,146,0,0,6,20,3.4,30,13,0,43.3,136,13,0,149
Ｖ・チャレンジリーグ男子 2009/10,近畿クラブスフィーダ,14,46,264,116,32,43.9,31.818181818181817,54,18,13,33.3,9.25925925925926,2.52,14,0.30,114,2,0,9,27,7.7,4,3,0,75.0,116,14,2,132
レギュラーラウンド,近畿クラブスフィーダ,10,32,189,84,19,44.4,34.39153439153439,41,16,8,39.0,19.51219512195122,2.62,5,0.16,68,0,0,7,11,4.0,4,3,0,75.0,84,5,0,89
下位リーグ,近畿クラブスフィーダ,4,14,75,32,13,42.7,25.333333333333336,13,2,5,15.4,-23.076923076923077,2.29,9,0.64,46,2,0,2,16,13.0,0,0,0,-,32,9,2,43
レギュラーシーズン通算,,189,288,1057,490,90,46.4,37.84295175023652,151,52,27,34.4,16.55629139072848,1.70,82,0.28,755,2,8,119,153,2.5,49,19,1,39.8,490,82,10,582
通算,,235,326,1170,542,106,46.3,37.26495726495727,169,57,32,33.7,14.792899408284024,1.66,95,0.29,831,4,8,126,179,3.0,50,20,1,41.0,542,95,12,649
