大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,6,6,0,0,0,-,,0,0,0,-,,-,0,-,7,0,0,3,0,-10.7,0,0,0,-,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,6,6,0,0,0,-,,0,0,0,-,,-,0,-,7,0,0,3,0,-10.7,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,11,6,0,0,0,-,,0,0,0,-,,-,0,-,3,0,0,0,0,0.0,0,0,0,-,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,11,6,0,0,0,-,,0,0,0,-,,-,0,-,3,0,0,0,0,0.0,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,26,38,0,0,0,-,,0,0,0,-,,-,0,-,44,0,1,8,6,1.1,23,9,3,45.7,0,0,1,1
レギュラーラウンド,パナソニックパンサーズ,19,30,0,0,0,-,,0,0,0,-,,-,0,-,33,0,1,8,4,0.0,23,9,3,45.7,0,0,1,1
ファイナル６,パナソニックパンサーズ,5,8,0,0,0,-,,0,0,0,-,,-,0,-,11,0,0,0,2,4.5,0,0,0,-,0,0,0,0
ファイナル,パナソニックパンサーズ,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
天皇杯全日本選手権大会,,2,4,1,0,0,0.0,0.0,1,0,0,0.0,0.0,-,0,-,5,0,0,2,1,-5.0,1,1,0,100.0,0,0,0,0
レギュラーラウンド,,2,4,1,0,0,0.0,0.0,1,0,0,0.0,0.0,-,0,-,5,0,0,2,1,-5.0,1,1,0,100.0,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,26,15,0,0,0,-,,0,0,0,-,,-,0,-,16,0,0,1,5,7.8,19,9,0,47.4,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,21,15,0,0,0,-,,0,0,0,-,,-,0,-,16,0,0,1,5,7.8,19,9,0,47.4,0,0,0,0
ファイナル６,パナソニックパンサーズ,5,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,パナソニックパンサーズ,28,49,0,0,0,-,,0,0,0,-,,-,0,-,29,0,0,9,6,5.2,42,17,0,40.5,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,21,36,0,0,0,-,,0,0,0,-,,-,0,-,29,0,0,9,6,5.2,24,10,0,41.7,0,0,0,0
ファイナル６,パナソニックパンサーズ,5,7,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,13,5,0,38.5,0,0,0,0
ファイナル３,パナソニックパンサーズ,1,3,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,3,1,0,33.3,0,0,0,0
ファイナル,パナソニックパンサーズ,1,3,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,2,1,0,50.0,0,0,0,0
Ｖ・プレミアリーグ男子 2014/15,パナソニックパンサーズ,2,8,0,0,0,-,,0,0,0,-,,-,0,-,11,1,0,3,4,18.2,0,0,0,-,0,0,1,1
ファイナル６,パナソニックパンサーズ,2,8,0,0,0,-,,0,0,0,-,,-,0,-,11,1,0,3,4,18.2,0,0,0,-,0,0,1,1
レギュラーシーズン通算,,78,93,0,0,0,-,,0,0,0,-,,-,0,-,88,0,1,21,15,-0.6,66,28,3,44.7,0,0,1,1
通算,,101,126,1,0,0,0.0,0.0,1,0,0,0.0,0.0,-,0,-,115,1,1,26,22,0.9,85,36,3,44.1,0,0,2,2
