大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,JTサンダーズ広島,28,60,125,53,13,42.4,32.0,7,3,0,42.9,42.857142857142854,0.88,6,0.10,123,2,1,17,33,5.7,201,110,27,61.4,53,6,3,62
レギュラーラウンド,JTサンダーズ広島,27,57,124,53,13,42.7,32.25806451612903,7,3,0,42.9,42.857142857142854,0.93,6,0.11,121,2,1,15,33,6.2,199,108,27,61.1,53,6,3,62
GAME2（4位決定戦）,JTサンダーズ広島,1,3,1,0,0,0.0,0.0,0,0,0,-,,-,0,-,2,0,0,2,0,-25.0,2,2,0,100.0,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,JTサンダーズ,34,66,94,33,10,35.1,24.46808510638298,4,3,0,75.0,75.0,0.50,8,0.12,122,0,1,15,30,3.9,176,73,49,55.4,33,8,1,42
レギュラーラウンド,JTサンダーズ,25,40,71,26,7,36.6,26.76056338028169,1,1,0,100.0,100.0,0.65,8,0.20,94,0,1,11,23,4.3,124,51,33,54.4,26,8,1,35
ファイナル６,JTサンダーズ,5,16,20,6,2,30.0,20.0,2,2,0,100.0,100.0,0.38,0,-,23,0,0,4,5,1.1,39,17,15,62.8,6,0,0,6
ファイナル３,JTサンダーズ,2,3,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,3,2,1,83.3,0,0,0,0
ファイナル,JTサンダーズ,2,7,3,1,1,33.3,0.0,1,0,0,0.0,0.0,0.14,0,-,5,0,0,0,2,10.0,10,3,0,30.0,1,0,0,1
Ｖ・プレミアリーグ男子 2017/18,JTサンダーズ,15,42,121,49,12,40.5,30.57851239669421,7,3,1,42.9,28.57142857142857,1.17,5,0.12,148,1,2,20,33,4.2,232,83,80,53.0,49,5,3,57
レギュラーラウンド,JTサンダーズ,7,17,51,25,4,49.0,41.17647058823529,5,3,1,60.0,40.0,1.47,1,0.06,63,1,2,8,15,7.5,63,30,21,64.3,25,1,3,29
ファイナル６,JTサンダーズ,5,16,44,19,7,43.2,27.27272727272727,1,0,0,0.0,0.0,1.19,2,0.12,63,0,0,11,11,0.0,109,35,40,50.5,19,2,0,21
ファイナル３,JTサンダーズ,3,9,26,5,1,19.2,15.384615384615385,1,0,0,0.0,0.0,0.56,2,0.22,22,0,0,1,7,6.8,60,18,19,45.8,5,2,0,7
レギュラーシーズン通算,,59,114,246,104,24,42.3,32.52032520325203,13,7,1,53.8,46.15384615384615,0.91,15,0.13,278,3,4,34,71,5.8,386,189,81,59.5,104,15,7,126
通算,,77,168,340,135,35,39.7,29.411764705882355,18,9,1,50.0,44.44444444444444,0.80,19,0.11,393,3,4,52,96,4.6,609,266,156,56.5,135,19,7,161
