大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,JTサンダーズ広島,13,11,12,4,1,33.3,25.0,0,0,0,-,,0.36,1,0.09,6,0,0,1,2,4.2,10,1,1,15.0,4,1,0,5
レギュラーラウンド,JTサンダーズ広島,13,11,12,4,1,33.3,25.0,0,0,0,-,,0.36,1,0.09,6,0,0,1,2,4.2,10,1,1,15.0,4,1,0,5
V.LEAGUE DIVISION1 MEN 2018-19,JTサンダーズ,5,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,JTサンダーズ,5,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,JTサンダーズ,9,8,8,3,0,37.5,37.5,1,0,0,0.0,0.0,0.38,0,-,3,0,0,0,0,0.0,5,2,1,50.0,3,0,0,3
レギュラーラウンド,JTサンダーズ,9,8,8,3,0,37.5,37.5,1,0,0,0.0,0.0,0.38,0,-,3,0,0,0,0,0.0,5,2,1,50.0,3,0,0,3
Ｖ・プレミアリーグ男子 2016/17,JTサンダーズ,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,JTサンダーズ,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,28,19,20,7,1,35.0,30.0,1,0,0,0.0,0.0,0.37,1,0.05,9,0,0,1,2,2.8,15,3,2,26.7,7,1,0,8
通算,,28,19,20,7,1,35.0,30.0,1,0,0,0.0,0.0,0.37,1,0.05,9,0,0,1,2,2.8,15,3,2,26.7,7,1,0,8
