大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,FC東京,26,82,227,117,12,51.5,46.25550660792951,0,0,0,-,,1.43,29,0.35,294,5,3,22,83,7.9,31,17,7,66.1,117,29,8,154
レギュラーラウンド,FC東京,26,82,227,117,12,51.5,46.25550660792951,0,0,0,-,,1.43,29,0.35,294,5,3,22,83,7.9,31,17,7,66.1,117,29,8,154
V.LEAGUE DIVISION1 MEN 2018-19,FC東京,27,41,90,45,2,50.0,47.77777777777778,0,0,0,-,,1.1,19,0.46,81,1,2,11,19,6.2,8,5,1,68.8,45,19,3,67
レギュラーラウンド,FC東京,27,41,90,45,2,50.0,47.77777777777778,0,0,0,-,,1.1,19,0.46,81,1,2,11,19,6.2,8,5,1,68.8,45,19,3,67
Ｖ・プレミアリーグ男子 2017/18,FC東京,13,36,73,37,4,50.7,45.20547945205479,0,0,0,-,,1.03,19,0.53,111,1,2,21,24,3.4,4,1,2,50.0,37,19,3,59
レギュラーラウンド,FC東京,13,36,73,37,4,50.7,45.20547945205479,0,0,0,-,,1.03,19,0.53,111,1,2,21,24,3.4,4,1,2,50.0,37,19,3,59
Ｖ・プレミアリーグ男子 2016/17,FC東京,3,5,13,5,1,38.5,30.76923076923077,0,0,0,-,,1.0,2,0.40,11,0,0,3,2,4.5,0,0,0,-,5,2,0,7
レギュラーラウンド,FC東京,3,5,13,5,1,38.5,30.76923076923077,0,0,0,-,,1.0,2,0.40,11,0,0,3,2,4.5,0,0,0,-,5,2,0,7
Ｖ・プレミアリーグ男子 2015/16,FC東京,7,14,21,8,2,38.1,28.57142857142857,0,0,0,-,,0.57,7,0.50,26,0,0,7,9,8.7,2,2,0,100.0,8,7,0,15
レギュラーラウンド,FC東京,7,14,21,8,2,38.1,28.57142857142857,0,0,0,-,,0.57,7,0.50,26,0,0,7,9,8.7,2,2,0,100.0,8,7,0,15
チャレンジマッチ男子2014/15,FC東京,2,1,1,1,0,100.0,100.0,0,0,0,-,,1.0,0,-,1,0,0,1,0,0.0,0,0,0,-,1,0,0,1
チャレンジマッチ,FC東京,2,1,1,1,0,100.0,100.0,0,0,0,-,,1.0,0,-,1,0,0,1,0,0.0,0,0,0,-,1,0,0,1
レギュラーシーズン通算,,76,178,424,212,21,50.0,45.04716981132076,0,0,0,-,,1.19,76,0.43,523,7,7,64,137,6.2,45,25,10,66.7,212,76,14,302
通算,,78,179,425,213,21,50.1,45.1764705882353,0,0,0,-,,1.19,76,0.42,524,7,7,65,137,6.1,45,25,10,66.7,213,76,14,303
