大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,JTサンダーズ広島,22,29,3,1,0,33.3,33.33333333333333,0,0,0,-,,0.03,2,0.07,25,0,0,1,8,7.0,0,0,0,-,1,2,0,3
レギュラーラウンド,JTサンダーズ広島,21,28,3,1,0,33.3,33.33333333333333,0,0,0,-,,0.04,2,0.07,25,0,0,1,8,7.0,0,0,0,-,1,2,0,3
GAME2（4位決定戦）,JTサンダーズ広島,1,1,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,JTサンダーズ,36,15,0,0,0,-,,0,0,0,-,,-,3,0.20,13,0,0,0,1,1.9,0,0,0,-,0,3,0,3
レギュラーラウンド,JTサンダーズ,27,11,0,0,0,-,,0,0,0,-,,-,2,0.18,6,0,0,0,0,0.0,0,0,0,-,0,2,0,2
ファイナル６,JTサンダーズ,5,4,0,0,0,-,,0,0,0,-,,-,1,0.25,7,0,0,0,1,3.6,0,0,0,-,0,1,0,1
ファイナル３,JTサンダーズ,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,JTサンダーズ,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,JTサンダーズ,29,64,2,1,0,50.0,50.0,0,0,0,-,,0.02,2,0.03,81,0,1,5,16,4.6,0,0,0,-,1,2,1,4
レギュラーラウンド,JTサンダーズ,21,47,1,0,0,0.0,0.0,0,0,0,-,,-,2,0.04,59,0,1,4,12,5.1,0,0,0,-,0,2,1,3
ファイナル６,JTサンダーズ,5,10,0,0,0,-,,0,0,0,-,,-,0,-,11,0,0,1,2,2.3,0,0,0,-,0,0,0,0
ファイナル３,JTサンダーズ,3,7,1,1,0,100.0,100.0,0,0,0,-,,0.14,0,-,11,0,0,0,2,4.5,0,0,0,-,1,0,0,1
Ｖ・プレミアリーグ男子 2016/17,JTサンダーズ,16,9,0,0,0,-,,0,0,0,-,,-,0,-,13,0,0,3,1,1.9,0,0,0,-,0,0,0,0
レギュラーラウンド,JTサンダーズ,16,9,0,0,0,-,,0,0,0,-,,-,0,-,13,0,0,3,1,1.9,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,85,95,4,1,0,25.0,25.0,0,0,0,-,,0.01,6,0.06,103,0,1,8,21,4.1,0,0,0,-,1,6,1,8
通算,,103,117,5,2,0,40.0,40.0,0,0,0,-,,0.02,7,0.06,132,0,1,9,26,4.0,0,0,0,-,2,7,1,10
