大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,堺ブレイザーズ,28,95,263,145,8,55.1,52.09125475285171,3,0,0,0.0,0.0,1.53,66,0.69,260,3,2,35,53,3.7,18,4,6,38.9,145,66,5,216
レギュラーラウンド,堺ブレイザーズ,27,92,254,142,8,55.9,52.75590551181102,2,0,0,0.0,0.0,1.54,65,0.71,252,3,2,33,52,3.9,18,4,6,38.9,142,65,5,212
GAME1（5位決定戦）,堺ブレイザーズ,1,3,9,3,0,33.3,33.33333333333333,1,0,0,0.0,0.0,1.00,1,0.33,8,0,0,2,1,-3.1,0,0,0,-,3,1,0,4
V.LEAGUE DIVISION1 MEN 2018-19,堺ブレイザーズ,30,113,331,191,5,57.7,56.19335347432024,0,0,0,-,,1.69,60,0.53,339,5,8,49,105,8.0,11,2,4,36.4,191,60,13,264
レギュラーラウンド,堺ブレイザーズ,25,92,273,160,4,58.6,57.14285714285714,0,0,0,-,,1.74,45,0.49,272,4,7,38,85,8.4,10,1,4,30.0,160,45,11,216
ファイナル６,堺ブレイザーズ,5,21,58,31,1,53.4,51.724137931034484,0,0,0,-,,1.48,15,0.71,67,1,1,11,20,6.3,1,1,0,100.0,31,15,2,48
Ｖ・プレミアリーグ男子 2017/18,堺ブレイザーズ,15,47,99,52,4,52.5,48.484848484848484,0,0,0,-,,1.11,21,0.45,116,4,3,35,17,2.2,5,1,2,40.0,52,21,7,80
レギュラーラウンド,堺ブレイザーズ,15,47,99,52,4,52.5,48.484848484848484,0,0,0,-,,1.11,21,0.45,116,4,3,35,17,2.2,5,1,2,40.0,52,21,7,80
Ｖ・プレミアリーグ男子 2016/17,堺ブレイザーズ,26,98,208,111,6,53.4,50.480769230769226,0,0,0,-,,1.13,55,0.56,257,3,5,37,80,10.5,5,3,0,60.0,111,55,8,174
レギュラーラウンド,堺ブレイザーズ,21,78,155,82,5,52.9,49.67741935483871,0,0,0,-,,1.05,47,0.60,194,2,4,24,61,10.5,3,2,0,66.7,82,47,6,135
ファイナル６,堺ブレイザーズ,5,20,53,29,1,54.7,52.83018867924528,0,0,0,-,,1.45,8,0.40,63,1,1,13,19,10.4,2,1,0,50.0,29,8,2,39
Ｖ・プレミアリーグ男子 2015/16,堺ブレイザーズ,26,91,250,142,11,56.8,52.400000000000006,1,0,0,0.0,0.0,1.56,51,0.56,236,0,0,33,50,5.3,13,6,0,46.2,142,51,0,193
レギュラーラウンド,堺ブレイザーズ,21,73,210,118,10,56.2,51.42857142857142,1,0,0,0.0,0.0,1.62,41,0.56,196,0,0,26,38,4.8,10,5,0,50.0,118,41,0,159
ファイナル６,堺ブレイザーズ,5,18,40,24,1,60.0,57.49999999999999,0,0,0,-,,1.33,10,0.56,40,0,0,7,12,7.5,3,1,0,33.3,24,10,0,34
Ｖ・プレミアリーグ男子 2014/15,堺ブレイザーズ,26,74,191,107,4,56.0,53.92670157068062,3,0,0,0.0,0.0,1.45,37,0.50,250,3,4,37,97,12.2,0,0,0,-,107,37,7,151
レギュラーラウンド,堺ブレイザーズ,21,55,131,74,3,56.5,54.19847328244275,3,0,0,0.0,0.0,1.35,25,0.45,191,3,4,26,78,13.5,0,0,0,-,74,25,7,106
ファイナル６,堺ブレイザーズ,5,19,60,33,1,55.0,53.333333333333336,0,0,0,-,,1.74,12,0.63,59,0,0,11,19,8.1,0,0,0,-,33,12,0,45
Ｖ・プレミアリーグ男子 2013/14,堺ブレイザーズ,22,48,31,16,3,51.6,41.935483870967744,0,0,0,-,,0.33,3,0.06,29,0,1,9,7,8.8,1,1,0,100.0,16,3,1,20
レギュラーラウンド,堺ブレイザーズ,21,45,31,16,3,51.6,41.935483870967744,0,0,0,-,,0.36,3,0.07,29,0,1,9,7,8.8,1,1,0,100.0,16,3,1,20
ファイナルラウンド,堺ブレイザーズ,1,3,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグ男子 2012/13,つくばユナイテッドSunGAIA,16,48,442,225,18,50.9,46.83257918552036,171,79,11,46.2,39.76608187134503,4.69,22,0.46,220,3,8,9,83,13.7,0,0,0,-,225,22,11,258
レギュラーラウンド,つくばユナイテッドSunGAIA,16,48,442,225,18,50.9,46.83257918552036,171,79,11,46.2,39.76608187134503,4.69,22,0.46,220,3,8,9,83,13.7,0,0,0,-,225,22,11,258
チャレンジマッチ男子2012/13,つくばユナイテッドSunGAIA,2,9,84,40,9,47.6,36.904761904761905,31,15,5,48.4,32.25806451612903,4.44,3,0.33,27,0,0,1,9,8.3,0,0,0,-,40,3,0,43
チャレンジマッチ,つくばユナイテッドSunGAIA,2,9,84,40,9,47.6,36.904761904761905,31,15,5,48.4,32.25806451612903,4.44,3,0.33,27,0,0,1,9,8.3,0,0,0,-,40,3,0,43
Ｖ・チャレンジリーグ男子 2011/12,つくばユナイテッドSunGAIA,13,39,315,154,25,48.9,40.95238095238095,81,38,8,46.9,37.03703703703704,3.95,20,0.51,123,1,2,7,37,9.6,2,0,0,0.0,154,20,3,177
レギュラーラウンド,つくばユナイテッドSunGAIA,8,22,142,70,8,49.3,43.66197183098591,44,20,2,45.5,40.909090909090914,3.18,10,0.45,74,0,2,2,21,9.3,0,0,0,-,70,10,2,82
上位リーグ,つくばユナイテッドSunGAIA,5,17,173,84,17,48.6,38.72832369942196,37,18,6,48.6,32.432432432432435,4.94,10,0.59,49,1,0,5,16,10.2,2,0,0,0.0,84,10,1,95
チャレンジマッチ男子2011/12,つくばユナイテッドSunGAIA,2,7,90,40,7,44.4,36.666666666666664,25,10,2,40.0,32.0,5.71,2,0.29,19,0,0,1,5,6.6,0,0,0,-,40,2,0,42
チャレンジマッチ,つくばユナイテッドSunGAIA,2,7,90,40,7,44.4,36.666666666666664,25,10,2,40.0,32.0,5.71,2,0.29,19,0,0,1,5,6.6,0,0,0,-,40,2,0,42
Ｖ・チャレンジリーグ男子 2010/11,つくばユナイテッドSunGAIA,16,57,286,181,18,63.3,56.993006993006986,2,0,1,0.0,-50.0,3.18,46,0.81,181,4,3,29,67,12.8,3,1,0,33.3,181,46,7,234
レギュラーラウンド,つくばユナイテッドSunGAIA,16,57,286,181,18,63.3,56.993006993006986,2,0,1,0.0,-50.0,3.18,46,0.81,181,4,3,29,67,12.8,3,1,0,33.3,181,46,7,234
レギュラーシーズン通算,,191,609,2023,1120,81,55.4,51.359367276322295,223,99,14,44.4,38.11659192825112,1.84,325,0.53,1725,23,34,231,509,7.3,50,15,12,42.0,1120,325,57,1502
通算,,222,726,2590,1404,118,54.2,49.65250965250965,317,142,27,44.8,36.27760252365931,1.93,386,0.53,2057,26,36,282,610,7.0,58,18,12,41.4,1404,386,62,1852
