大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,28,35,64,42,4,65.6,59.375,0,0,0,-,,1.20,12,0.34,99,0,3,11,14,3.8,6,2,4,66.7,42,12,3,57
レギュラーラウンド,パナソニックパンサーズ,27,35,64,42,4,65.6,59.375,0,0,0,-,,1.20,12,0.34,99,0,3,11,14,3.8,6,2,4,66.7,42,12,3,57
ファイナル,パナソニックパンサーズ,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,28,21,18,10,0,55.6,55.55555555555556,0,0,0,-,,0.48,1,0.05,50,0,0,1,13,6.0,0,0,0,-,10,1,0,11
レギュラーラウンド,パナソニックパンサーズ,23,18,18,10,0,55.6,55.55555555555556,0,0,0,-,,0.56,1,0.06,46,0,0,1,13,6.5,0,0,0,-,10,1,0,11
ファイナル６,パナソニックパンサーズ,5,3,0,0,0,-,,0,0,0,-,,-,0,-,4,0,0,0,0,0.0,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,16,14,15,9,1,60.0,53.333333333333336,0,0,0,-,,0.64,2,0.14,16,0,0,2,4,3.1,2,0,2,50.0,9,2,0,11
レギュラーラウンド,パナソニックパンサーズ,16,14,15,9,1,60.0,53.333333333333336,0,0,0,-,,0.64,2,0.14,16,0,0,2,4,3.1,2,0,2,50.0,9,2,0,11
天皇杯全日本選手権大会,,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,2,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,10,10,11,6,2,54.5,36.36363636363637,0,0,0,-,,0.60,0,-,12,0,1,1,6,19.2,0,0,0,-,6,0,1,7
レギュラーラウンド,パナソニックパンサーズ,5,5,1,0,1,0.0,-100.0,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル６,パナソニックパンサーズ,5,5,10,6,1,60.0,50.0,0,0,0,-,,1.20,0,-,12,0,1,1,6,19.2,0,0,0,-,6,0,1,7
レギュラーシーズン通算,,71,72,98,61,6,62.2,56.12244897959183,0,0,0,-,,0.85,15,0.21,161,0,3,14,31,4.5,8,2,6,62.5,61,15,3,79
通算,,84,80,108,67,7,62.0,55.55555555555556,0,0,0,-,,0.84,15,0.19,177,0,4,15,37,5.4,8,2,6,62.5,67,15,4,86
