大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,23,80,204,123,2,60.3,59.31372549019608,0,0,0,-,,1.54,37,0.46,229,1,4,18,68,7.6,11,6,2,63.6,123,37,5,165
レギュラーラウンド,パナソニックパンサーズ,22,75,194,117,2,60.3,59.27835051546392,0,0,0,-,,1.56,36,0.48,211,1,3,18,65,7.5,11,6,2,63.6,117,36,4,157
ファイナル,パナソニックパンサーズ,1,5,10,6,0,60.0,60.0,0,0,0,-,,1.2,1,0.2,18,0,1,0,3,9.7,0,0,0,-,6,1,1,8
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,34,120,313,189,8,60.4,57.82747603833865,1,0,0,0.0,0.0,1.57,53,0.44,421,8,9,33,98,7.9,10,4,2,50.0,189,53,17,259
レギュラーラウンド,パナソニックパンサーズ,27,94,242,148,4,61.2,59.50413223140496,1,0,0,0.0,0.0,1.57,43,0.46,329,6,8,28,70,7.4,9,4,1,50.0,148,43,14,205
ファイナル６,パナソニックパンサーズ,5,18,48,26,4,54.2,45.83333333333333,0,0,0,-,,1.44,7,0.39,63,1,1,4,17,8.3,1,0,1,50.0,26,7,2,35
ファイナル,パナソニックパンサーズ,2,8,23,15,0,65.2,65.21739130434783,0,0,0,-,,1.88,3,0.38,29,1,0,1,11,12.1,0,0,0,-,15,3,1,19
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,28,105,259,153,10,59.1,55.21235521235521,0,0,0,-,,1.46,49,0.47,310,2,4,42,77,4.8,10,5,1,55.0,153,49,6,208
レギュラーラウンド,パナソニックパンサーズ,21,80,196,111,7,56.6,53.06122448979592,0,0,0,-,,1.39,37,0.46,243,2,2,33,58,4.2,10,5,1,55.0,111,37,4,152
ファイナル６,パナソニックパンサーズ,5,17,42,26,2,61.9,57.14285714285714,0,0,0,-,,1.53,9,0.53,36,0,1,7,11,5.6,0,0,0,-,26,9,1,36
ファイナル,パナソニックパンサーズ,2,8,21,16,1,76.2,71.42857142857143,0,0,0,-,,2.0,3,0.38,31,0,1,2,8,8.1,0,0,0,-,16,3,1,20
天皇杯全日本選手権大会,,2,9,18,11,0,61.1,61.111111111111114,0,0,0,-,,1.22,1,0.11,23,0,1,2,4,6.5,3,1,2,66.7,11,1,1,13
レギュラーラウンド,,2,9,18,11,0,61.1,61.111111111111114,0,0,0,-,,1.22,1,0.11,23,0,1,2,4,6.5,3,1,2,66.7,11,1,1,13
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,21,79,172,109,4,63.4,61.04651162790697,1,0,0,0.0,0.0,1.38,44,0.56,312,6,3,39,117,12.1,4,1,0,25.0,109,44,9,162
レギュラーラウンド,パナソニックパンサーズ,21,79,172,109,4,63.4,61.04651162790697,1,0,0,0.0,0.0,1.38,44,0.56,312,6,3,39,117,12.1,4,1,0,25.0,109,44,9,162
Ｖ・プレミアリーグ男子 2015/16,パナソニックパンサーズ,5,7,19,10,2,52.6,42.10526315789473,0,0,0,-,,1.43,3,0.43,32,0,2,2,15,16.7,2,1,0,50.0,10,3,2,15
レギュラーラウンド,パナソニックパンサーズ,5,7,19,10,2,52.6,42.10526315789473,0,0,0,-,,1.43,3,0.43,32,0,2,2,15,16.7,2,1,0,50.0,10,3,2,15
レギュラーシーズン通算,,96,335,823,495,19,60.1,57.837181044957475,2,0,0,0.0,0.0,1.48,163,0.49,1127,15,18,120,325,7.5,36,17,4,52.8,495,163,33,691
通算,,113,400,985,595,26,60.4,57.766497461928935,2,0,0,0.0,0.0,1.49,187,0.47,1327,17,23,136,379,7.6,40,18,7,53.8,595,187,40,822
