名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンドレナシメント,01,サントリーサンバーズ,9,26,252,113,14,44.8,39.3,107,47,6,10,120,16,20,44,2,0,0,43.9,4.3,0.4,18.3,0.0
アンドレナシメント,02,サントリーサンバーズ,9,34,346,143,19,41.3,35.8,164,71,9,9,147,11,36,53,1,1,0,43.3,4.2,0.3,10.4,100.0
アンドレナシメント,03,サントリーサンバーズ,9,12,103,55,1,53.4,52.4,59,29,1,3,53,6,9,22,0,0,0,49.2,4.6,0.2,17.5,
アンドレナシメント,12,サントリーサンバーズ,9,6,59,33,0,55.9,55.9,28,18,0,4,25,1,8,9,0,0,0,64.3,5.5,0.7,5.0,
エンダキエムブレイ,01,堺ブレイザーズ,7,7,68,23,8,33.8,22.1,22,7,5,3,31,1,9,11,0,0,0,31.8,3.3,0.4,4.8,
エンダキエムブレイ,02,堺ブレイザーズ,7,32,356,156,47,43.8,30.6,122,55,19,26,116,5,32,43,1,0,0,45.1,4.9,0.8,6.7,0.0
エンダキエムブレイ,03,堺ブレイザーズ,7,13,120,53,20,44.2,27.5,46,19,8,6,48,3,12,17,0,0,0,41.3,4.1,0.5,8.9,
エンダキエムブレイ,12,堺ブレイザーズ,7,7,72,33,5,45.8,38.9,26,12,5,7,22,1,6,11,0,0,0,46.2,4.7,1.0,10.2,
オンテレジェームス,01,大分三好ヴァイセアドラー,10,26,339,172,26,50.7,43.1,138,67,13,8,103,12,24,22,0,0,0,48.6,6.6,0.3,11.2,
オンテレジェームス,02,大分三好ヴァイセアドラー,10,36,426,180,37,42.3,33.6,179,78,27,15,140,11,29,41,1,0,0,43.6,5.0,0.4,10.0,0.0
オンテレジェームス,03,大分三好ヴァイセアドラー,10,13,138,61,7,44.2,39.1,68,29,3,5,51,5,11,18,0,0,0,42.6,4.7,0.4,13.2,
オンテレジェームス,12,大分三好ヴァイセアドラー,10,7,89,41,7,46.1,38.2,33,14,3,5,24,3,7,7,0,0,0,42.4,5.9,0.7,12.5,
グラディナロフミロスラフ,01,FC東京,11,29,263,137,9,52.1,48.7,74,38,5,14,132,9,25,43,218,133,0,51.4,4.7,0.5,10.2,61.0
グラディナロフミロスラフ,02,FC東京,11,33,269,118,17,43.9,37.5,52,28,3,16,142,20,30,44,217,127,0,53.8,3.6,0.5,16.5,58.5
グラディナロフミロスラフ,03,FC東京,11,15,127,63,8,49.6,43.3,34,15,4,4,60,5,13,16,128,82,0,44.1,4.2,0.3,9.6,64.1
グラディナロフミロスラフ,12,FC東京,11,7,62,19,9,30.6,16.1,11,6,5,5,20,1,4,4,59,28,0,54.5,2.7,0.7,5.0,47.5
ゴメスエルナルド,01,JTサンダーズ,11,30,376,176,22,46.8,41.0,171,81,11,9,139,10,25,65,1,0,0,47.4,5.9,0.3,14.4,0.0
ゴメスエルナルド,02,JTサンダーズ,11,25,267,121,18,45.3,38.6,110,47,10,4,101,10,16,44,1,0,0,42.7,4.8,0.2,16.8,0.0
ゴメスエルナルド,03,JTサンダーズ,11,16,181,81,12,44.8,38.1,104,39,8,5,63,1,12,28,0,0,0,37.5,5.1,0.3,7.9,
ゴメスエルナルド,12,JTサンダーズ,11,8,90,35,8,38.9,30.0,31,13,2,2,29,1,6,14,0,0,0,41.9,4.4,0.2,10.3,
チアーゴアウヴェス,01,パナソニックパンサーズ,11,27,165,73,15,44.2,35.2,29,11,5,11,112,9,16,50,142,80,0,37.9,2.7,0.4,15.6,56.3
チアーゴアウヴェス,02,パナソニックパンサーズ,11,30,185,76,31,41.1,24.3,40,19,10,11,112,8,30,44,149,94,0,47.5,2.5,0.4,10.3,63.1
チアーゴアウヴェス,03,パナソニックパンサーズ,11,18,124,56,5,45.2,41.1,23,16,3,10,64,5,21,25,63,34,0,69.6,3.1,0.6,9.4,54.0
チアーゴアウヴェス,12,パナソニックパンサーズ,11,8,44,29,2,65.9,61.4,5,5,0,3,29,2,8,9,49,29,0,100.0,3.6,0.4,7.8,59.2
ボヨビッチデヤン,01,東レアローズ,12,25,233,132,9,56.7,52.8,86,48,8,13,118,6,25,31,0,0,0,55.8,5.3,0.5,6.4,
ボヨビッチデヤン,02,東レアローズ,12,30,294,141,22,48.0,40.5,99,55,13,13,127,8,33,41,0,0,0,55.6,4.7,0.4,7.9,
ボヨビッチデヤン,03,東レアローズ,12,15,149,74,14,49.7,40.3,55,27,7,4,66,6,11,18,0,0,0,49.1,4.9,0.3,11.7,
ボヨビッチデヤン,12,東レアローズ,12,6,72,30,3,41.7,37.5,25,9,2,3,32,6,8,8,0,0,0,36.0,5.0,0.5,18.8,
レオナルドメロ,01,豊田合成トレフェルサ,8,31,343,159,37,46.4,35.6,151,70,25,20,142,4,21,69,0,0,0,46.4,5.1,0.6,11.3,
レオナルドメロ,02,豊田合成トレフェルサ,8,30,335,166,17,49.6,44.5,151,76,7,17,122,7,17,54,1,0,0,50.3,5.5,0.6,13.3,0.0
レオナルドメロ,03,豊田合成トレフェルサ,8,13,145,70,5,48.3,44.8,65,31,3,2,62,5,14,23,0,0,0,47.7,5.4,0.2,11.7,
レオナルドメロ,12,豊田合成トレフェルサ,8,7,82,37,6,45.1,37.8,36,15,3,3,26,1,7,9,0,0,0,41.7,5.3,0.4,5.8,
三上圭治郎,01,FC東京,27,20,24,8,3,33.3,20.8,3,1,1,2,18,2,7,5,39,27,0,33.3,0.4,0.1,8.3,69.2
三上圭治郎,02,FC東京,27,12,6,1,1,16.7,0.0,2,1,1,0,3,0,2,0,23,18,0,50.0,0.1,0.0,-16.7,78.3
三上圭治郎,03,FC東京,27,5,2,0,1,0.0,-50.0,2,0,1,0,0,0,0,0,7,3,0,0.0,0.0,0.0,,42.9
三上圭治郎,12,FC東京,27,5,0,0,0,,,0,0,0,0,6,1,2,0,3,2,0,,0.0,0.0,8.3,66.7
上場雄也,01,FC東京,5,24,73,30,4,41.1,35.6,33,12,4,1,28,0,3,14,0,0,0,36.4,1.2,0.0,9.8,
上場雄也,02,FC東京,5,8,22,9,3,40.9,27.3,8,2,2,0,11,1,1,6,0,0,0,25.0,1.1,0.0,20.5,
上場雄也,03,FC東京,5,12,38,17,3,44.7,36.8,16,8,2,2,12,1,3,5,0,0,0,50.0,1.4,0.2,12.5,
上場雄也,12,FC東京,5,5,29,16,5,55.2,37.9,8,5,3,3,13,0,1,4,1,0,0,62.5,3.2,0.6,5.8,0.0
中島悠樹,01,大分三好ヴァイセアドラー,13,19,29,11,3,37.9,27.6,0,0,0,5,24,0,1,4,5,4,0,,0.6,0.3,3.1,80.0
中島悠樹,02,大分三好ヴァイセアドラー,13,36,65,28,9,43.1,29.2,0,0,0,31,77,1,4,13,13,12,0,,0.8,0.9,4.2,92.3
中島悠樹,03,大分三好ヴァイセアドラー,13,13,21,9,2,42.9,33.3,0,0,0,6,36,0,3,6,4,3,0,,0.7,0.5,2.1,75.0
中島悠樹,12,大分三好ヴァイセアドラー,13,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中村紘二,01,大分三好ヴァイセアドラー,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
二木健太,01,サントリーサンバーズ,14,8,6,2,0,33.3,33.3,0,0,0,2,9,0,2,0,1,1,0,,0.2,0.2,-5.6,100.0
二木健太,02,サントリーサンバーズ,14,4,2,1,0,50.0,50.0,0,0,0,1,2,0,0,0,0,0,0,,0.2,0.2,0.0,
二木健太,03,サントリーサンバーズ,14,2,4,0,0,0.0,0.0,0,0,0,0,3,1,1,0,0,0,0,,0.0,0.0,25.0,
二木健太,12,サントリーサンバーズ,14,4,0,0,0,,,0,0,0,0,7,0,1,2,0,0,0,,0.0,0.0,3.6,
五十嵐元,01,大分三好ヴァイセアドラー,9,19,0,0,0,,,0,0,0,0,4,0,0,1,23,13,0,,0.0,0.0,6.2,56.5
五十嵐元,02,大分三好ヴァイセアドラー,9,3,0,0,0,,,0,0,0,0,2,0,1,0,2,0,0,,0.0,0.0,-12.5,0.0
五十嵐元,03,大分三好ヴァイセアドラー,9,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,1,0,,0.0,0.0,,50.0
五十嵐元,12,大分三好ヴァイセアドラー,9,3,0,0,0,,,0,0,0,0,0,0,0,0,4,2,0,,0.0,0.0,,50.0
井上俊輔,03,JTサンダーズ,19,3,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5,
井上俊輔,12,JTサンダーズ,19,1,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5,
井上崇昭,01,豊田合成トレフェルサ,10,17,17,4,2,23.5,11.8,2,0,0,1,6,0,3,2,11,5,0,0.0,0.2,0.1,-4.2,45.5
井上崇昭,02,豊田合成トレフェルサ,10,10,52,21,5,40.4,30.8,11,6,1,4,28,3,7,8,32,17,0,54.5,2.1,0.4,11.6,53.1
井上崇昭,03,豊田合成トレフェルサ,10,7,60,26,9,43.3,28.3,12,6,3,3,21,3,7,7,24,9,0,50.0,3.7,0.4,14.3,37.5
井上崇昭,12,豊田合成トレフェルサ,10,5,28,10,3,35.7,25.0,3,1,1,1,14,0,4,8,29,12,0,33.3,2.0,0.2,7.1,41.4
井上裕介,01,堺ブレイザーズ,2,25,0,0,0,,,0,0,0,0,0,0,0,0,143,94,0,,0.0,0.0,,65.7
井上裕介,02,堺ブレイザーズ,2,32,0,0,0,,,0,0,0,0,0,0,0,0,141,84,0,,0.0,0.0,,59.6
井上裕介,03,堺ブレイザーズ,2,10,0,0,0,,,0,0,0,0,0,0,0,0,33,22,0,,0.0,0.0,,66.7
井上裕介,12,堺ブレイザーズ,2,7,0,0,0,,,0,0,0,0,0,0,0,0,13,4,0,,0.0,0.0,,30.8
井口拓也,12,大分三好ヴァイセアドラー,22,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
今村駿,01,堺ブレイザーズ,19,23,3,3,0,100.0,100.0,0,0,0,1,83,1,6,26,1,0,0,,0.1,0.0,7.2,0.0
今村駿,02,堺ブレイザーズ,19,27,0,0,0,,,0,0,0,10,94,2,5,31,2,0,0,,0.0,0.4,9.0,0.0
今村駿,03,堺ブレイザーズ,19,11,0,0,0,,,0,0,0,2,24,0,2,8,0,0,0,,0.0,0.2,6.2,
今村駿,12,堺ブレイザーズ,19,7,2,0,0,0.0,0.0,0,0,0,4,29,1,3,12,0,0,0,,0.0,0.6,11.2,
今田祐介,01,東レアローズ,14,8,50,26,6,52.0,40.0,8,4,4,3,34,1,4,11,17,9,0,50.0,3.2,0.4,8.1,52.9
今田祐介,02,東レアローズ,14,15,60,18,6,30.0,20.0,13,1,2,2,36,2,5,8,31,14,0,7.7,1.2,0.1,7.6,45.2
今田祐介,03,東レアローズ,14,4,10,3,0,30.0,30.0,1,0,0,0,9,0,2,3,5,1,0,0.0,0.8,0.0,2.8,20.0
今田祐介,12,東レアローズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊東勇樹,01,パナソニックパンサーズ,4,17,6,1,0,16.7,16.7,2,0,0,0,22,0,7,5,3,0,0,0.0,0.1,0.0,-2.3,0.0
伊東勇樹,02,パナソニックパンサーズ,4,14,12,3,1,25.0,16.7,3,1,1,1,17,1,11,1,3,1,0,33.3,0.2,0.1,-8.8,33.3
