月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
10,トヨタ車体クインシーズ,18,,山上有紀,18,5,5,5,3,0,4,2,0,50.0,50.0,0.1,0,0,0,,0,0.0,62,2,4,15,7.7,1,0,0,0.0
11,トヨタ車体クインシーズ,18,,山上有紀,37,8,8,8,7,6,2,0,0,0.0,0.0,0.0,0,0,0,,5,0.1,133,3,8,44,9.0,2,0,0,0.0
12,トヨタ車体クインシーズ,18,,山上有紀,28,8,8,8,3,1,9,4,1,44.4,33.3,0.1,0,0,0,,5,0.2,92,3,7,28,9.0,0,0,0,
