名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アブラーモフパーベル,東レアローズ,4,19,207,109,19,52.7,43.5,43,32,1,5,78,5,18,21,170,121,0,119,74.4,5.7,0.3,7.4,71.2
カントルサンドロ,パナソニックパンサーズ,22,16,125,57,12,45.6,36.0,14,7,2,4,63,1,10,25,132,100,0,62,50.0,3.6,0.2,7.5,75.8
サベリエフイリア,JTサンダーズ,21,17,156,83,12,53.2,45.5,30,18,5,6,61,0,11,22,65,38,0,89,60.0,4.9,0.4,4.5,58.5
ペレイラマックス,NECブルーロケッツ,21,14,100,44,12,44.0,32.0,43,15,9,4,56,6,12,12,2,1,0,54,34.9,3.1,0.3,10.7,50.0
久保尚志,パナソニックパンサーズ,11,8,0,0,0,,,0,0,0,0,7,1,3,1,5,5,0,1,,0.0,0.0,7.1,100.0
今井啓介,パナソニックパンサーズ,4,16,32,17,2,53.1,46.9,0,0,0,8,47,0,0,8,1,1,0,25,,1.1,0.5,4.3,100.0
今田祐介,東レアローズ,14,8,42,22,1,52.4,50.0,4,1,0,3,26,0,7,6,32,17,0,25,25.0,2.8,0.4,-1.0,53.1
内冨寛法,JTサンダーズ,17,14,70,34,10,48.6,34.3,25,12,4,4,48,3,8,21,1,1,0,41,48.0,2.4,0.3,13.0,100.0
前田悟,JTサンダーズ,11,16,6,2,0,33.3,33.3,0,0,0,6,46,1,6,18,1,0,0,9,,0.1,0.4,8.7,0.0
北川祐介,パナソニックパンサーズ,9,14,37,21,1,56.8,54.1,0,0,0,11,39,0,0,3,7,5,0,32,,1.5,0.8,1.9,71.4
大村悟,NECブルーロケッツ,1,17,114,52,13,45.6,34.2,25,13,3,10,62,3,12,13,64,36,0,65,52.0,3.1,0.6,5.2,56.2
大森陽祐,NECブルーロケッツ,3,3,0,0,0,,,0,0,0,0,0,0,0,0,8,1,0,0,,0.0,0.0,,12.5
宇佐美大輔,NECブルーロケッツ,8,18,13,10,0,76.9,76.9,0,0,0,7,66,1,10,17,1,0,0,18,,0.6,0.4,4.2,0.0
宮下雅寛,JTサンダーズ,1,14,29,21,1,72.4,69.0,0,0,0,4,42,4,4,11,0,0,0,29,,1.5,0.3,13.7,
小林敦,東レアローズ,11,19,51,29,2,56.9,52.9,0,0,0,14,75,0,3,17,3,3,0,43,,1.5,0.7,4.7,100.0
小糸敬夫,パナソニックパンサーズ,6,16,0,0,0,,,0,0,0,0,0,0,0,0,87,68,0,0,,0.0,0.0,,78.2
尾上健司,JTサンダーズ,7,16,41,19,5,46.3,34.1,1,1,0,5,32,0,0,5,0,0,0,24,100.0,1.2,0.3,3.9,
山本健之,JTサンダーズ,12,8,0,0,0,,,0,0,0,0,0,0,0,0,37,23,0,0,,0.0,0.0,,62.2
山本太二,東レアローズ,20,10,3,1,0,33.3,33.3,0,0,0,1,39,0,2,7,0,0,0,2,,0.1,0.1,3.2,
山本隆弘,パナソニックパンサーズ,5,15,144,70,19,48.6,35.4,76,34,13,5,52,4,17,9,0,0,0,79,44.7,4.7,0.3,3.8,
岩田正之,パナソニックパンサーズ,7,12,2,0,0,0.0,0.0,0,0,0,1,35,0,1,12,3,0,0,1,,0.0,0.1,7.9,0.0
岸本一馬,パナソニックパンサーズ,1,3,17,6,1,35.3,29.4,1,0,0,0,7,1,2,1,8,4,0,7,0.0,2.0,0.0,10.7,50.0
川村慎二,パナソニックパンサーズ,8,15,76,36,2,47.4,44.7,12,5,1,1,51,0,7,16,100,67,0,37,41.7,2.4,0.1,4.4,67.0
平野信孝,JTサンダーズ,2,8,25,15,0,60.0,60.0,1,0,0,0,15,0,2,5,38,28,0,15,0.0,1.9,0.0,5.0,73.7
徳元幸人,JTサンダーズ,8,16,67,28,3,41.8,37.3,3,0,1,5,58,0,3,15,115,87,0,33,0.0,1.8,0.3,5.2,75.7
松本慶彦,NECブルーロケッツ,17,18,58,29,2,50.0,46.6,0,0,0,5,43,1,1,5,3,2,0,35,,1.6,0.3,4.7,66.7
松永理生,パナソニックパンサーズ,15,13,28,12,2,42.9,35.7,11,3,2,0,22,2,3,7,0,0,0,14,27.3,0.9,0.0,13.6,
枩田優介,パナソニックパンサーズ,23,9,9,5,0,55.6,55.6,0,0,0,2,14,1,3,3,0,0,0,8,,0.6,0.2,7.1,
柴田恭平,東レアローズ,3,14,101,52,9,51.5,42.6,36,20,4,3,43,3,12,7,0,0,0,58,55.6,3.7,0.2,4.1,
河野裕輔,JTサンダーズ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
浅倉勇,NECブルーロケッツ,18,10,46,17,10,37.0,15.2,6,2,3,4,24,0,3,6,58,37,0,21,33.3,1.7,0.4,3.1,63.8
濱島哲也,NECブルーロケッツ,19,15,0,0,0,,,0,0,0,0,0,0,0,0,70,46,0,0,,0.0,0.0,,65.7
牛尾正和,パナソニックパンサーズ,10,10,2,0,0,0.0,0.0,0,0,0,0,19,0,1,3,0,0,0,0,,0.0,0.0,2.6,
田辺修,東レアローズ,2,19,0,0,0,,,0,0,0,0,0,0,0,0,108,80,0,0,,0.0,0.0,,74.1
直弘龍治,JTサンダーズ,10,6,25,15,3,60.0,48.0,14,6,2,5,18,0,0,4,0,0,0,20,42.9,2.5,0.8,5.6,
竹内実,NECブルーロケッツ,6,10,5,1,1,20.0,0.0,0,0,0,0,13,0,1,2,2,0,0,1,,0.1,0.0,1.9,0.0
笠原紀久,東レアローズ,5,12,37,15,1,40.5,37.8,3,2,0,1,32,1,1,6,41,34,0,17,66.7,1.2,0.1,7.0,82.9
篠田歩,東レアローズ,17,6,2,0,0,0.0,0.0,0,0,0,3,18,1,5,6,0,0,0,4,,0.0,0.5,6.9,
細川延由,NECブルーロケッツ,2,18,134,57,14,42.5,32.1,42,19,3,9,65,2,9,16,157,111,0,68,45.2,3.2,0.5,5.8,70.7
脇戸新之助,NECブルーロケッツ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
臺光章,JTサンダーズ,6,6,0,0,0,,,0,0,0,0,8,0,1,1,0,0,0,0,,0.0,0.0,0.0,
苅谷淳司,JTサンダーズ,3,15,26,14,3,53.8,42.3,0,0,0,5,52,0,3,12,4,4,0,19,,0.9,0.3,4.3,100.0
菊地洋之,NECブルーロケッツ,7,18,35,18,3,51.4,42.9,0,0,0,7,68,0,2,11,2,1,0,25,,1.0,0.4,3.3,50.0
谷村孝,パナソニックパンサーズ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
越谷章,東レアローズ,10,9,9,2,1,22.2,11.1,0,0,0,1,17,1,2,4,8,3,0,4,,0.2,0.1,8.8,37.5
足立和弘,NECブルーロケッツ,5,4,1,1,0,100.0,100.0,1,1,0,0,7,0,0,2,0,0,0,1,100.0,0.2,0.0,7.1,
酒井大祐,JTサンダーズ,15,9,0,0,0,,,0,0,0,0,0,0,0,0,45,37,0,0,,0.0,0.0,,82.2
阿部裕太,東レアローズ,9,12,6,2,1,33.3,16.7,0,0,0,4,37,1,0,7,1,0,0,7,,0.2,0.3,7.4,0.0
青山繁,東レアローズ,1,7,9,2,1,22.2,11.1,0,0,0,0,15,0,1,4,14,12,0,2,,0.3,0.0,5.0,85.7
青木一平,NECブルーロケッツ,10,2,3,3,0,100.0,100.0,0,0,0,0,3,0,0,0,0,0,0,3,,1.5,0.0,0.0,
飯塚俊彦,JTサンダーズ,9,7,5,0,1,0.0,-20.0,2,0,0,2,1,0,1,0,0,0,0,2,0.0,0.0,0.3,-25.0,
高杉洋平,東レアローズ,16,11,64,33,6,51.6,42.2,26,10,6,2,29,0,3,10,0,0,0,35,38.5,3.0,0.2,6.0,
齋藤信治,東レアローズ,7,16,48,22,5,45.8,35.4,0,0,0,10,56,0,1,15,8,6,0,32,,1.4,0.6,6.2,75.0
