名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アブラーモフパーベル,2005-03,東レアローズ,4,15,19,207,109,19,52.7,43.5,43,32,1,5,78,5,18,21,170,121,0,119,74.4,5.74,0.26,7.4,71.2
カントルサンドロ,2005-03,パナソニックパンサーズ,22,12,16,125,57,12,45.6,36.0,14,7,2,4,63,1,10,25,132,100,0,62,50.0,3.56,0.25,7.5,75.8
サベリエフイリア,2005-03,JTサンダーズ,21,12,17,156,83,12,53.2,45.5,30,18,5,6,61,0,11,22,65,38,0,89,60.0,4.88,0.35,4.5,58.5
ペレイラマックス,2005-03,NECブルーロケッツ,21,15,14,100,44,12,44.0,32.0,43,15,9,4,56,6,12,12,2,1,0,54,34.9,3.14,0.29,10.7,50.0
久保尚志,2005-03,パナソニックパンサーズ,11,9,8,0,0,0,,,0,0,0,0,7,1,3,1,5,5,0,1,,0.0,0.0,7.1,100.0
今井啓介,2005-03,パナソニックパンサーズ,4,12,16,32,17,2,53.1,46.9,0,0,0,8,47,0,0,8,1,1,0,25,,1.06,0.5,4.3,100.0
今田祐介,2005-03,東レアローズ,14,9,8,42,22,1,52.4,50.0,4,1,0,3,26,0,7,6,32,17,0,25,25.0,2.75,0.38,-1.0,53.1
内冨寛法,2005-03,JTサンダーズ,17,12,14,70,34,10,48.6,34.3,25,12,4,4,48,3,8,21,1,1,0,41,48.0,2.43,0.29,13.0,100.0
前田悟,2005-03,JTサンダーズ,11,12,16,6,2,0,33.3,33.3,0,0,0,6,46,1,6,18,1,0,0,9,,0.12,0.38,8.7,0.0
北川祐介,2005-03,パナソニックパンサーズ,9,12,14,37,21,1,56.8,54.1,0,0,0,11,39,0,0,3,7,5,0,32,,1.5,0.79,1.9,71.4
大村悟,2005-03,NECブルーロケッツ,1,15,17,114,52,13,45.6,34.2,25,13,3,10,62,3,12,13,64,36,0,65,52.0,3.06,0.59,5.2,56.2
大森陽祐,2005-03,NECブルーロケッツ,3,3,3,0,0,0,,,0,0,0,0,0,0,0,0,8,1,0,0,,0.0,0.0,,12.5
宇佐美大輔,2005-03,NECブルーロケッツ,8,15,18,13,10,0,76.9,76.9,0,0,0,7,66,1,10,17,1,0,0,18,,0.56,0.39,4.2,0.0
宮下雅寛,2005-03,JTサンダーズ,1,12,14,29,21,1,72.4,69.0,0,0,0,4,42,4,4,11,0,0,0,29,,1.5,0.29,13.7,
小林敦,2005-03,東レアローズ,11,15,19,51,29,2,56.9,52.9,0,0,0,14,75,0,3,17,3,3,0,43,,1.53,0.74,4.7,100.0
小糸敬夫,2005-03,パナソニックパンサーズ,6,12,16,0,0,0,,,0,0,0,0,0,0,0,0,87,68,0,0,,0.0,0.0,,78.2
尾上健司,2005-03,JTサンダーズ,7,12,16,41,19,5,46.3,34.1,1,1,0,5,32,0,0,5,0,0,0,24,100.0,1.19,0.31,3.9,
山本健之,2005-03,JTサンダーズ,12,6,8,0,0,0,,,0,0,0,0,0,0,0,0,37,23,0,0,,0.0,0.0,,62.2
山本太二,2005-03,東レアローズ,20,15,10,3,1,0,33.3,33.3,0,0,0,1,39,0,2,7,0,0,0,2,,0.1,0.1,3.2,
山本隆弘,2005-03,パナソニックパンサーズ,5,12,15,144,70,19,48.6,35.4,76,34,13,5,52,4,17,9,0,0,0,79,44.7,4.67,0.33,3.8,
岩田正之,2005-03,パナソニックパンサーズ,7,12,12,2,0,0,0.0,0.0,0,0,0,1,35,0,1,12,3,0,0,1,,0.0,0.08,7.9,0.0
岸本一馬,2005-03,パナソニックパンサーズ,1,12,3,17,6,1,35.3,29.4,1,0,0,0,7,1,2,1,8,4,0,7,0.0,2.0,0.0,10.7,50.0
川村慎二,2005-03,パナソニックパンサーズ,8,12,15,76,36,2,47.4,44.7,12,5,1,1,51,0,7,16,100,67,0,37,41.7,2.4,0.07,4.4,67.0
