名前,チーム,背番号,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エドガートーマス,JTサンダーズ広島,6,4,0.0,46,15,4,32.6,23.9,25,8,3,2,11,2,3,8,0,0,0,19,32.0,3.75,0.5,29.5,
ムセルスキードミトリー,サントリーサンバーズ,13,4,0.0,43,23,3,53.5,46.5,14,8,1,6,10,1,2,3,0,0,0,30,57.1,5.75,1.5,12.5,
中島健太,JTサンダーズ広島,4,2,0.0,0,0,0,,,0,0,0,1,3,0,1,1,2,0,1,1,,0.0,0.5,0.0,25.0
久原大輝,JTサンダーズ広島,11,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上航,JTサンダーズ広島,10,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,24,17,4,0,,0.0,0.0,,79.2
佐藤謙次,サントリーサンバーズ,21,1,0.0,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
八子大輔,JTサンダーズ広島,7,3,0.0,3,1,0,33.3,33.3,0,0,0,0,2,0,1,1,0,0,0,1,,0.33,0.0,0.0,
唐川大志,JTサンダーズ広島,15,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
喜入祥充,サントリーサンバーズ,15,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
塩田達也,サントリーサンバーズ,12,4,0.0,4,3,0,75.0,75.0,1,0,0,0,13,1,1,3,0,0,0,4,0.0,0.75,0.0,11.5,
大宅真樹,サントリーサンバーズ,9,4,0.0,0,0,0,,,0,0,0,1,39,5,4,9,0,0,0,6,,0.0,0.25,16.0,
季道帥,サントリーサンバーズ,6,4,0.0,22,7,1,31.8,27.3,5,2,1,1,11,1,2,1,8,1,2,9,40.0,1.75,0.25,6.8,25.0
安永拓弥,JTサンダーズ広島,1,3,0.0,8,1,0,12.5,12.5,0,0,0,0,6,0,1,1,2,1,0,1,,0.33,0.0,0.0,50.0
小川猛,サントリーサンバーズ,18,2,0.0,2,1,0,50.0,50.0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.5,0.0,0.0,
小野寺太志,JTサンダーズ広島,2,4,0.0,19,6,2,31.6,21.1,0,0,0,3,12,0,3,5,1,1,0,9,,1.5,0.75,4.2,100.0
小野遥輝,サントリーサンバーズ,3,4,0.0,12,7,1,58.3,50.0,0,0,0,3,6,0,1,1,0,0,0,10,,1.75,0.75,0.0,
山本将平,JTサンダーズ広島,18,4,0.0,16,5,1,31.2,25.0,2,0,1,0,13,0,3,4,28,22,2,5,0.0,1.25,0.0,1.9,82.1
星谷健太朗,サントリーサンバーズ,17,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栗山雅史,サントリーサンバーズ,19,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
武智洸史,JTサンダーズ広島,8,3,0.0,1,0,0,0.0,0.0,0,0,0,0,2,0,2,0,2,2,0,0,,0.0,0.0,-25.0,100.0
深津旭弘,JTサンダーズ広島,3,4,0.0,2,1,0,50.0,50.0,0,0,0,0,13,0,1,3,2,0,0,1,,0.25,0.0,3.8,0.0
熊倉允,JTサンダーズ広島,14,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
秦耕介,サントリーサンバーズ,11,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
藤中謙也,サントリーサンバーズ,10,4,0.0,15,8,1,53.3,46.7,2,0,1,1,13,0,0,1,29,12,2,9,0.0,2.0,0.25,1.9,44.8
西田寛基,サントリーサンバーズ,20,4,0.0,0,0,0,,,0,0,0,0,3,0,2,0,0,0,0,0,,0.0,0.0,-16.7,
金子聖輝,JTサンダーズ広島,17,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
陳建禎,JTサンダーズ広島,19,4,0.0,29,12,2,41.4,34.5,3,2,0,0,9,0,2,2,21,12,2,12,66.7,3.0,0.0,0.0,61.9
鶴田大樹,サントリーサンバーズ,1,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,17,11,2,0,,0.0,0.0,,70.6
