大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,大分三好ヴァイセアドラー,27,79,434,221,41,50.9,54,27,9,50.0,2.8,13,0.16,262,4,3,56,49,2.0,446,143,124,46.0,221,13,7,241
レギュラーラウンド,大分三好ヴァイセアドラー,27,79,434,221,41,50.9,54,27,9,50.0,2.8,13,0.16,262,4,3,56,49,2.0,446,143,124,46.0,221,13,7,241
V.LEAGUE DIVISION1 MEN 2018-19,大分三好ヴァイセアドラー,27,94,570,278,44,48.8,91,45,10,49.5,2.96,9,0.1,284,6,2,82,56,0.5,350,102,78,40.3,278,9,8,295
レギュラーラウンド,大分三好ヴァイセアドラー,27,94,570,278,44,48.8,91,45,10,49.5,2.96,9,0.1,284,6,2,82,56,0.5,350,102,78,40.3,278,9,8,295
Ｖ・チャレンジリーグⅠ男子 2017/18,大分三好ヴァイセアドラー,15,32,124,57,8,46.0,17,8,2,47.1,1.78,3,0.09,97,2,2,20,21,4.4,206,68,67,49.3,57,3,4,64
レギュラーラウンド,大分三好ヴァイセアドラー,15,32,124,57,8,46.0,17,8,2,47.1,1.78,3,0.09,97,2,2,20,21,4.4,206,68,67,49.3,57,3,4,64
Ｖ・チャレンジリーグⅡ男子 2016/17,近畿クラブスフィーダ,11,33,255,129,20,50.6,59,30,10,50.8,3.91,7,0.21,148,3,5,28,52,13.5,59,25,0,42.4,129,7,8,144
レギュラーラウンド,近畿クラブスフィーダ,11,33,255,129,20,50.6,59,30,10,50.8,3.91,7,0.21,148,3,5,28,52,13.5,59,25,0,42.4,129,7,8,144
Ｖ・チャレンジリーグⅡ男子 2015/16,近畿クラブスフィーダ,11,31,245,109,12,44.5,27,11,2,40.7,3.52,6,0.19,116,2,6,30,30,12.3,65,34,0,52.3,109,6,8,123
レギュラーラウンド,近畿クラブスフィーダ,11,31,245,109,12,44.5,27,11,2,40.7,3.52,6,0.19,116,2,6,30,30,12.3,65,34,0,52.3,109,6,8,123
Ｖ・チャレンジリーグ男子 2014/15,近畿クラブスフィーダ,8,26,165,56,9,33.9,19,8,2,42.1,2.15,1,0.04,71,5,0,11,19,13.7,226,109,0,48.2,56,1,5,62
レギュラーラウンド,近畿クラブスフィーダ,8,26,165,56,9,33.9,19,8,2,42.1,2.15,1,0.04,71,5,0,11,19,13.7,226,109,0,48.2,56,1,5,62
Ｖ・チャレンジリーグ男子 2013/14,近畿クラブスフィーダ,11,34,168,72,7,42.9,4,1,0,25.0,2.12,6,0.18,112,4,3,14,33,13.1,87,40,0,46.0,72,6,7,85
レギュラーラウンド,近畿クラブスフィーダ,11,34,168,72,7,42.9,4,1,0,25.0,2.12,6,0.18,112,4,3,14,33,13.1,87,40,0,46.0,72,6,7,85
レギュラーシーズン通算,,110,329,1961,922,141,47.0,271,130,35,48.0,2.8,45,0.14,1090,26,21,241,260,4.7,1439,521,269,45.6,922,45,47,1014
通算,,110,329,1961,922,141,47.0,271,130,35,48.0,2.8,45,0.14,1090,26,21,241,260,4.7,1439,521,269,45.6,922,45,47,1014
