名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ギブマイヤーローレン,2011-12,トヨタ車体クインシーズ,16,4,7,1,11,106,51,2,48.1,46.2,1,0,0,4,39,2,2,19,0,0,0,57,0.0,4.64,0.36,16.0,
ギブマイヤーローレン,2012-01,トヨタ車体クインシーズ,16,8,18,2,26,225,99,14,44.0,37.8,1,0,0,16,95,7,6,34,2,1,0,122,0.0,3.81,0.62,14.7,50.0
ギブマイヤーローレン,2012-02,トヨタ車体クインシーズ,16,12,19,2,31,245,119,13,48.6,43.3,0,0,0,14,87,5,7,28,1,1,0,138,,3.84,0.45,11.8,100.0
ギブマイヤーローレン,2012-03,トヨタ車体クインシーズ,16,1,6,0,7,68,30,2,44.1,41.2,0,0,0,6,23,1,3,13,0,0,0,37,,4.29,0.86,15.2,
スタエレンスシャイーヌ,2011-12,パイオニアレッドウィングス,4,1,9,0,10,105,48,8,45.7,38.1,5,1,0,3,25,3,4,6,78,37,0,54,20.0,4.8,0.3,14.0,47.4
スタエレンスシャイーヌ,2012-01,パイオニアレッドウィングス,4,6,14,2,19,185,78,13,42.2,35.1,5,1,2,4,38,2,6,14,178,112,0,84,20.0,4.11,0.21,10.5,62.9
スタエレンスシャイーヌ,2012-02,パイオニアレッドウィングス,4,13,21,3,34,361,148,36,41.0,31.0,23,8,5,6,83,8,5,20,233,154,0,162,34.8,4.35,0.18,14.2,66.1
スタエレンスシャイーヌ,2012-03,パイオニアレッドウィングス,4,4,4,1,8,99,44,5,44.4,39.4,7,6,0,1,28,1,2,13,51,32,0,46,85.7,5.5,0.12,13.4,62.7
フォフィーニャアナパウラ,2011-12,久光製薬スプリングス,11,8,4,2,12,119,49,3,41.2,38.7,20,6,1,4,50,3,3,22,35,19,0,56,30.0,4.08,0.33,15.5,54.3
フォフィーニャアナパウラ,2012-01,久光製薬スプリングス,11,18,14,5,28,272,92,15,33.8,28.3,41,15,4,8,94,6,6,37,79,46,0,106,36.6,3.29,0.29,14.6,58.2
フォフィーニャアナパウラ,2012-02,久光製薬スプリングス,11,22,13,6,35,339,135,20,39.8,33.9,47,16,3,18,133,1,9,61,113,66,0,154,34.0,3.86,0.51,10.5,58.4
フォフィーニャアナパウラ,2012-03,久光製薬スプリングス,11,6,3,2,9,93,35,2,37.6,35.5,12,8,0,5,32,1,5,10,27,15,0,41,66.7,3.89,0.56,7.0,55.6
フリールマノン,2011-12,東レアローズ,12,8,5,2,12,42,19,2,45.2,40.5,12,5,1,1,16,1,1,6,2,0,0,21,41.7,1.58,0.08,14.1,0.0
フリールマノン,2012-01,東レアローズ,12,22,8,7,27,189,86,16,45.5,37.0,39,16,5,16,45,2,14,16,1,1,0,104,41.0,3.19,0.59,5.6,100.0
フリールマノン,2012-02,東レアローズ,12,23,8,7,30,231,84,11,36.4,31.6,37,12,2,12,58,6,6,11,3,2,0,102,32.4,2.8,0.4,12.5,66.7
フリールマノン,2012-03,東レアローズ,12,6,1,2,6,26,15,5,57.7,38.5,2,0,1,1,7,0,1,2,1,0,0,16,0.0,2.5,0.17,3.6,0.0
ブラコチェヴィッチヨヴァナ,2011-12,JTマーヴェラス,6,6,4,2,7,90,40,7,44.4,36.7,33,17,2,2,23,0,2,8,0,0,0,42,51.5,5.71,0.29,6.5,
ブラコチェヴィッチヨヴァナ,2012-01,JTマーヴェラス,6,17,14,5,31,280,114,12,40.7,36.4,63,27,5,9,63,4,13,21,0,0,0,127,42.9,3.68,0.29,9.5,
ブラコチェヴィッチヨヴァナ,2012-02,JTマーヴェラス,6,13,19,3,31,263,104,16,39.5,33.5,75,33,9,16,72,6,7,30,0,0,0,126,44.0,3.35,0.52,16.3,
ブラコチェヴィッチヨヴァナ,2012-03,JTマーヴェラス,6,3,4,1,7,82,31,7,37.8,29.3,13,5,3,2,12,0,2,3,0,0,0,33,38.5,4.43,0.29,2.1,
モルナールブリジトカ,2011-12,NECレッドロケッツ,12,2,9,0,10,80,22,3,27.5,23.8,8,2,1,2,17,0,2,2,14,8,0,24,25.0,2.2,0.2,0.0,57.1
