試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,1,,黒羽桂子,3,■,■,■,nan,nan,4,1,0,25.0,25.0,0.33,0,0,0,-,0,-,11,0,0,2,4.5,0,0,0,-,1
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,2,,板橋恵,2,□,nan,nan,■,nan,2,1,0,50.0,50.0,0.50,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,1
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,3,,松尾留比子,3,■,■,■,nan,nan,19,6,0,31.6,31.6,2.00,0,0,0,-,0,-,8,1,0,3,21.9,20,12,0,60.0,7
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,4,,田中弓貴,2,□,nan,nan,■,nan,8,4,0,50.0,50.0,2.00,0,0,0,-,0,-,2,0,0,0,0.0,8,5,0,62.5,4
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,6,,佐田樹理,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,3,2,0,66.7,0
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,8,,井西彩乃,4,■,■,■,■,nan,45,11,5,24.4,13.3,2.75,0,0,0,-,0,-,14,0,1,7,12.5,22,14,0,63.6,11
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,9,,熊沢美穂,3,□,nan,□,□,nan,7,3,1,42.9,28.6,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,3
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,11,,海老原めぐみ,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,12,,齋藤加奈子,4,■,■,■,■,nan,24,5,0,20.8,20.8,1.25,0,0,0,-,0,-,11,0,0,3,6.8,19,17,0,89.5,5
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,13,,田原香理,4,■,■,■,■,nan,13,4,0,30.8,30.8,1.00,0,0,0,-,4,1.00,8,0,1,0,0.0,1,0,0,0.0,8
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,14,,嶋田美樹,4,■,■,■,■,nan,16,6,1,37.5,31.2,1.50,0,0,0,-,3,0.75,11,0,1,1,2.3,3,2,0,66.7,9
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,17,L,井野亜季子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,6,0,66.7,0
2007-01-28,日立リヴァーレ,久光製薬スプリングス,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,138,41,7,29.7,24.6,10.25,0,0,0,-,7,1.75,74,1,3,18,7.4,85,58,0,68.2,49
