名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アラウジョダシルバレアンドロ,2007-12,東レアローズ,11,48,15,134,67,10,50.0,42.5,50,23,5,8,56,2,15,19,0,0,0,77,46.0,4.47,0.53,5.4,
アラウジョダシルバレアンドロ,2008-01,東レアローズ,11,7,29,300,132,32,44.0,33.3,123,50,21,9,83,8,27,28,0,0,0,149,40.7,4.55,0.31,9.9,
アラウジョダシルバレアンドロ,2008-02,東レアローズ,11,18,32,383,195,33,50.9,42.3,162,72,21,8,123,15,40,33,1,1,0,218,44.4,6.09,0.25,10.8,100.0
アラウジョダシルバレアンドロ,2008-03,東レアローズ,11,24,31,326,164,37,50.3,39.0,126,57,19,12,131,11,43,36,1,0,0,187,45.2,5.29,0.39,7.1,0.0
エンダキエムブレイ,2007-12,堺ブレイザーズ,7,48,16,124,65,8,52.4,46.0,48,26,3,14,60,3,10,16,0,0,0,82,54.2,4.06,0.88,7.5,
エンダキエムブレイ,2008-01,堺ブレイザーズ,7,7,28,256,129,24,50.4,41.0,111,56,14,22,115,10,22,42,1,0,0,161,50.5,4.61,0.79,13.0,0.0
エンダキエムブレイ,2008-02,堺ブレイザーズ,7,8,16,126,67,10,53.2,45.2,47,25,7,13,62,8,12,22,0,0,0,88,53.2,4.19,0.81,16.9,
エンダキエムブレイ,2008-03,堺ブレイザーズ,7,24,27,254,128,20,50.4,42.5,106,52,12,16,110,11,29,31,2,1,0,155,49.1,4.74,0.59,10.5,50.0
オンソムデニスモクア,2007-12,大分三好ヴァイセアドラー,10,48,14,124,48,18,38.7,24.2,28,10,4,3,37,0,4,6,46,27,0,51,35.7,3.43,0.21,1.4,58.7
オンソムデニスモクア,2008-01,大分三好ヴァイセアドラー,10,7,27,329,144,41,43.8,31.3,110,52,18,8,83,2,14,20,1,1,0,154,47.3,5.33,0.3,4.2,100.0
オンソムデニスモクア,2008-02,大分三好ヴァイセアドラー,10,18,29,320,134,39,41.9,29.7,142,62,19,10,74,1,13,13,0,0,0,145,43.7,4.62,0.34,1.4,
オンソムデニスモクア,2008-03,大分三好ヴァイセアドラー,10,24,31,386,157,33,40.7,32.1,161,63,16,11,92,3,12,19,3,0,0,171,39.1,5.06,0.35,5.2,0.0
コンセイソンエベルトン,2007-12,NECブルーロケッツ,23,48,15,144,61,18,42.4,29.9,64,31,10,7,54,3,10,14,2,0,0,71,48.4,4.07,0.47,7.4,0.0
コンセイソンエベルトン,2008-01,NECブルーロケッツ,23,4,11,106,51,11,48.1,37.7,40,16,5,4,42,1,8,14,0,0,0,56,40.0,4.64,0.36,6.0,
コンセイソンエベルトン,2008-02,NECブルーロケッツ,23,14,23,193,89,12,46.1,39.9,75,40,6,6,84,3,17,19,0,0,0,98,53.3,3.87,0.26,4.2,
コンセイソンエベルトン,2008-03,NECブルーロケッツ,23,12,4,35,14,4,40.0,28.6,16,6,4,0,9,0,1,4,0,0,0,14,37.5,3.5,0.0,8.3,
パンテレイモネンコマクシム,2007-12,JTサンダーズ,15,48,15,121,54,7,44.6,38.8,25,12,1,7,51,4,14,18,81,56,0,65,48.0,3.6,0.47,9.8,69.1
パンテレイモネンコマクシム,2008-01,JTサンダーズ,15,7,26,205,89,17,43.4,35.1,38,14,7,14,80,8,26,23,107,71,0,111,36.8,3.42,0.54,9.1,66.4
パンテレイモネンコマクシム,2008-02,JTサンダーズ,15,14,25,206,89,18,43.2,34.5,46,22,4,8,92,5,33,31,107,60,0,102,47.8,3.56,0.32,4.9,56.1
パンテレイモネンコマクシム,2008-03,JTサンダーズ,15,24,25,210,106,19,50.5,41.4,58,36,3,5,87,9,26,22,122,81,0,120,62.1,4.24,0.2,9.2,66.4
ビッタールファビアノ,2007-12,豊田合成トレフェルサ,4,48,15,137,58,12,42.3,33.6,61,29,4,5,52,6,23,12,0,0,0,69,47.5,3.87,0.33,6.2,
ビッタールファビアノ,2008-01,豊田合成トレフェルサ,4,7,21,220,91,25,41.4,30.0,87,39,15,8,76,9,30,17,0,0,0,108,44.8,4.33,0.38,7.6,
ビッタールファビアノ,2008-02,豊田合成トレフェルサ,4,18,35,356,165,34,46.3,36.8,158,66,21,15,130,7,50,38,0,0,0,187,41.8,4.71,0.43,3.1,
ビッタールファビアノ,2008-03,豊田合成トレフェルサ,4,24,32,328,154,28,47.0,38.4,148,66,17,16,115,7,41,31,0,0,0,177,44.6,4.81,0.5,3.9,
フォンテレスフェリペ,2007-12,パナソニックパンサーズ,3,48,16,135,78,12,57.8,48.9,32,20,2,7,49,3,18,15,90,60,0,88,62.5,4.88,0.44,4.6,66.7
