名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アラウジョダシルバレアンドロ,東レアローズ,11,97,107,1143,558,112,48.8,39.0,461,202,66,37,393,36,125,116,2,1,0,631,43.8,5.21,0.35,8.6,50.0
エンダキエムブレイ,堺ブレイザーズ,7,87,87,760,389,62,51.2,43.0,312,159,36,65,347,32,73,111,3,1,0,486,51.0,4.47,0.75,12.0,33.3
オンソムデニスモクア,大分三好ヴァイセアドラー,10,97,101,1159,483,131,41.7,30.4,441,187,57,32,286,6,43,58,50,28,0,521,42.4,4.78,0.32,3.4,56.0
コンセイソンエベルトン,NECブルーロケッツ,23,78,53,478,215,45,45.0,35.6,195,93,25,17,189,7,36,51,2,0,0,239,47.7,4.06,0.32,5.7,0.0
パンテレイモネンコマクシム,JTサンダーズ,15,93,91,742,338,61,45.6,37.3,167,84,15,34,310,26,99,94,417,268,0,398,50.3,3.71,0.37,8.0,64.3
ビッタールファビアノ,豊田合成トレフェルサ,4,97,103,1041,468,99,45.0,35.4,454,200,57,44,373,29,144,98,0,0,0,541,44.1,4.54,0.43,4.7,
フォンテレスフェリペ,パナソニックパンサーズ,3,88,96,709,380,70,53.6,43.7,167,96,16,51,328,30,107,97,451,304,0,461,57.5,3.96,0.53,8.4,67.4
レオナルドメロ,サントリーサンバーズ,8,94,100,862,447,76,51.9,43.0,361,185,43,68,361,23,93,116,0,0,0,538,51.2,4.47,0.68,8.0,
三上圭治郎,NECブルーロケッツ,20,44,49,271,122,30,45.0,33.9,50,23,6,14,149,6,35,36,309,201,0,142,46.0,2.49,0.29,4.2,65.0
上田剛史,サントリーサンバーズ,5,23,3,7,2,1,28.6,14.3,0,0,0,0,4,0,0,2,0,0,0,2,,0.67,0.0,12.5,
中山大祐,JTサンダーズ,8,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村紘二,大分三好ヴァイセアドラー,8,66,14,4,2,0,50.0,50.0,0,0,0,0,17,0,4,3,38,22,0,2,,0.14,0.0,-1.5,57.9
中西了将,NECブルーロケッツ,24,43,1,0,0,0,,,0,0,0,0,2,0,2,0,0,0,0,0,,0.0,0.0,-25.0,
丸山祥二,豊田合成トレフェルサ,18,21,31,20,6,3,30.0,15.0,0,0,0,2,32,2,3,15,2,2,0,10,,0.19,0.06,15.6,100.0
丹山禎昭,JTサンダーズ,5,97,32,8,3,1,37.5,25.0,0,0,0,4,86,1,3,20,5,0,0,8,,0.09,0.12,6.1,0.0
久保尚志,パナソニックパンサーズ,11,80,64,0,0,0,,,0,0,0,0,85,3,19,24,2,0,0,3,,0.0,0.0,5.0,0.0
二木健太,サントリーサンバーズ,14,6,4,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,1,,0.0,0.25,,
五十嵐元,豊田合成トレフェルサ,12,56,15,29,15,4,51.7,37.9,6,2,1,1,27,0,8,5,65,47,0,16,33.3,1.0,0.07,-2.8,72.3
井上崇昭,豊田合成トレフェルサ,8,82,52,226,106,13,46.9,41.2,33,16,3,10,131,2,23,36,280,172,0,118,48.5,2.04,0.19,4.0,61.4
井上裕介,大分三好ヴァイセアドラー,21,90,94,0,0,0,,,0,0,0,0,0,0,0,0,436,341,0,0,,0.0,0.0,,78.2
今井啓介,パナソニックパンサーズ,4,97,64,188,89,18,47.3,37.8,30,12,6,27,158,2,13,39,2,0,0,118,40.0,1.39,0.42,5.4,0.0
今田祐介,東レアローズ,14,95,80,453,206,39,45.5,36.9,52,17,12,25,310,21,50,87,334,209,0,252,32.7,2.58,0.31,9.8,62.6
伊藤信博,堺ブレイザーズ,15,97,107,236,127,15,53.8,47.5,2,1,0,62,333,18,80,105,16,6,0,207,50.0,1.19,0.58,7.3,37.5
佐別當賢治,サントリーサンバーズ,15,6,6,0,0,0,,,0,0,0,0,0,0,0,0,28,4,0,0,,0.0,0.0,,14.3
佐藤和哉,豊田合成トレフェルサ,17,24,9,1,1,0,100.0,100.0,0,0,0,0,7,0,0,4,0,0,0,1,,0.11,0.0,14.3,
内冨寛法,JTサンダーズ,17,96,54,444,212,39,47.7,39.0,181,87,25,12,183,3,44,35,11,8,0,227,48.1,3.93,0.22,0.4,72.7
冨士田裕大,サントリーサンバーズ,19,92,19,62,22,9,35.5,21.0,32,9,7,3,23,0,7,6,1,1,0,25,28.1,1.16,0.16,-1.1,100.0
前村直樹,大分三好ヴァイセアドラー,14,91,77,24,12,2,50.0,41.7,1,0,0,14,198,3,15,60,1,0,0,29,0.0,0.16,0.18,7.2,0.0
前田和樹,NECブルーロケッツ,25,97,74,540,251,57,46.5,35.9,248,117,34,19,242,12,62,53,9,6,0,282,47.2,3.39,0.26,4.0,66.7
前田悟,JTサンダーズ,11,97,83,33,19,0,57.6,57.6,1,0,0,22,260,14,41,64,7,0,0,55,0.0,0.23,0.27,7.6,0.0
加藤陽一,JTサンダーズ,9,97,73,308,124,25,40.3,32.1,53,27,6,17,216,11,30,56,345,227,0,152,50.9,1.7,0.23,8.1,65.8
北島武,堺ブレイザーズ,4,97,85,545,264,44,48.4,40.4,108,58,15,16,327,9,59,98,566,382,0,289,53.7,3.11,0.19,5.7,67.5
北川祐介,豊田合成トレフェルサ,2,85,106,166,69,11,41.6,34.9,0,0,0,103,403,10,17,96,11,9,0,182,,0.65,0.97,7.4,81.8
千葉進也,堺ブレイザーズ,6,96,36,164,63,19,38.4,26.8,33,14,5,16,134,2,14,37,263,145,0,81,42.4,1.75,0.44,5.8,55.1
南克幸,大分三好ヴァイセアドラー,23,97,104,263,120,25,45.6,36.1,5,1,1,84,354,5,27,101,33,24,0,209,20.0,1.15,0.81,6.6,72.7
古賀幸一郎,NECブルーロケッツ,19,97,107,0,0,0,,,0,0,0,0,0,0,0,0,466,336,0,0,,0.0,0.0,,72.1
吉田譲,サントリーサンバーズ,4,97,63,2,0,0,0.0,0.0,0,0,0,0,104,5,20,30,0,0,0,5,,0.0,0.0,7.2,
名田篤史,堺ブレイザーズ,9,17,2,2,0,1,0.0,-50.0,0,0,0,0,0,0,0,0,3,1,0,0,,0.0,0.0,,33.3
國近公太,大分三好ヴァイセアドラー,13,40,56,243,110,13,45.3,39.9,44,17,4,7,184,7,34,46,260,154,0,124,38.6,1.96,0.12,5.4,59.2
坂本雄一郎,サントリーサンバーズ,3,94,95,223,124,8,55.6,52.0,0,0,0,55,284,8,28,116,15,13,0,187,,1.31,0.58,10.6,86.7
増成一志,大分三好ヴァイセアドラー,22,47,37,12,3,0,25.0,25.0,0,0,0,2,92,1,3,23,3,0,0,6,,0.08,0.05,6.5,0.0
増野彰,堺ブレイザーズ,11,97,107,0,0,0,,,0,0,0,0,0,0,0,0,470,306,0,0,,0.0,0.0,,65.1
大嶋厚司,大分三好ヴァイセアドラー,5,37,35,60,36,5,60.0,51.7,0,0,0,9,79,1,19,22,4,4,0,46,,1.03,0.26,2.2,100.0
大村悟,NECブルーロケッツ,1,81,60,189,87,37,46.0,26.5,43,19,14,8,145,5,23,47,190,129,0,100,44.2,1.45,0.13,7.6,67.9
大竹貴久,パナソニックパンサーズ,16,6,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大角竜敏,NECブルーロケッツ,10,78,58,116,57,5,49.1,44.8,0,0,0,20,125,3,15,26,6,3,0,80,,0.98,0.34,4.6,50.0
大道大輔,堺ブレイザーズ,18,97,13,16,6,2,37.5,25.0,0,0,0,2,18,0,3,5,0,0,0,8,,0.46,0.15,2.8,
奥谷信彦,NECブルーロケッツ,12,26,21,73,29,4,39.7,34.2,14,6,3,3,37,0,3,7,68,44,0,32,42.9,1.38,0.14,2.7,64.7
宇佐美大輔,パナソニックパンサーズ,2,97,82,40,23,0,57.5,57.5,2,0,0,29,267,14,57,65,2,0,0,66,0.0,0.28,0.35,6.0,0.0
宮下雅寛,JTサンダーズ,1,96,88,180,101,8,56.1,51.7,0,0,0,34,295,9,37,56,5,4,0,144,,1.15,0.39,4.7,80.0
富松崇彰,東レアローズ,1,97,98,171,85,13,49.7,42.1,0,0,0,66,331,22,63,72,10,6,0,173,,0.87,0.67,7.3,60.0
小川旭,JTサンダーズ,4,94,29,74,24,5,32.4,25.7,11,5,1,5,42,0,3,6,60,32,0,29,45.5,0.83,0.17,1.8,53.3
小川貴史,大分三好ヴァイセアドラー,1,97,77,298,103,31,34.6,24.2,9,0,4,19,178,4,32,35,503,343,0,126,0.0,1.34,0.25,2.7,68.2
小糸敬夫,パナソニックパンサーズ,14,91,82,0,0,0,,,0,0,0,0,34,0,1,11,237,152,0,0,,0.0,0.0,7.4,64.1
小西健太郎,大分三好ヴァイセアドラー,7,56,33,4,2,0,50.0,50.0,0,0,0,5,75,0,2,13,1,0,0,7,,0.06,0.15,3.7,0.0
尾上健司,JTサンダーズ,7,97,99,183,89,12,48.6,42.1,0,0,0,64,272,4,12,65,23,17,0,157,,0.9,0.65,6.3,73.9
山本太二,東レアローズ,20,57,28,5,1,0,20.0,20.0,0,0,0,4,60,0,2,22,0,0,0,5,,0.04,0.14,8.3,
山本英之,豊田合成トレフェルサ,20,67,25,4,1,1,25.0,0.0,0,0,0,0,12,0,0,4,0,0,0,1,,0.04,0.0,8.3,
山本隆弘,パナソニックパンサーズ,5,46,90,829,422,87,50.9,40.4,364,181,44,30,358,25,91,118,20,14,0,477,49.7,4.69,0.33,8.9,70.0
山村宏太,サントリーサンバーズ,1,97,95,290,166,10,57.2,53.8,1,0,0,64,367,6,13,105,15,8,0,236,0.0,1.75,0.67,7.9,53.3
岡本秀明,豊田合成トレフェルサ,13,24,25,6,3,1,50.0,33.3,1,0,0,0,36,2,11,9,10,6,0,5,0.0,0.12,0.0,4.2,60.0
岩田正之,パナソニックパンサーズ,7,97,42,5,2,1,40.0,20.0,0,0,0,2,140,1,4,30,2,0,0,5,,0.05,0.05,5.4,0.0
岸本一馬,パナソニックパンサーズ,1,55,10,10,4,1,40.0,30.0,0,0,0,0,7,0,1,2,6,3,0,4,,0.4,0.0,3.6,50.0
島野俊一,豊田合成トレフェルサ,19,85,44,4,1,2,25.0,-25.0,0,0,0,15,126,1,4,26,3,0,0,17,,0.02,0.34,5.2,0.0
川村慎二,パナソニックパンサーズ,8,94,80,301,140,18,46.5,40.5,64,27,5,13,248,12,30,59,344,234,0,165,42.2,1.75,0.16,7.8,68.0
川浦博昭,豊田合成トレフェルサ,9,97,106,334,193,9,57.8,55.1,0,0,0,52,317,9,45,61,21,14,0,254,,1.82,0.49,4.1,66.7
平野信孝,JTサンダーズ,20,62,11,63,24,5,38.1,30.2,26,11,1,3,20,0,3,3,0,0,0,27,42.3,2.18,0.27,0.0,
徳丸善基,大分三好ヴァイセアドラー,2,97,84,182,83,12,45.6,39.0,0,0,0,29,196,3,13,52,29,22,0,115,,0.99,0.35,6.5,75.9
徳元幸人,JTサンダーズ,6,85,69,268,107,26,39.9,30.2,10,4,2,19,270,4,11,88,541,387,0,130,40.0,1.55,0.28,8.6,71.5
掛川厚志,東レアローズ,6,34,28,0,0,0,,,0,0,0,0,2,0,1,0,122,86,0,0,,0.0,0.0,-12.5,70.5
朝長孝介,堺ブレイザーズ,5,97,40,4,3,0,75.0,75.0,1,1,0,2,112,3,2,28,1,0,0,8,100.0,0.08,0.05,8.5,0.0
木内学,堺ブレイザーズ,10,97,29,41,20,3,48.8,41.5,11,5,1,1,50,1,12,7,67,44,0,22,45.5,0.69,0.03,-0.5,65.7
木原丈裕,サントリーサンバーズ,12,45,15,48,20,3,41.7,35.4,2,1,1,4,41,0,0,13,86,43,0,24,50.0,1.33,0.27,7.9,50.0
杉山マルコス,サントリーサンバーズ,18,58,24,73,37,7,50.7,41.1,8,3,2,5,63,5,20,13,138,106,0,47,37.5,1.54,0.21,5.2,76.8
松本慶彦,NECブルーロケッツ,11,97,108,320,158,16,49.4,44.4,0,0,0,57,375,8,9,74,20,16,0,223,,1.46,0.53,6.5,80.0
松永理生,豊田合成トレフェルサ,22,79,32,130,48,10,36.9,29.2,50,14,5,3,62,0,7,10,0,0,0,51,28.0,1.5,0.09,1.2,
枩田優介,パナソニックパンサーズ,13,84,32,40,23,1,57.5,55.0,0,0,0,7,81,1,4,26,4,4,0,31,,0.72,0.22,8.0,100.0
栗原圭介,サントリーサンバーズ,6,97,99,16,3,1,18.8,12.5,0,0,0,15,381,9,15,126,6,0,0,27,,0.03,0.15,9.6,0.0
桑田鎮典,サントリーサンバーズ,9,79,27,64,38,6,59.4,50.0,6,3,2,5,90,3,14,22,205,122,0,46,50.0,1.41,0.19,5.6,59.5
森佑之,豊田合成トレフェルサ,11,43,48,0,0,0,,,0,0,0,0,0,0,0,0,223,155,0,0,,0.0,0.0,,69.5
森岡晃太郎,大分三好ヴァイセアドラー,3,62,18,21,7,3,33.3,19.0,0,0,0,3,26,1,0,12,4,4,0,11,,0.39,0.17,15.4,100.0
森田亜貴斗,パナソニックパンサーズ,12,97,102,221,117,11,52.9,48.0,1,0,0,52,296,6,21,76,31,26,0,175,0.0,1.15,0.51,6.7,83.9
永野健,パナソニックパンサーズ,17,38,62,0,0,0,,,0,0,0,0,0,0,0,0,250,184,0,0,,0.0,0.0,,73.6
沖本祥雄,大分三好ヴァイセアドラー,9,23,6,32,9,3,28.1,18.8,2,1,0,0,18,0,4,4,45,29,0,9,50.0,1.5,0.0,0.0,64.4
津曲勝利,サントリーサンバーズ,11,91,97,0,0,0,,,0,0,0,0,0,0,0,0,365,266,0,0,,0.0,0.0,,72.9
浅倉勇,NECブルーロケッツ,3,83,44,110,43,9,39.1,30.9,6,1,1,7,62,4,7,11,96,61,0,54,16.7,0.98,0.16,8.1,63.5
浜崎勇矢,豊田合成トレフェルサ,10,12,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
澤畠雄一郎,堺ブレイザーズ,1,94,101,236,107,15,45.3,39.0,1,1,0,32,347,4,3,37,23,17,0,143,100.0,1.06,0.32,3.6,73.9
田村裕之,JTサンダーズ,14,13,14,12,9,1,75.0,66.7,0,0,0,3,21,1,0,7,0,0,0,13,,0.64,0.21,13.1,
田辺修,東レアローズ,2,66,84,0,0,0,,,0,0,0,0,0,0,0,0,419,299,0,0,,0.0,0.0,,71.4
甲斐祐之,豊田合成トレフェルサ,6,58,75,473,201,37,42.5,34.7,73,34,9,29,274,9,71,70,396,246,0,239,46.6,2.68,0.39,3.2,62.1
町野仁志,JTサンダーズ,2,85,69,90,45,4,50.0,45.6,0,0,0,23,150,2,22,35,30,23,0,70,,0.65,0.33,3.5,76.7
白澤健児,パナソニックパンサーズ,6,97,79,207,104,15,50.2,43.0,0,0,0,46,231,1,31,47,30,22,0,151,,1.32,0.58,2.2,73.3
盛重龍,豊田合成トレフェルサ,1,92,87,454,192,38,42.3,33.9,65,21,13,41,297,6,56,68,603,411,0,239,32.3,2.21,0.47,3.0,68.2
直弘龍治,JTサンダーズ,10,46,59,470,201,32,42.8,36.0,191,77,18,22,187,3,15,35,0,0,0,226,40.3,3.41,0.37,4.3,
相澤寿,東レアローズ,19,19,11,1,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
石倉弘士,NECブルーロケッツ,17,2,2,3,1,0,33.3,33.3,0,0,0,0,1,0,1,0,0,0,0,1,,0.5,0.0,-25.0,
石島雄介,堺ブレイザーズ,3,94,102,625,284,40,45.4,39.0,106,48,11,34,352,16,48,84,570,403,0,334,45.3,2.78,0.33,7.1,70.7
神田聖馬,大分三好ヴァイセアドラー,4,97,61,218,85,28,39.0,26.1,91,39,16,4,110,5,33,33,0,0,0,94,42.9,1.39,0.07,4.5,
