月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
10,堺ブレイザーズ,9,,モーリストーレス,8,2,2,2,1,1,68,36,4,52.9,47.1,4.5,21,14,1,66.7,4,0.5,35,1,10,9,2.1,0,0,0,
11,堺ブレイザーズ,9,,モーリストーレス,31,8,8,8,6,1,316,155,19,49.1,43.0,5.0,125,62,9,49.6,13,0.4,119,3,30,40,4.6,0,0,0,
12,堺ブレイザーズ,9,,モーリストーレス,22,6,6,6,3,1,244,128,18,52.5,45.1,5.8,116,62,7,53.4,9,0.4,85,5,20,21,6.2,0,0,0,
01,堺ブレイザーズ,9,,モーリストーレス,3,1,1,1,0,0,24,18,0,75.0,75.0,6.0,11,9,0,81.8,1,0.3,12,0,2,5,6.2,0,0,0,
02,堺ブレイザーズ,9,,モーリストーレス,19,6,6,5,1,1,186,99,11,53.2,47.3,5.2,67,40,3,59.7,6,0.3,74,5,19,24,8.4,0,0,0,
