大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,久光製薬スプリングス,24,73,854,314,28,36.8,70,19,8,27.1,4.30,13,0.18,206,3,8,14,61,11.0,260,102,73,53.3,314,13,11,338
プレミアカンファレンス,久光製薬スプリングス,15,37,452,155,15,34.3,41,11,4,26.8,4.19,6,0.16,102,3,6,6,32,15.2,111,42,40,55.9,155,6,9,170
交流戦,久光製薬スプリングス,6,22,227,97,5,42.7,19,5,3,26.3,4.41,4,0.18,58,0,2,5,15,7.8,97,41,21,53.1,97,4,2,103
ファイナル８・Ｂグループ,久光製薬スプリングス,3,14,175,62,8,35.4,10,3,1,30.0,4.43,3,0.21,46,0,0,3,14,6.0,52,19,12,48.1,62,3,0,65
V.LEAGUE DIVISION1 WOMEN 2018-19,久光製薬スプリングス,30,29,288,107,8,37.2,15,2,1,13.3,3.69,5,0.17,92,2,8,6,30,17.4,83,34,24,55.4,107,5,10,122
Western Conference,久光製薬スプリングス,8,11,129,52,6,40.3,5,1,0,20.0,4.73,3,0.27,32,0,3,3,14,18.0,46,25,9,64.1,52,3,3,58
交流戦,久光製薬スプリングス,12,15,159,55,2,34.6,10,1,1,10.0,3.67,2,0.13,60,2,5,3,16,17.1,37,9,15,44.6,55,2,7,64
ファイナル８,久光製薬スプリングス,7,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,久光製薬スプリングス,3,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ女子 2017/18,久光製薬スプリングス,6,13,42,20,1,47.6,3,1,0,33.3,1.54,1,0.08,14,0,1,0,3,12.5,30,7,8,36.7,20,1,1,22
ファイナル６,久光製薬スプリングス,2,5,42,20,1,47.6,3,1,0,33.3,4.00,1,0.20,14,0,1,0,3,12.5,30,7,8,36.7,20,1,1,22
ファイナル３,久光製薬スプリングス,2,2,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,久光製薬スプリングス,2,6,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,41,85,967,359,28,37.1,75,18,8,24.0,4.22,15,0.18,252,5,16,17,77,14.3,291,117,85,54.8,359,15,21,395
通算,,60,115,1184,441,37,37.2,88,22,9,25.0,3.83,19,0.17,312,5,17,20,94,13.0,373,143,105,52.4,441,19,22,482
