大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,埼玉上尾メディックス,26,80,15,5,1,33.3,0,0,0,-,0.06,12,0.15,175,4,3,15,56,9.9,2,0,0,0.0,5,12,7,24
スターカンファレンス,埼玉上尾メディックス,15,48,10,3,1,30.0,0,0,0,-,0.06,6,0.12,106,4,2,10,33,11.1,1,0,0,0.0,3,6,6,15
交流戦,埼玉上尾メディックス,6,13,0,0,0,-,0,0,0,-,-,2,0.15,27,0,0,3,6,2.8,0,0,0,-,0,2,0,2
ファイナル８・Ａグループ,埼玉上尾メディックス,3,13,2,1,0,50.0,0,0,0,-,0.08,2,0.15,25,0,1,2,9,11.0,1,0,0,0.0,1,2,1,4
セミファイナル②,埼玉上尾メディックス,1,3,1,0,0,0.0,0,0,0,-,-,2,0.67,7,0,0,0,5,17.9,0,0,0,-,0,2,0,2
３位決定戦,埼玉上尾メディックス,1,3,2,1,0,50.0,0,0,0,-,0.33,0,-,10,0,0,0,3,7.5,0,0,0,-,1,0,0,1
V.LEAGUE DIVISION1 WOMEN 2018-19,埼玉上尾メディックス,27,103,32,20,1,62.5,1,1,0,100.0,0.19,18,0.17,388,2,16,29,140,11.8,5,0,0,0.0,20,18,18,56
Eastern Conference,埼玉上尾メディックス,10,39,13,9,1,69.2,0,0,0,-,0.23,8,0.21,131,1,9,8,53,16.2,1,0,0,0.0,9,8,10,27
交流戦,埼玉上尾メディックス,10,37,7,5,0,71.4,1,1,0,100.0,0.14,6,0.16,137,0,2,12,47,7.8,3,0,0,0.0,5,6,2,13
ファイナル８,埼玉上尾メディックス,7,27,12,6,0,50.0,0,0,0,-,0.22,4,0.15,120,1,5,9,40,11.5,1,0,0,0.0,6,4,6,16
Ｖ・プレミアリーグ女子 2017/18,埼玉上尾メディックス,21,3,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,0,0,0,-,0,0,0,0
レギュラーラウンド,埼玉上尾メディックス,21,3,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,1,25.0,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグⅠ女子 2016/17,埼玉上尾メディックス,2,3,0,0,0,-,0,0,0,-,-,0,-,7,0,0,0,5,17.9,0,0,0,-,0,0,0,0
レギュラーラウンド,埼玉上尾メディックス,2,3,0,0,0,-,0,0,0,-,-,0,-,7,0,0,0,5,17.9,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,64,143,30,17,2,56.7,1,1,0,100.0,0.12,22,0.15,409,5,13,33,145,11.2,5,0,0,0.0,17,22,18,57
通算,,76,189,47,25,2,53.2,1,1,0,100.0,0.13,30,0.16,571,6,19,44,202,11.3,7,0,0,0.0,25,30,25,80
