名前,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ソトへクター,パナソニックパンサーズ,17,4,4,0.0,32,19,1,59.4,56.2,5,4,1,0,18,0,4,9,16,10,0,19,80.0,4.75,0.0,6.9,62.5
ニコロフウラジミール,東レアローズ,11,4,4,0.0,49,23,4,46.9,38.8,27,13,2,0,17,3,6,4,0,0,0,26,48.1,5.75,0.0,14.7,
ビッタールファビアノ,豊田合成トレフェルサ,4,4,4,0.0,29,14,8,48.3,20.7,15,7,6,1,14,1,3,7,1,1,0,16,46.7,3.5,0.25,14.3,100.0
レオナルドメロ,サントリーサンバーズ,8,4,4,0.0,27,17,3,63.0,51.9,14,9,2,3,14,0,4,1,0,0,0,20,64.3,4.25,0.75,-5.4,
久保尚志,パナソニックパンサーズ,11,4,4,0.0,0,0,0,,,0,0,0,0,5,0,2,2,0,0,0,0,,0.0,0.0,0.0,
今井啓介,パナソニックパンサーズ,4,4,4,0.0,13,7,0,53.8,53.8,0,0,0,4,11,0,1,4,1,1,0,11,,1.75,1.0,6.8,100.0
今田祐介,東レアローズ,14,4,2,0.0,12,3,1,25.0,16.7,5,1,1,0,4,0,4,0,7,4,0,3,20.0,1.5,0.0,-25.0,57.1
北川祐介,豊田合成トレフェルサ,2,4,4,0.0,9,6,0,66.7,66.7,0,0,0,2,12,0,1,3,0,0,0,8,,1.5,0.5,4.2,
吉田譲,サントリーサンバーズ,4,4,2,0.0,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
坂本雄一郎,サントリーサンバーズ,3,4,4,0.0,11,7,0,63.6,63.6,0,0,0,3,11,0,0,4,1,0,0,10,,1.75,0.75,9.1,0.0
宇佐美大輔,パナソニックパンサーズ,2,4,4,0.0,2,2,0,100.0,100.0,0,0,0,0,14,0,2,3,0,0,0,2,,0.5,0.0,1.8,
富松崇彰,東レアローズ,1,4,4,0.0,6,3,0,50.0,50.0,0,0,0,1,19,2,4,8,0,0,0,6,,0.75,0.25,15.8,
小糸敬夫,パナソニックパンサーズ,6,4,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,15,10,0,0,,0.0,0.0,,66.7
山本英之,豊田合成トレフェルサ,20,4,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
山本隆弘,パナソニックパンサーズ,5,4,4,0.0,34,19,4,55.9,44.1,11,5,3,1,14,1,5,4,1,0,0,21,45.5,4.75,0.25,5.4,0.0
