大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 MEN,つくばユナイテッドSunGAIA,21,58,204,104,17,51.0,36,14,7,38.9,1.79,5,0.09,95,1,5,31,22,3.9,1,0,1,50.0,104,5,6,115
レギュラーラウンド,つくばユナイテッドSunGAIA,21,58,204,104,17,51.0,36,14,7,38.9,1.79,5,0.09,95,1,5,31,22,3.9,1,0,1,50.0,104,5,6,115
V.LEAGUE DIVISION2 MEN 2018-19,つくばユナイテッドSunGAIA,12,35,233,92,26,39.5,41,10,8,24.4,2.63,4,0.11,89,5,3,37,19,3.9,0,0,0,-,92,4,8,104
レギュラーラウンド,つくばユナイテッドSunGAIA,12,35,233,92,26,39.5,41,10,8,24.4,2.63,4,0.11,89,5,3,37,19,3.9,0,0,0,-,92,4,8,104
レギュラーシーズン通算,,33,93,437,196,43,44.9,77,24,15,31.2,2.11,9,0.1,184,6,8,68,41,3.9,1,0,1,50.0,196,9,14,219
通算,,33,93,437,196,43,44.9,77,24,15,31.2,2.11,9,0.1,184,6,8,68,41,3.9,1,0,1,50.0,196,9,14,219
