得点,失点,+/-,L-B,状況,番号,選手,交代番号,交代選手,相手状況,相手番号,相手選手,相手交代番号,相手交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,,,,,,サーブ,22,高梨,,
0,0,0,Tie,レシーブ成功(優),10,藤中,,,,,,,
0,0,0,Tie,アタック成功:,19,栗山,,,,,,,
1,0,1,Lead,,得点,,,,,,,,
1,0,1,Lead,サーブ,8,柳田,,,,,,,
1,0,1,Lead,,,,,,レシーブ失敗,24,小川,,
1,0,1,Lead,アタック成功:,19,栗山,,,,,,,
2,0,2,Lead,,得点,,,,,,,,
2,0,2,Lead,サーブ,8,柳田,,,,,,,
2,0,2,Lead,,,,,,レシーブ成功(良),1,山田,,
2,0,2,Lead,,,,,,アタック成功:,1,山田,,
2,1,1,Lead,,,,,,,得点,,,
2,1,1,Lead,,,,,,サーブ,6,近,,
2,1,1,Lead,レシーブ成功(良),1,鶴田,,,,,,,
2,1,1,Lead,アタック成功:,8,柳田,,,,,,,
2,1,1,Lead,,チャレンジ成功,,,,,,,,
3,1,2,Lead,,得点,,,,,,,,
3,1,2,Lead,サーブ,12,塩田,,,,,,,
3,1,2,Lead,,,,,,レシーブ成功(優),1,山田,,
3,1,2,Lead,,,,,,アタック成功:,11,傳田,,
3,2,1,Lead,,,,,,,得点,,,
3,2,1,Lead,,,,,,サーブ,3,クレク,,
3,2,1,Lead,レシーブ成功(良),8,柳田,,,,,,,
3,2,1,Lead,アタック成功:,8,柳田,,,,,,,
4,2,2,Lead,,得点,,,,,,,,
4,2,2,Lead,サーブ,9,大宅,,,,,,,
4,2,2,Lead,,,,,,レシーブ成功(良),22,高梨,,
4,2,2,Lead,,,,,,アタック成功:,3,クレク,,
4,3,1,Lead,,,,,,,得点,,,
4,3,1,Lead,,,,,,サーブ,1,山田,,
4,3,1,Lead,レシーブ失敗,1,鶴田,,,,,,,
4,3,1,Lead,,19,栗山,,,,,,,
4,3,1,Lead,,,,,,,22,高梨,,
4,3,1,Lead,アタック成功:,10,藤中,,,,,,,
5,3,2,Lead,,得点,,,,,,,,
5,3,2,Lead,サーブ,10,藤中,,,,,,,
5,3,2,Lead,,,,,,レシーブ成功(優),1,山田,,
5,3,2,Lead,,,,,,,3,クレク,,
5,3,2,Lead,ブロック成功,8,柳田,,,,,,,
6,3,3,Lead,,得点,,,,,,,,
6,3,3,Lead,,,,,,,タイムアウト,,,
6,3,3,Lead,サーブ,10,藤中,,,,,,,
6,3,3,Lead,,,,,,レシーブ成功(優),1,山田,,
