名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
中島健太,近畿クラブスフィーダ,19,10,41,18,5,43.9,31.7,2,0,1,4,22,1,5,7,0,0,0,0.0,1.8,0.4,6.8,
中沢敏浩,東京トヨペットグリーンスパークル,4,13,0,0,0,,,0,0,0,0,0,0,0,0,91,55,0,,0.0,0.0,,60.4
中西優介,きんでんトリニティーブリッツ,16,9,4,2,0,50.0,50.0,0,0,0,0,14,0,0,6,5,5,0,,0.2,0.0,10.7,100.0
二宮弘樹,トヨタ自動車サンホークス,14,4,5,3,1,60.0,40.0,1,1,0,0,6,0,4,1,7,2,0,100.0,0.8,0.0,-12.5,28.6
井上佑馬,東京トヨペットグリーンスパークル,13,8,25,12,4,48.0,32.0,0,0,0,1,23,0,3,4,0,0,0,,1.5,0.1,1.1,
井上優人,兵庫デルフィーノ,1,13,44,19,3,43.2,36.4,2,1,1,12,46,1,7,21,1,1,0,50.0,1.5,0.9,9.8,100.0
井上周二,兵庫デルフィーノ,6,13,91,41,4,45.1,40.7,1,0,1,4,49,0,0,11,119,77,0,0.0,3.2,0.3,5.6,64.7
今田善仁,きんでんトリニティーブリッツ,4,11,5,5,0,100.0,100.0,0,0,0,3,29,0,1,7,1,1,0,,0.5,0.3,5.2,100.0
伊藤優介,東京トヨペットグリーンスパークル,1,14,88,30,14,34.1,18.2,6,1,3,5,48,3,3,12,34,19,0,16.7,2.1,0.4,10.9,55.9
伊藤達也,近畿クラブスフィーダ,20,13,39,21,2,53.8,48.7,0,0,0,5,54,0,1,20,0,0,0,,1.6,0.4,8.8,
佐々木剛,きんでんトリニティーブリッツ,12,10,0,0,0,,,0,0,0,0,12,0,4,2,0,0,0,,0.0,0.0,-4.2,
北山宏樹,兵庫デルフィーノ,23,10,31,19,1,61.3,58.1,0,0,0,5,39,1,2,15,1,1,0,,1.9,0.5,10.9,100.0
南侑佑,兵庫デルフィーノ,8,1,1,0,0,0.0,0.0,0,0,0,0,1,0,0,1,7,7,0,,0.0,0.0,25.0,100.0
原田将志,兵庫デルフィーノ,3,13,126,66,10,52.4,44.4,40,20,5,10,62,3,13,17,9,3,0,50.0,5.1,0.8,6.5,33.3
和中謙治,近畿クラブスフィーダ,8,8,55,31,3,56.4,50.9,2,1,0,2,25,0,6,3,74,56,0,50.0,3.9,0.2,-3.0,75.7
