大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION3 MEN,近畿クラブスフィーダ,12,40,210,78,9,37.1,0,0,0,-,1.95,11,0.28,98,0,1,4,18,4.6,208,101,62,63.5,78,11,1,90
レギュラーラウンド,近畿クラブスフィーダ,12,40,210,78,9,37.1,0,0,0,-,1.95,11,0.28,98,0,1,4,18,4.6,208,101,62,63.5,78,11,1,90
V.LEAGUE DIVISION3 MEN 2018-19,近畿クラブスフィーダ,16,58,237,84,9,35.4,0,0,0,-,1.45,12,0.21,198,3,2,5,43,7.3,552,298,109,63.9,84,12,5,101
レギュラーラウンド,近畿クラブスフィーダ,16,58,237,84,9,35.4,0,0,0,-,1.45,12,0.21,198,3,2,5,43,7.3,552,298,109,63.9,84,12,5,101
Ｖ・チャレンジリーグⅡ男子 2017/18,近畿クラブスフィーダ,10,25,82,29,6,35.4,1,0,0,0.0,1.16,0,-,50,1,1,0,9,8.5,115,58,24,60.9,29,0,2,31
レギュラーラウンド,近畿クラブスフィーダ,10,25,82,29,6,35.4,1,0,0,0.0,1.16,0,-,50,1,1,0,9,8.5,115,58,24,60.9,29,0,2,31
Ｖ・チャレンジリーグⅡ男子 2016/17,近畿クラブスフィーダ,8,26,127,59,10,46.5,2,0,0,0.0,2.27,4,0.15,70,3,3,8,20,14.9,145,98,0,67.6,59,4,6,69
レギュラーラウンド,近畿クラブスフィーダ,8,26,127,59,10,46.5,2,0,0,0.0,2.27,4,0.15,70,3,3,8,20,14.9,145,98,0,67.6,59,4,6,69
Ｖ・チャレンジリーグⅡ男子 2015/16,近畿クラブスフィーダ,10,17,69,29,3,42.0,0,0,0,-,1.71,0,-,54,0,1,1,7,4.7,66,40,0,60.6,29,0,1,30
レギュラーラウンド,近畿クラブスフィーダ,10,17,69,29,3,42.0,0,0,0,-,1.71,0,-,54,0,1,1,7,4.7,66,40,0,60.6,29,0,1,30
レギュラーシーズン通算,,56,166,725,279,37,38.5,3,0,0,0.0,1.68,27,0.16,470,7,8,18,97,7.4,1086,595,195,63.8,279,27,15,321
通算,,56,166,725,279,37,38.5,3,0,0,0.0,1.68,27,0.16,470,7,8,18,97,7.4,1086,595,195,63.8,279,27,15,321
