大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION3 MEN,近畿クラブスフィーダ,12,39,6,4,0,66.7,0,0,0,-,0.1,2,0.05,118,1,0,6,28,5.5,2,1,0,50.0,4,2,1,7
レギュラーラウンド,近畿クラブスフィーダ,12,39,6,4,0,66.7,0,0,0,-,0.1,2,0.05,118,1,0,6,28,5.5,2,1,0,50.0,4,2,1,7
V.LEAGUE DIVISION3 MEN 2018-19,近畿クラブスフィーダ,16,57,23,12,0,52.2,0,0,0,-,0.21,2,0.04,213,4,4,11,39,7.0,2,1,0,50.0,12,2,8,22
レギュラーラウンド,近畿クラブスフィーダ,16,57,23,12,0,52.2,0,0,0,-,0.21,2,0.04,213,4,4,11,39,7.0,2,1,0,50.0,12,2,8,22
Ｖ・チャレンジリーグⅡ男子 2017/18,近畿クラブスフィーダ,12,39,9,4,0,44.4,1,1,0,100.0,0.1,2,0.05,134,0,1,8,31,5.0,2,0,0,0.0,4,2,1,7
レギュラーラウンド,近畿クラブスフィーダ,12,39,9,4,0,44.4,1,1,0,100.0,0.1,2,0.05,134,0,1,8,31,5.0,2,0,0,0.0,4,2,1,7
Ｖ・チャレンジリーグⅡ男子 2016/17,近畿クラブスフィーダ,6,13,2,1,0,50.0,0,0,0,-,0.08,2,0.15,43,0,1,1,19,12.9,1,0,0,0.0,1,2,1,4
レギュラーラウンド,近畿クラブスフィーダ,6,13,2,1,0,50.0,0,0,0,-,0.08,2,0.15,43,0,1,1,19,12.9,1,0,0,0.0,1,2,1,4
Ｖ・チャレンジリーグⅡ男子 2015/16,近畿クラブスフィーダ,11,34,12,5,0,41.7,0,0,0,-,0.15,5,0.15,132,2,2,5,38,9.9,1,0,0,0.0,5,5,4,14
レギュラーラウンド,近畿クラブスフィーダ,11,34,12,5,0,41.7,0,0,0,-,0.15,5,0.15,132,2,2,5,38,9.9,1,0,0,0.0,5,5,4,14
Ｖ・チャレンジリーグ男子 2014/15,近畿クラブスフィーダ,10,22,9,5,2,55.6,1,0,0,0.0,0.23,2,0.09,71,2,1,6,26,13.1,1,0,0,0.0,5,2,3,10
レギュラーラウンド,近畿クラブスフィーダ,10,22,9,5,2,55.6,1,0,0,0.0,0.23,2,0.09,71,2,1,6,26,13.1,1,0,0,0.0,5,2,3,10
Ｖ・チャレンジリーグ男子 2013/14,近畿クラブスフィーダ,17,19,3,2,0,66.7,0,0,0,-,0.11,1,0.05,28,0,0,2,11,9.8,0,0,0,-,2,1,0,3
レギュラーラウンド,近畿クラブスフィーダ,17,19,3,2,0,66.7,0,0,0,-,0.11,1,0.05,28,0,0,2,11,9.8,0,0,0,-,2,1,0,3
レギュラーシーズン通算,,84,223,64,33,2,51.6,2,1,0,50.0,0.15,16,0.07,739,9,9,39,192,7.6,9,2,0,22.2,33,16,18,67
通算,,84,223,64,33,2,51.6,2,1,0,50.0,0.15,16,0.07,739,9,9,39,192,7.6,9,2,0,22.2,33,16,18,67
