名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
石橋健,2010-03,JTサンダーズ,18,18,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
神田聖馬,2009-12,大分三好ヴァイセアドラー,4,72,18,93,43,9,46.2,36.6,20,11,2,0,64,3,15,29,114,67,0,46,55.0,2.39,0.0,10.2,58.8
神田聖馬,2010-01,大分三好ヴァイセアドラー,4,8,28,25,11,1,44.0,40.0,7,3,1,0,43,1,15,13,18,8,0,12,42.9,0.39,0.0,1.2,44.4
神田聖馬,2010-02,大分三好ヴァイセアドラー,4,16,22,50,25,5,50.0,40.0,27,15,5,0,35,3,12,9,1,0,0,28,55.6,1.14,0.0,6.4,0.0
神田聖馬,2010-03,大分三好ヴァイセアドラー,4,18,7,0,0,0,,,0,0,0,0,8,0,2,2,0,0,0,0,,0.0,0.0,0.0,
福島政則,2009-12,豊田合成トレフェルサ,5,60,4,12,8,1,66.7,58.3,1,1,0,1,5,1,1,1,0,0,0,10,100.0,2.0,0.25,20.0,
福島政則,2010-01,豊田合成トレフェルサ,5,3,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
福島政則,2010-02,豊田合成トレフェルサ,5,10,4,30,11,0,36.7,36.7,8,2,0,0,13,1,6,2,0,0,0,12,25.0,2.75,0.0,0.0,
福島政則,2010-03,豊田合成トレフェルサ,5,18,3,0,0,0,,,0,0,0,0,4,0,2,0,0,0,0,0,,0.0,0.0,-12.5,
福澤達哉,2009-12,パナソニックパンサーズ,15,72,22,133,64,8,48.1,42.1,27,16,1,4,85,9,20,28,169,124,0,77,59.3,2.91,0.18,12.9,73.4
福澤達哉,2010-01,パナソニックパンサーズ,15,8,31,260,128,20,49.2,41.5,75,44,9,11,135,13,30,39,148,77,0,152,58.7,4.13,0.35,11.3,52.0
福澤達哉,2010-02,パナソニックパンサーズ,15,16,33,213,110,23,51.6,40.8,52,23,9,10,128,12,23,35,295,180,0,132,44.2,3.33,0.3,11.7,61.0
福澤達哉,2010-03,パナソニックパンサーズ,15,15,14,105,55,17,52.4,36.2,25,13,5,6,60,1,18,22,104,61,0,62,52.0,3.93,0.43,3.3,58.7
福田裕三,2009-12,FC東京,22,72,9,6,2,0,33.3,33.3,1,0,0,0,11,1,3,5,0,0,0,3,0.0,0.22,0.0,13.6,
福田裕三,2010-01,FC東京,22,6,17,39,21,4,53.8,43.6,6,1,2,0,30,1,9,7,19,11,0,22,16.7,1.24,0.0,1.7,57.9
福田裕三,2010-02,FC東京,22,16,8,4,1,1,25.0,0.0,0,0,0,0,11,2,3,2,0,0,0,3,,0.12,0.0,15.9,
福田裕三,2010-03,FC東京,22,18,7,25,11,3,44.0,32.0,4,1,1,0,13,0,2,5,3,2,0,11,25.0,1.57,0.0,5.8,66.7
福田誉,2009-12,FC東京,3,48,13,0,0,0,,,0,0,0,0,0,0,0,0,99,53,0,0,,0.0,0.0,,53.5
福田誉,2010-01,FC東京,3,8,26,0,0,0,,,0,0,0,0,0,0,0,0,166,102,0,0,,0.0,0.0,,61.4
福田誉,2010-02,FC東京,3,16,25,0,0,0,,,0,0,0,0,0,0,0,0,170,109,0,0,,0.0,0.0,,64.1
福田誉,2010-03,FC東京,3,18,13,0,0,0,,,0,0,0,0,0,0,0,0,83,46,0,0,,0.0,0.0,,55.4
筧本翔昂,2010-02,JTサンダーズ,20,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
篠田歩,2009-12,東レアローズ,17,72,23,59,34,3,57.6,52.5,0,0,0,13,93,3,5,26,8,5,0,50,,1.48,0.57,8.9,62.5
篠田歩,2010-01,東レアローズ,17,8,32,70,41,4,58.6,52.9,0,0,0,10,154,6,9,36,8,5,0,57,,1.28,0.31,8.3,62.5
篠田歩,2010-02,東レアローズ,17,16,31,67,40,7,59.7,49.3,2,0,1,18,138,1,9,41,6,4,0,59,0.0,1.29,0.58,6.5,66.7
篠田歩,2010-03,東レアローズ,17,18,25,68,40,6,58.8,50.0,0,0,0,14,97,4,12,26,4,2,0,58,,1.6,0.56,7.7,50.0
米山裕太,2009-12,東レアローズ,5,72,21,113,47,6,41.6,36.3,10,2,0,3,70,3,3,18,108,79,0,53,20.0,2.24,0.14,9.6,73.1
米山裕太,2010-01,東レアローズ,5,8,32,168,71,10,42.3,36.3,18,5,2,11,87,2,7,17,221,165,0,84,27.8,2.22,0.34,5.2,74.7
米山裕太,2010-02,東レアローズ,5,16,29,175,78,3,44.6,42.9,12,7,1,12,108,2,8,25,208,160,0,92,58.3,2.69,0.41,5.8,76.9
米山裕太,2010-03,東レアローズ,5,18,25,140,63,7,45.0,40.0,14,6,1,9,111,3,11,32,137,101,0,75,42.9,2.52,0.36,7.4,73.7
米山達也,2009-12,サントリーサンバーズ,20,72,20,108,51,15,47.2,33.3,13,8,4,6,85,4,7,44,81,54,0,61,61.5,2.55,0.3,15.6,66.7
米山達也,2010-01,サントリーサンバーズ,20,7,25,96,42,8,43.8,35.4,17,5,2,2,64,5,10,19,118,87,0,49,29.4,1.68,0.08,11.3,73.7
米山達也,2010-02,サントリーサンバーズ,20,16,26,110,49,8,44.5,37.3,9,0,0,4,84,7,16,31,144,95,0,60,0.0,1.88,0.15,12.8,66.0
米山達也,2010-03,サントリーサンバーズ,20,18,25,110,54,9,49.1,40.9,10,5,2,11,92,3,10,41,201,150,0,68,50.0,2.16,0.44,11.7,74.6
興梠龍司,2009-12,大分三好ヴァイセアドラー,12,72,20,0,0,0,,,0,0,0,0,0,0,0,0,95,59,0,0,,0.0,0.0,,62.1
興梠龍司,2010-01,大分三好ヴァイセアドラー,12,8,33,0,0,0,,,0,0,0,0,0,0,0,0,180,125,0,0,,0.0,0.0,,69.4
興梠龍司,2010-02,大分三好ヴァイセアドラー,12,16,31,0,0,0,,,0,0,0,0,0,0,0,0,146,86,0,0,,0.0,0.0,,58.9
興梠龍司,2010-03,大分三好ヴァイセアドラー,12,18,20,0,0,0,,,0,0,0,0,0,0,0,0,92,51,0,0,,0.0,0.0,,55.4
舩越満,2009-12,大分三好ヴァイセアドラー,11,72,6,21,12,1,57.1,52.4,0,0,0,0,17,1,2,2,27,17,0,13,,2.0,0.0,5.9,63.0
舩越満,2010-01,大分三好ヴァイセアドラー,11,8,26,68,23,7,33.8,23.5,3,0,0,5,71,4,8,15,179,119,0,32,0.0,0.88,0.19,8.1,66.5
舩越満,2010-02,大分三好ヴァイセアドラー,11,16,5,7,2,1,28.6,14.3,1,1,0,0,2,0,1,0,12,6,0,2,100.0,0.4,0.0,-12.5,50.0
舩越満,2010-03,大分三好ヴァイセアドラー,11,18,17,12,2,2,16.7,0.0,0,0,0,0,17,1,3,1,39,22,0,3,,0.12,0.0,2.9,56.4
荻野正二,2009-12,サントリーサンバーズ,10,72,3,15,4,1,26.7,20.0,2,0,0,0,8,0,0,3,19,16,0,4,0.0,1.33,0.0,9.4,84.2
