名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三崎栄子,健祥会レッドハーツ,5,35,13,0,0,0,,,0,0,0,0,18,0,1,7,0,0,0,,0.0,0.0,8.3,
上岡奈々瀬,フォレストリーヴズ熊本,1,55,11,7,0,1,0.0,-14.3,0,0,0,0,17,1,3,3,0,0,0,,0.0,0.0,5.9,
上村麻衣,四国Eighty8Queen,10,32,29,98,40,7,40.8,33.7,0,0,0,10,88,1,11,35,2,1,0,,1.38,0.34,8.0,50.0
中村かおり,日立リヴァーレ,19,44,30,0,0,0,,,0,0,0,0,0,0,0,0,119,87,0,,0.0,0.0,,73.1
中野清香,三洋電機レッドソア,8,57,36,405,158,21,39.0,33.8,44,15,3,11,157,12,24,53,39,18,0,34.1,4.39,0.31,12.3,46.2
丸山祐希,柏エンゼルクロス,11,7,12,0,0,0,,,0,0,0,0,17,0,0,3,0,0,0,,0.0,0.0,4.4,
丸山香菜子,フォレストリーヴズ熊本,8,55,40,365,111,25,30.4,23.6,4,0,0,8,152,7,9,59,311,159,0,0.0,2.78,0.2,12.8,51.1
久保みゆき,フォレストリーヴズ熊本,15,55,40,0,0,0,,,0,0,0,0,0,0,0,0,264,154,0,,0.0,0.0,,58.3
乾鈴惠,四国Eighty8Queen,12,32,30,215,66,13,30.7,24.7,0,0,0,6,92,6,5,37,180,96,0,,2.2,0.2,15.2,53.3
井西彩乃,KUROBEアクアフェアリーズ,6,45,37,287,94,26,32.8,23.7,0,0,0,15,161,8,13,59,288,175,0,,2.54,0.41,12.1,60.8
仁里奈那美,四国Eighty8Queen,7,32,29,0,0,0,,,0,0,0,0,13,2,0,5,96,60,0,,0.0,0.0,25.0,62.5
仲本知佳,柏エンゼルクロス,15,56,42,169,62,6,36.7,33.1,1,0,0,13,113,4,2,31,4,0,0,0.0,1.48,0.31,10.0,0.0
伊藤智美,KUROBEアクアフェアリーズ,1,45,18,58,22,7,37.9,25.9,1,1,0,6,32,2,5,13,29,12,0,100.0,1.22,0.33,12.5,41.4
伊藤睦美,KUROBEアクアフェアリーズ,3,45,10,66,25,2,37.9,34.8,0,0,0,2,15,1,1,7,4,1,0,,2.5,0.2,16.7,25.0
伊藤綾子,柏エンゼルクロス,6,8,16,62,25,7,40.3,29.0,0,0,0,4,37,1,3,14,2,1,0,,1.56,0.25,10.1,50.0
位田愛,KUROBEアクアフェアリーズ,9,45,0,15,7,0,46.7,46.7,1,0,0,4,131,7,10,40,2,0,0,0.0,inf,inf,11.1,0.0
佐々木侑,三洋電機レッドソア,3,57,27,209,81,15,38.8,31.6,24,6,5,6,105,8,7,41,65,34,0,25.0,3.0,0.22,15.7,52.3
