名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
ガントグトフハンドスレン,ブレス浜松,5,10,21,10,2,47.6,38.1,0,0,0,2,16,3,3,3,18.8,0,0,0,15,,1.0,0.2,
上地野乃香,群馬銀行グリーンウイングス,9,45,0,0,0,,,0,0,0,0,0,0,0,0,,225,118,41,0,,0.0,0.0,61.6
中島優花,千葉エンゼルクロス,15,4,19,4,4,21.1,0.0,0,0,0,2,0,0,0,0,,6,2,0,6,,1.0,0.5,33.3
中田唯香,群馬銀行グリーンウイングス,8,31,201,64,13,31.8,25.4,0,0,0,5,63,1,3,10,4.4,37,10,12,70,,2.06,0.16,43.2
中道香名子,ブレス浜松,26,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
中野祐希,ブレス浜松,2,45,494,189,41,38.3,30.0,126,34,22,19,149,3,27,36,3.5,2,2,0,211,27.0,4.2,0.42,100.0
井上実咲,JAぎふリオレーナ,12,3,15,5,1,33.3,26.7,0,0,0,1,7,1,1,1,14.3,1,0,0,7,,1.67,0.33,0.0
伊藤きわ美,GSS東京サンビームズ,15,29,226,60,9,26.5,22.6,16,6,1,6,84,6,7,24,12.2,198,95,38,72,37.5,2.07,0.21,57.6
伊藤寿奈,群馬銀行グリーンウイングス,17,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
伊藤摩耶,プレステージ・インターナショナルアランマーレ,17,53,310,130,14,41.9,37.4,1,0,0,32,185,8,22,73,11.2,11,6,4,170,0.0,2.45,0.6,72.7
伊藤琴音,フォレストリーヴズ熊本,11,10,0,0,0,,,0,0,0,0,0,0,0,0,,23,6,8,0,,0.0,0.0,43.5
佐々木里菜,ルートインホテルズブリリアントアリーズ,4,38,4,2,1,50.0,25.0,0,0,0,4,63,3,2,18,11.1,0,0,0,9,,0.05,0.11,
佐木田彩夏,フォレストリーヴズ熊本,5,2,5,0,2,0.0,-40.0,0,0,0,0,2,0,1,1,0.0,3,2,0,0,,0.0,0.0,66.7
佐藤愛美,大野石油広島オイラーズ,9,49,472,179,23,37.9,33.1,17,3,1,13,139,1,1,33,6.5,5,1,1,193,17.6,3.65,0.27,30.0
入江彩水,フォレストリーヴズ熊本,12,36,272,102,9,37.5,34.2,2,0,0,4,109,4,9,31,8.7,3,1,0,110,0.0,2.83,0.11,33.3
前村明里,GSS東京サンビームズ,24,34,0,0,0,,,0,0,0,0,2,0,1,1,0.0,6,3,1,0,,0.0,0.0,58.3
加藤彩夏,ブレス浜松,11,18,99,36,6,36.4,30.3,14,4,2,4,48,2,3,15,10.4,41,11,9,42,28.6,2.0,0.22,37.8
勝見咲子,GSS東京サンビームズ,6,27,279,75,21,26.9,19.4,15,2,1,7,64,1,0,20,9.4,143,50,31,83,13.3,2.78,0.26,45.8
北川海育,大野石油広島オイラーズ,1,53,360,124,7,34.4,32.5,0,0,0,29,143,2,5,40,7.5,15,9,2,155,,2.34,0.55,66.7
北村果穂,プレステージ・インターナショナルアランマーレ,1,2,0,0,0,,,0,0,0,0,2,0,1,0,-12.5,0,0,0,0,,0.0,0.0,
南里くるみ,フォレストリーヴズ熊本,7,33,17,4,0,23.5,23.5,0,0,0,1,86,3,2,20,8.7,1,0,0,8,,0.12,0.03,0.0
原田栞里,プレステージ・インターナショナルアランマーレ,4,3,19,5,0,26.3,26.3,0,0,0,0,2,0,0,0,0.0,13,7,1,5,,1.67,0.0,57.7
古川ほのか,GSS東京サンビームズ,10,3,26,9,2,34.6,26.9,0,0,0,0,7,0,1,1,0.0,0,0,0,9,,3.0,0.0,
古川友,千葉エンゼルクロス,20,34,0,0,0,,,0,0,0,0,0,0,0,0,,76,37,19,0,,0.0,0.0,61.2
古市彩音,群馬銀行グリーンウイングス,6,9,15,5,2,33.3,20.0,0,0,0,2,30,0,5,6,0.8,1,1,0,7,,0.56,0.22,100.0
吉岡みなみ,群馬銀行グリーンウイングス,2,20,0,0,0,,,0,0,0,0,0,0,0,0,,29,13,8,0,,0.0,0.0,58.6
吉田奈未,千葉エンゼルクロス,12,6,8,3,0,37.5,37.5,0,0,0,0,7,0,0,0,0.0,6,2,1,3,,0.5,0.0,41.7
名原寧音,千葉エンゼルクロス,16,36,13,7,0,53.8,53.8,0,0,0,2,126,2,5,24,5.4,1,0,0,11,,0.19,0.06,0.0
和多千里,フォレストリーヴズ熊本,10,15,2,0,0,0.0,0.0,0,0,0,0,27,0,0,4,3.7,0,0,0,0,,0.0,0.0,
和田法子,フォレストリーヴズ熊本,16,33,184,54,11,29.3,23.4,0,0,0,3,100,2,8,27,6.8,3,1,1,59,,1.64,0.09,50.0
唐川愛璃,JAぎふリオレーナ,17,41,9,2,0,22.2,22.2,0,0,0,7,148,15,9,49,16.9,1,0,0,24,,0.05,0.17,0.0
土屋智菜実,GSS東京サンビームズ,17,15,103,21,8,20.4,12.6,5,1,1,4,38,1,4,8,5.3,83,35,17,26,20.0,1.4,0.27,52.4
土岡真央,大野石油広島オイラーズ,17,52,0,0,0,,,0,0,0,0,0,0,0,0,,94,50,20,0,,0.0,0.0,63.8
坂口莉乃,大野石油広島オイラーズ,7,53,13,5,0,38.5,38.5,0,0,0,10,175,5,6,47,8.7,4,0,0,20,,0.09,0.19,0.0
坂本陽菜,群馬銀行グリーンウイングス,11,44,245,68,8,27.8,24.5,1,0,0,3,157,8,11,50,11.3,171,93,32,79,0.0,1.55,0.07,63.7
城野真衣,千葉エンゼルクロス,2,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
堀ノ内麗,フォレストリーヴズ熊本,1,28,139,37,10,26.6,19.4,0,0,0,4,75,3,4,19,9.0,2,1,1,44,,1.32,0.14,75.0
多田遥,ブレス浜松,10,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
大原萌,GSS東京サンビームズ,19,20,0,0,0,,,0,0,0,0,18,2,2,2,11.1,16,7,2,2,,0.0,0.0,50.0
大木美沙季,フォレストリーヴズ熊本,2,21,173,54,7,31.2,27.2,0,0,0,2,59,0,2,13,4.7,6,1,0,56,,2.57,0.1,16.7
大西真咲,大野石油広島オイラーズ,2,33,190,55,18,28.9,19.5,3,0,2,1,80,3,3,19,8.8,183,82,39,59,0.0,1.67,0.03,55.5
安福若菜,群馬銀行グリーンウイングス,16,45,315,110,23,34.9,27.6,0,0,0,18,112,3,2,22,7.1,5,1,1,131,,2.44,0.4,30.0
宮井遥,JAぎふリオレーナ,6,37,397,108,31,27.2,19.4,91,23,5,5,131,0,3,44,7.8,11,1,1,113,25.3,2.92,0.14,13.6
宮崎陽衣,ブレス浜松,24,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
宮本菜月,プレステージ・インターナショナルアランマーレ,16,30,131,36,9,27.5,20.6,20,2,3,6,28,0,4,6,1.8,1,1,0,42,10.0,1.2,0.2,100.0
宮澤千陽,大野石油広島オイラーズ,3,5,0,0,0,,,0,0,0,0,7,1,1,0,10.7,0,0,0,1,,0.0,0.0,
富澤結花,ルートインホテルズブリリアントアリーズ,19,45,361,127,19,35.2,29.9,2,1,0,9,153,7,12,46,10.1,416,189,101,143,50.0,2.82,0.2,57.6
寺坂茜,群馬銀行グリーンウイングス,7,15,8,3,1,37.5,25.0,0,0,0,0,0,0,0,0,,0,0,0,3,,0.2,0.0,
小坂亜未,ルートインホテルズブリリアントアリーズ,2,14,12,2,2,16.7,0.0,0,0,0,1,14,0,0,4,7.1,24,11,2,3,,0.14,0.07,50.0
小川祐奈,ブレス浜松,25,21,34,11,6,32.4,14.7,9,2,1,0,38,2,5,9,7.9,41,15,14,13,22.2,0.52,0.0,53.7
小林愛里,群馬銀行グリーンウイングス,4,6,0,0,0,,,0,0,0,0,6,0,2,2,0.0,0,0,0,0,,0.0,0.0,
小泉春葵,プレステージ・インターナショナルアランマーレ,20,49,448,141,23,31.5,26.3,59,17,7,32,132,2,9,36,6.6,8,3,2,175,28.8,2.88,0.65,50.0
小茂田夏海,ルートインホテルズブリリアントアリーズ,17,25,124,41,7,33.1,27.4,0,0,0,14,130,4,2,33,9.0,10,7,0,59,,1.64,0.56,70.0
尾花佳甫,プレステージ・インターナショナルアランマーレ,2,10,26,8,5,30.8,11.5,0,0,0,1,13,0,4,2,-3.8,3,3,0,9,,0.8,0.1,100.0
山内佑里子,大野石油広島オイラーズ,10,25,43,13,2,30.2,25.6,2,0,0,2,46,0,2,4,1.1,36,18,4,15,0.0,0.52,0.08,55.6
山口真季,ルートインホテルズブリリアントアリーズ,7,15,111,32,8,28.8,21.6,4,1,1,4,33,1,1,8,8.3,35,10,8,37,25.0,2.13,0.27,40.0
山本実奈,ブレス浜松,9,2,9,1,4,11.1,-33.3,0,0,0,0,1,0,0,0,0.0,1,0,0,1,,0.5,0.0,0.0
山本紗貴,GSS東京サンビームズ,27,3,17,6,1,35.3,29.4,0,0,0,0,13,0,0,4,7.7,0,0,0,6,,2.0,0.0,
山本裕香,JAぎふリオレーナ,5,43,462,159,32,34.4,27.5,48,16,9,16,123,3,15,39,7.3,191,89,49,178,33.3,3.7,0.37,59.4
岡村真衣,千葉エンゼルクロス,9,20,8,1,0,12.5,12.5,3,0,0,0,30,1,0,6,8.3,0,0,0,2,0.0,0.05,0.0,
岡田倫奈,JAぎふリオレーナ,13,43,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
岩本周加,ルートインホテルズブリリアントアリーズ,18,26,110,44,5,40.0,35.5,0,0,0,17,100,3,7,40,11.2,6,5,0,64,,1.69,0.65,83.3
岩永明奈,JAぎふリオレーナ,8,8,1,0,0,0.0,0.0,0,0,0,1,19,1,0,9,17.1,0,0,0,2,,0.0,0.12,
岸村恵実,ルートインホテルズブリリアントアリーズ,6,51,327,140,15,42.8,38.2,0,0,0,34,180,9,10,45,9.9,12,5,3,183,,2.75,0.67,54.2
島原玖南,ブレス浜松,22,45,47,18,3,38.3,31.9,0,0,0,12,137,2,13,30,4.6,1,0,0,32,,0.4,0.27,0.0
