試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-10-31,2020-10,千葉エンゼルクロス,15,,中島優花,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,千葉エンゼルクロス,16,,名原寧音,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,14,0,0,3,5.4,0,0,0,-
2020-10-31,2020-10,千葉エンゼルクロス,18,,徳石あかり,4,■,■,■,■,nan,20,10,0,0.5,0.5,2.50,0,0,0,-,6,1.50,11,1,0,2,13.6,0,0,0,-
2020-10-31,2020-10,千葉エンゼルクロス,19,,鶴田佳菜,4,■,■,□,■,nan,28,4,3,0.14285714285714285,0.03571428571428571,1.00,2,0,0,0.0,0,-,12,0,0,2,4.2,0,0,0,-
2020-10-31,2020-10,千葉エンゼルクロス,20,,古川友,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,1,50.0
2020-10-31,2020-10,千葉エンゼルクロス,21,,松原南,1,nan,nan,□,nan,nan,2,1,0,0.5,0.5,1.00,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
2020-10-31,2020-10,JAぎふリオレーナ,3,,梅田莉樹子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,JAぎふリオレーナ,5,,山本裕香,5,■,■,■,■,■,65,20,5,0.3076923076923077,0.23076923076923078,4.00,8,2,1,25.0,1,0.20,14,0,2,8,10.7,5,3,1,70.0
2020-10-31,2020-10,JAぎふリオレーナ,6,,宮井遥,2,■,■,nan,nan,nan,21,5,3,0.23809523809523808,0.09523809523809523,2.50,4,2,0,50.0,2,1.00,4,0,0,2,12.5,1,0,0,0.0
2020-10-31,2020-10,JAぎふリオレーナ,8,,岩永明奈,2,■,■,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.50,6,0,0,2,8.3,0,0,0,-
2020-10-31,2020-10,JAぎふリオレーナ,9,,本間真樹子,5,■,■,■,■,■,27,13,0,0.48148148148148145,0.48148148148148145,2.60,0,0,0,-,2,0.40,16,0,0,6,9.4,3,2,1,83.3
2020-10-31,2020-10,JAぎふリオレーナ,10,,高橋侑里,5,■,■,■,■,■,49,20,1,0.40816326530612246,0.3877551020408163,4.00,4,2,0,50.0,2,0.40,17,0,1,9,11.8,40,18,12,60.0
2020-10-31,2020-10,JAぎふリオレーナ,11,,野村美友,5,■,■,■,■,■,11,4,1,0.36363636363636365,0.2727272727272727,0.80,0,0,0,-,2,0.40,21,0,1,9,9.5,0,0,0,-
2020-10-31,2020-10,JAぎふリオレーナ,12,,井上実咲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,JAぎふリオレーナ,13,L,岡田倫奈,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,JAぎふリオレーナ,15,,齊藤望,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,JAぎふリオレーナ,16,L,目加田莉央,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,7,9,60.5
2020-10-31,2020-10,JAぎふリオレーナ,17,,唐川愛璃,3,nan,nan,■,■,■,0,0,0,,,-,0,0,0,-,0,-,14,3,0,5,30.4,1,0,0,0.0
2020-10-31,2020-10,JAぎふリオレーナ,19,,柳沼優花,4,nan,□,■,■,■,42,15,4,0.35714285714285715,0.2619047619047619,3.75,3,1,2,33.3,0,-,12,0,2,3,2.1,29,12,9,56.9
2020-10-31,2020-10,大野石油広島オイラーズ,1,,北川海育,5,■,■,■,■,■,22,4,0,0.18181818181818182,0.18181818181818182,0.80,0,0,0,-,3,0.60,10,0,0,4,10.0,0,0,0,-
2020-10-31,2020-10,大野石油広島オイラーズ,2,,大西真咲,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,8,3,0,37.5
2020-10-31,2020-10,大野石油広島オイラーズ,3,,宮澤千陽,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,大野石油広島オイラーズ,5,,蠣崎真衣,5,■,■,■,■,■,67,22,5,0.3283582089552239,0.2537313432835821,4.40,5,1,0,20.0,0,-,24,0,0,6,6.2,33,9,8,39.4
2020-10-31,2020-10,大野石油広島オイラーズ,6,,川瀬ちあき,4,□,□,nan,□,■,18,5,0,0.2777777777777778,0.2777777777777778,1.25,2,0,0,0.0,1,0.25,10,0,2,0,-5.0,7,1,3,35.7
2020-10-31,2020-10,大野石油広島オイラーズ,7,,坂口莉乃,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,0,-,18,1,1,1,5.6,0,0,0,-
