名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
筒井さやか,久光製薬スプリングス,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
筒井視穂子,久光製薬スプリングス,7,62,1,0,0,0.0,0.0,1,0,0,0,10,0,0,1,98,62,0,0,0.0,0.0,0.0,2.5,63.3
築地保奈美,東レアローズ,10,37,89,31,4,34.8,30.3,0,0,0,16,118,1,14,33,2,1,0,48,,0.84,0.43,4.9,50.0
米村信子,岡山シーガルズ,3,59,452,114,10,25.2,23.0,2,0,0,12,137,2,7,13,202,136,0,128,0.0,1.93,0.2,2.6,67.3
細田絵理,デンソーエアリービーズ,4,42,366,115,21,31.4,25.7,9,1,2,6,103,2,13,38,63,36,0,123,11.1,2.74,0.14,8.0,57.1
羽根翠,トヨタ車体クインシーズ,20,61,65,24,4,36.9,30.8,0,0,0,7,46,2,2,14,4,2,0,33,,0.39,0.11,10.9,50.0
船崎恵視,トヨタ車体クインシーズ,4,96,28,12,1,42.9,39.3,0,0,0,14,349,10,29,116,1,1,0,36,,0.12,0.15,9.1,100.0
芥川愛加,JTマーヴェラス,20,11,18,3,2,16.7,5.6,0,0,0,1,14,0,1,0,0,0,0,4,,0.27,0.09,-1.8,
芦野李沙,パイオニアレッドウィングス,19,57,0,0,0,,,0,0,0,0,11,0,2,1,82,45,0,0,,0.0,0.0,-2.3,54.9
若浦貴子,岡山シーガルズ,33,48,376,83,8,22.1,19.9,0,0,0,13,90,0,3,10,15,7,0,96,,1.73,0.27,1.9,46.7
荒木絵里香,東レアローズ,2,91,441,221,24,50.1,44.7,0,0,0,62,297,12,24,110,10,8,0,295,,2.43,0.68,11.3,80.0
藤原亜紀,トヨタ車体クインシーズ,14,18,133,42,12,31.6,22.6,6,1,2,4,38,2,1,4,1,1,0,48,16.7,2.33,0.22,7.2,100.0
藤田夏未,トヨタ車体クインシーズ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西山慶樹,JTマーヴェラス,12,33,0,0,0,,,0,0,0,0,53,0,6,11,0,0,0,0,,0.0,0.0,2.4,
西脇万里子,東レアローズ,1,13,48,24,5,50.0,39.6,0,0,0,3,28,0,1,8,1,1,0,27,,1.85,0.23,6.2,100.0
谷口雅美,JTマーヴェラス,2,60,360,133,24,36.9,30.3,127,33,15,21,189,10,15,58,14,11,0,164,26.0,2.22,0.35,11.0,78.6
