名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,2010-11,トヨタ車体クインシーズ,23,8,78,43,4,55.1,50.0,0,0,0,1,22,0,3,6,1,1,0,44,,5.38,0.12,3.4,100.0
アキンラデウォフォルケ,2010-12,トヨタ車体クインシーズ,23,21,199,103,3,51.8,50.3,1,0,0,12,67,0,2,24,7,3,0,115,0.0,4.9,0.57,8.2,42.9
アキンラデウォフォルケ,2011-01,トヨタ車体クインシーズ,23,30,287,126,8,43.9,41.1,0,0,0,13,87,3,11,26,5,5,0,142,,4.2,0.43,7.8,100.0
アキンラデウォフォルケ,2011-02,トヨタ車体クインシーズ,23,29,259,137,4,52.9,51.4,0,0,0,15,70,1,6,24,11,8,0,153,,4.72,0.52,7.9,72.7
アキンラデウォフォルケ,2011-03,トヨタ車体クインシーズ,23,8,77,47,2,61.0,58.4,0,0,0,3,29,2,3,6,4,3,0,52,,5.88,0.38,9.5,75.0
エベリスベル,2010-11,デンソーエアリービーズ,21,9,126,47,20,37.3,21.4,27,16,6,4,25,1,2,6,0,0,0,52,59.3,5.22,0.44,8.0,
エベリスベル,2010-12,デンソーエアリービーズ,21,25,364,129,18,35.4,30.5,57,32,2,10,96,5,11,46,0,0,0,144,56.1,5.16,0.4,14.3,
エベリスベル,2011-01,デンソーエアリービーズ,21,22,275,100,24,36.4,27.6,76,24,7,12,75,3,10,24,1,0,0,115,31.6,4.55,0.55,8.7,0.0
エベリスベル,2011-02,デンソーエアリービーズ,21,23,312,116,29,37.2,27.9,85,41,10,11,77,4,12,30,0,0,0,131,48.2,5.04,0.48,11.0,
エベリスベル,2011-03,デンソーエアリービーズ,21,9,126,46,12,36.5,27.0,30,12,4,3,32,1,5,11,0,0,0,50,40.0,5.11,0.33,7.8,
エリザンジェラオリヴェイラ,2010-11,久光製薬スプリングス,16,10,103,37,6,35.9,30.1,37,15,3,8,35,0,8,5,0,0,0,45,40.5,3.7,0.8,-2.1,
