試合日,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2010-11-27,11,デンソーエアリービーズ,1,,奥田恭子,4,■,■,■,■,nan,39,17,2,0.4358974358974359,0.38461538461538464,4.25,0,0,0,-,0,-,12,0,1,2,4.2,39,34,0,87.2
2010-11-27,11,デンソーエアリービーズ,2,,矢野美子,4,■,■,■,■,nan,21,10,1,0.47619047619047616,0.42857142857142855,2.50,0,0,0,-,0,-,12,0,1,2,4.2,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,4,,細田絵理,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,5,,熊谷桜子,4,■,■,■,■,nan,3,1,1,0.3333333333333333,0.0,0.25,0,0,0,-,2,0.50,12,0,0,4,8.3,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,6,,鈴木裕子,4,■,■,■,■,nan,22,10,2,0.45454545454545453,0.36363636363636365,2.50,0,0,0,-,1,0.25,13,0,2,4,7.7,21,18,0,85.7
2010-11-27,11,デンソーエアリービーズ,8,,井上香織,4,■,■,■,■,nan,15,8,0,0.5333333333333333,0.5333333333333333,2.00,0,0,0,-,1,0.25,20,0,2,5,6.2,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,9,L,櫻井由香,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,18,0,90.0
2010-11-27,11,デンソーエアリービーズ,11,,井上奈々朱,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,14,L,高橋菜穂子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,15,,本田つばさ,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,16,,石井里沙,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,18,,栄絵里香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,11,デンソーエアリービーズ,20,,真柴咲紀,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,6.2,7,6,0,85.7
2010-11-27,11,デンソーエアリービーズ,21,,エベリスベル,4,■,■,■,■,nan,57,21,9,0.3684210526315789,0.21052631578947367,5.25,15,9,3,60.0,1,0.25,11,0,2,2,4.5,0,0,0,-
2010-11-27,11,JTマーヴェラス,1,,坂下麻衣子,3,■,■,■,nan,nan,34,10,1,0.29411764705882354,0.2647058823529412,3.33,17,6,1,35.3,1,0.33,5,0,1,1,5.0,0,0,0,-
2010-11-27,11,JTマーヴェラス,2,,谷口雅美,2,nan,nan,□,□,nan,3,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2010-11-27,11,JTマーヴェラス,3,,山本愛,4,□,□,□,■,nan,7,5,0,0.7142857142857143,0.7142857142857143,1.25,0,0,0,-,1,0.25,6,0,2,1,4.2,0,0,0,-
2010-11-27,11,JTマーヴェラス,4,,吉澤智恵,4,■,■,■,■,nan,41,13,2,0.3170731707317073,0.2682926829268293,3.25,0,0,0,-,0,-,17,0,1,2,2.9,27,18,0,66.7
2010-11-27,11,JTマーヴェラス,7,,竹下佳江,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,11,JTマーヴェラス,8,,高木理江,4,■,■,■,■,nan,29,11,3,0.3793103448275862,0.27586206896551724,2.75,1,0,0,0.0,0,-,19,0,0,2,2.6,33,26,0,78.8
