名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
シッティラックオヌマー,JTマーヴェラス,6,59,526,220,41,41.8,34.0,60,19,5,22,247,23,33,93,11,5,0,31.7,3.7,0.4,15.4
ドリスジェニファー,PFUブルーキャッツ,2,44,308,160,8,51.9,49.4,0,0,0,44,116,8,5,34,0,0,0,,3.6,1.0,13.1
三橋聡恵,PFUブルーキャッツ,8,72,789,260,57,33.0,25.7,52,13,10,24,288,19,33,99,570,320,0,25.0,3.6,0.3,12.3
中村亜友美,JTマーヴェラス,4,69,501,188,30,37.5,31.5,30,3,4,29,266,19,24,123,414,263,0,10.0,2.7,0.4,16.4
中村愛理,JAぎふリオレーナ,18,28,1,0,0,0.0,0.0,1,0,0,0,42,1,5,18,40,20,0,0.0,0.0,0.0,10.1
中村早紀子,JAぎふリオレーナ,10,77,580,225,21,38.8,35.2,27,8,4,16,290,14,13,133,668,415,0,29.6,2.9,0.2,15.2
中田唯香,仙台ベルフィーユ,12,6,34,13,3,38.2,29.4,0,0,0,2,12,0,0,7,39,13,0,,2.2,0.3,14.6
中野清香,仙台ベルフィーユ,8,59,522,165,21,31.6,27.6,7,1,0,16,140,6,27,44,4,1,0,14.3,2.8,0.3,7.3
丸山紗季,KUROBEアクアフェアリーズ,1,53,147,41,9,27.9,21.8,0,0,0,22,142,10,11,64,64,37,0,,0.8,0.4,16.4
井上実咲,仙台ベルフィーユ,1,70,241,95,6,39.4,36.9,0,0,0,30,231,10,25,97,5,3,0,,1.4,0.4,12.1
井上琴絵,JTマーヴェラス,10,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
今井里美,JAぎふリオレーナ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
位田愛,JTマーヴェラス,5,2,6,2,1,33.3,16.7,0,0,0,1,1,0,0,0,2,1,0,,1.0,0.5,0.0
佐々原和,JAぎふリオレーナ,2,74,802,266,49,33.2,27.1,3,0,0,8,266,11,10,98,390,248,0,0.0,3.6,0.1,12.4
佐藤みなみ,フォレストリーヴズ熊本,8,80,0,0,0,,,0,0,0,0,0,0,0,0,318,209,0,,0.0,0.0,
佐野遥香,JAぎふリオレーナ,14,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,
倉見夏乃,KUROBEアクアフェアリーズ,2,67,184,69,17,37.5,28.3,0,0,0,48,201,3,15,76,1,0,0,,1.0,0.7,9.1
前田舞,フォレストリーヴズ熊本,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
北川海育,大野石油広島オイラーズ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
南美寿希,KUROBEアクアフェアリーズ,8,78,42,13,0,31.0,31.0,0,0,0,25,201,1,6,57,6,1,0,,0.2,0.3,6.8
原田美愛実,柏エンゼルクロス,15,21,77,21,8,27.3,16.9,0,0,0,2,43,0,4,11,0,0,0,,1.0,0.1,4.1
厨子真帆,KUROBEアクアフェアリーズ,9,36,4,2,0,50.0,50.0,0,0,0,0,66,3,2,22,1,0,0,,0.1,0.0,12.1
古屋美紀,KUROBEアクアフェアリーズ,4,79,260,90,12,34.6,30.0,0,0,0,58,185,7,16,83,3,2,0,,1.1,0.7,12.8
吉井奎乃,JAぎふリオレーナ,4,5,39,14,3,35.9,28.2,0,0,0,1,13,1,0,6,16,7,0,,2.8,0.2,19.2
吉岡みなみ,フォレストリーヴズ熊本,5,65,10,1,0,10.0,10.0,0,0,0,2,122,1,4,36,8,4,0,,0.0,0.0,7.4
吉川ひかる,KUROBEアクアフェアリーズ,13,50,3,0,0,0.0,0.0,1,0,0,0,79,2,4,33,1,1,0,0.0,0.0,0.0,11.7
吉本梓穂,大野石油広島オイラーズ,14,63,1,0,0,0.0,0.0,1,0,0,0,92,1,2,32,98,61,0,0.0,0.0,0.0,9.2
吉里遥,大野石油広島オイラーズ,13,15,43,14,2,32.6,27.9,1,0,0,0,32,1,3,11,2,1,0,0.0,0.9,0.0,9.4
和多桃子,フォレストリーヴズ熊本,13,68,9,4,0,44.4,44.4,0,0,0,0,154,2,6,42,0,0,0,,0.1,0.0,7.1
和才奈々美,KUROBEアクアフェアリーズ,3,79,930,298,73,32.0,24.2,38,4,5,28,317,9,14,142,545,360,0,10.5,3.8,0.4,12.9
坂下麻衣子,PFUブルーキャッツ,10,51,315,126,13,40.0,35.9,47,13,3,20,118,3,6,47,1,1,0,27.7,2.5,0.4,11.2
堀崎智恵美,仙台ベルフィーユ,4,62,345,134,16,38.8,34.2,0,0,0,2,190,8,7,72,397,249,0,,2.2,0.0,12.8
塚本尚子,JAぎふリオレーナ,13,77,0,0,0,,,0,0,0,0,0,0,0,0,314,224,0,,0.0,0.0,
大保早耶加,PFUブルーキャッツ,15,22,0,0,0,,,0,0,0,0,34,2,1,8,0,0,0,,0.0,0.0,11.0
