試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,2,,山口舞,4,■,■,■,■,nan,33,12,2,36.4,30.3,3.00,3,0,0,0.0,2,0.50,12,0,0,1,2.1,11,8,0,72.7,14
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,4,,関李香,4,■,■,■,■,nan,29,6,1,20.7,17.2,1.50,0,0,0,-,2,0.50,13,0,2,3,5.8,0,0,0,-,8
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,5,,福田舞,4,■,■,■,□,nan,35,9,3,25.7,17.1,2.25,0,0,0,-,0,-,8,0,1,2,6.2,12,8,0,66.7,9
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,8,,川畑愛希,4,■,■,□,■,nan,41,11,1,26.8,24.4,2.75,0,0,0,-,2,0.50,9,0,0,1,2.8,10,8,0,80.0,13
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,12,,村田奈都美,3,nan,□,■,■,nan,24,9,4,37.5,20.8,3.00,0,0,0,-,0,-,6,0,0,2,8.3,17,10,0,58.8,9
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,14,,宮下遥,4,■,■,■,■,nan,3,2,0,66.7,66.7,0.50,0,0,0,-,1,0.25,20,2,2,4,14.0,0,0,0,-,5
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,15,,岡野弘子,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,16,L,野口彩佳,1,●,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,17,,小林亜里沙,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,20,L,丸山亜季,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,9,0,56.2,0
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,21,,森和代,3,□,nan,■,■,nan,12,6,0,50.0,50.0,2.00,0,0,0,-,3,1.00,7,0,0,1,3.6,14,8,0,57.1,9
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,22,,卜部里菜,3,□,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,8,0,0,2,6.2,15,8,0,53.3,0
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,28,,川島亜依美,2,■,■,nan,nan,nan,5,2,0,40.0,40.0,1.00,0,0,0,-,1,0.50,3,0,0,2,16.7,1,1,0,100.0,3
2011-12-10,2011-12,岡山シーガルズ,JTマーヴェラス,1,3,0,29,,瀬尾有耶,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,2,1,0,50.0,0
