名前,年月,チーム,背番号,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エステスイェヴゲーニャ,2007-04,武富士バンブー,3,12,0.0,168,65,10,38.7,32.7,35,14,5,3,36,1,2,10,45,32,0,69,40.0,5.42,0.25,8.3,71.1
バックマンエリザベス,2007-04,パイオニアレッドウィングス,3,11,0.0,26,11,1,42.3,38.5,0,0,0,6,23,0,5,0,1,1,0,17,,1.0,0.55,-5.4,100.0
フォフィーニャアナパウラ,2007-04,久光製薬スプリングス,11,11,0.0,192,76,6,39.6,36.5,47,15,2,5,39,3,3,11,1,0,0,84,31.9,6.91,0.45,12.8,0.0
モレーノケニー,2007-04,JTマーヴェラス,3,10,0.0,137,52,16,38.0,26.3,59,21,8,5,42,0,4,17,4,2,0,57,35.6,5.2,0.5,7.7,50.0
三澤由佳,2007-04,武富士バンブー,14,5,0.0,19,8,1,42.1,36.8,0,0,0,3,15,0,2,7,0,0,0,11,,1.6,0.6,8.3,
上田かおり,2007-04,久光製薬スプリングス,6,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
久保雅,2007-04,JTマーヴェラス,4,8,0.0,9,2,0,22.2,22.2,0,0,0,2,10,0,0,4,1,0,0,4,,0.25,0.25,10.0,0.0
五十川葉子,2007-04,武富士バンブー,8,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井村仁美,2007-04,武富士バンブー,10,12,0.0,3,1,0,33.3,33.3,0,0,0,0,57,1,4,21,1,0,0,2,,0.08,0.0,9.2,0.0
伊豫谷瞳,2007-04,武富士バンブー,12,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
位田愛,2007-04,JTマーヴェラス,15,7,0.0,46,12,3,26.1,19.6,0,0,0,2,27,1,0,15,40,27,0,15,,1.71,0.29,17.6,67.5
佐々木みき,2007-04,パイオニアレッドウィングス,0,11,0.0,121,36,9,29.8,22.3,23,8,3,4,34,1,1,5,53,39,0,41,34.8,3.27,0.36,5.9,73.6
佐野優子,2007-04,久光製薬スプリングス,10,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,73,55,0,0,,0.0,0.0,,75.3
先野久美子,2007-04,久光製薬スプリングス,4,11,0.0,94,37,4,39.4,35.1,0,0,0,3,42,0,2,12,1,1,0,40,,3.36,0.27,6.0,100.0
内田役子,2007-04,パイオニアレッドウィングス,16,11,0.0,3,2,1,66.7,33.3,0,0,0,0,42,2,1,12,0,0,0,4,,0.18,0.0,11.3,
内藤香菜子,2007-04,武富士バンブー,7,12,0.0,54,21,2,38.9,35.2,0,0,0,8,29,0,1,11,11,5,0,29,,1.75,0.67,8.6,45.5
加藤理絵,2007-04,パイオニアレッドウィングス,10,8,0.0,0,0,0,,,0,0,0,0,13,1,1,4,0,0,0,1,,0.0,0.0,13.5,
吉澤智恵,2007-04,武富士バンブー,0,12,0.0,137,52,10,38.0,30.7,19,4,3,3,43,1,3,10,62,42,0,56,21.1,4.33,0.25,6.4,67.7
吉田あい,2007-04,久光製薬スプリングス,14,2,0.0,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
吉田真未,2007-04,パイオニアレッドウィングス,20,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,67,42,0,0,,0.0,0.0,,62.7
和久山志恵里,2007-04,武富士バンブー,33,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,38,30,0,0,,0.0,0.0,,78.9
多治見麻子,2007-04,パイオニアレッドウィングス,5,11,0.0,64,22,5,34.4,26.6,0,0,0,9,29,0,1,6,3,3,0,31,,2.0,0.82,4.3,100.0
大村加奈子,2007-04,久光製薬スプリングス,8,11,0.0,39,18,3,46.2,38.5,0,0,0,5,29,0,11,6,1,0,0,23,,1.64,0.45,-4.3,0.0
宝来麻紀子,2007-04,JTマーヴェラス,9,10,0.0,38,9,0,23.7,23.7,0,0,0,2,37,1,2,6,3,1,0,12,,0.9,0.2,5.4,33.3
小山修加,2007-04,久光製薬スプリングス,5,4,0.0,0,0,0,,,0,0,0,0,5,0,0,2,0,0,0,0,,0.0,0.0,10.0,
小濱ゆみ,2007-04,パイオニアレッドウィングス,12,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小酒翔子,2007-04,JTマーヴェラス,17,6,0.0,0,0,0,,,0,0,0,0,10,0,0,4,0,0,0,0,,0.0,0.0,10.0,
平山恵,2007-04,JTマーヴェラス,12,5,0.0,0,0,0,,,0,0,0,0,5,0,0,1,10,9,0,0,,0.0,0.0,5.0,90.0
庄司夕起,2007-04,パイオニアレッドウィングス,4,10,0.0,20,7,2,35.0,25.0,0,0,0,0,14,0,1,6,0,0,0,7,,0.7,0.0,8.9,
成田郁久美,2007-04,久光製薬スプリングス,2,11,0.0,42,16,5,38.1,26.2,0,0,0,2,35,0,1,4,63,50,0,18,,1.45,0.18,2.1,79.4
栗原恵,2007-04,パイオニアレッドウィングス,1,11,0.0,125,43,6,34.4,29.6,27,7,2,4,45,0,6,10,43,23,0,47,25.9,3.91,0.36,2.2,53.5
榛澤舞子,2007-04,パイオニアレッドウィングス,9,5,0.0,1,0,0,0.0,0.0,0,0,0,0,3,0,0,0,2,1,0,0,,0.0,0.0,0.0,50.0
橋本直子,2007-04,久光製薬スプリングス,17,11,0.0,7,1,0,14.3,14.3,0,0,0,1,47,3,8,6,0,0,0,5,,0.09,0.09,5.3,
江口理代,2007-04,パイオニアレッドウィングス,17,11,0.0,80,34,6,42.5,35.0,1,0,0,6,40,1,1,8,73,45,0,41,0.0,3.09,0.55,6.9,61.6
江藤直美,2007-04,JTマーヴェラス,1,10,0.0,36,13,2,36.1,30.6,0,0,0,6,18,3,1,4,2,0,0,22,,1.3,0.6,20.8,0.0
河村聖子,2007-04,JTマーヴェラス,10,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
渡辺真由美,2007-04,久光製薬スプリングス,12,6,0.0,0,0,0,,,0,0,0,0,10,1,0,5,0,0,0,1,,0.0,0.0,22.5,
狩野美雪,2007-04,久光製薬スプリングス,7,11,0.0,101,34,9,33.7,24.8,11,2,1,2,49,2,3,14,94,77,0,38,18.2,3.09,0.18,9.7,81.9
田向友美,2007-04,武富士バンブー,13,11,0.0,0,0,0,,,0,0,0,0,24,0,1,9,0,0,0,0,,0.0,0.0,8.3,
石川友紀,2007-04,武富士バンブー,20,9,0.0,33,8,3,24.2,15.2,0,0,0,5,22,0,0,2,1,0,0,13,,0.89,0.56,2.3,0.0
石田瑞穂,2007-04,武富士バンブー,22,12,0.0,79,26,8,32.9,22.8,9,2,2,5,38,1,3,14,91,54,0,32,22.2,2.17,0.42,9.9,59.3
竹下佳江,2007-04,JTマーヴェラス,7,10,0.0,5,4,0,80.0,80.0,2,1,0,2,38,1,1,9,0,0,0,7,50.0,0.4,0.2,7.9,
細川麻美,2007-04,パイオニアレッドウィングス,15,5,0.0,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
菅山かおる,2007-04,JTマーヴェラス,5,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,49,31,0,0,,0.0,0.0,,63.3
