名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
クランヤナ,東レアローズ,7,13,169,74,6,43.8,40.2,20,8,1,4,52,2,4,17,0,0,0,40.0,5.7,0.3,10.1,
サンティアゴアライジャダフニ,埼玉上尾メディックス,3,13,81,41,4,50.6,45.7,0,0,0,8,35,1,2,13,6,3,1,,3.2,0.6,10.7,58.3
シニアードジャック,デンソーエアリービーズ,18,10,70,33,3,47.1,42.9,0,0,0,16,25,1,4,8,0,0,0,,3.3,1.6,8.0,
シュシュニャルカタリナ,埼玉上尾メディックス,17,13,150,57,4,38.0,35.3,46,19,3,4,45,4,9,12,1,1,0,41.3,4.4,0.3,10.6,100.0
ジャンティタントゥイー,デンソーエアリービーズ,22,4,20,7,2,35.0,25.0,4,0,1,1,3,0,0,2,0,0,0,0.0,1.8,0.2,16.7,
トムシャベレニカ,NECレッドロケッツ,17,13,8,3,0,37.5,37.5,0,0,0,0,2,0,0,0,0,0,0,,0.2,0.0,0.0,
三浦茉実,埼玉上尾メディックス,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
上野香織,NECレッドロケッツ,6,1,1,1,0,100.0,100.0,0,0,0,1,1,0,0,0,0,0,0,,1.0,1.0,0.0,
中元南,デンソーエアリービーズ,1,10,133,37,9,27.8,21.1,9,2,1,3,30,2,1,6,64,28,7,22.2,3.7,0.3,10.8,49.2
中島未来,東レアローズ,11,11,0,0,0,,,0,0,0,0,14,0,1,0,8,2,2,,0.0,0.0,-1.8,37.5
中田紫乃,東レアローズ,9,10,5,0,0,0.0,0.0,0,0,0,0,16,0,2,3,7,1,3,,0.0,0.0,1.6,35.7
井上奈々朱,東レアローズ,1,13,36,19,0,52.8,52.8,0,0,0,6,36,3,5,9,4,1,0,,1.5,0.5,11.1,25.0
井上琴絵,デンソーエアリービーズ,11,10,0,0,0,,,0,0,0,0,0,0,0,0,47,26,7,,0.0,0.0,,62.8
井上美咲,埼玉上尾メディックス,13,13,2,1,0,50.0,50.0,0,0,0,2,25,1,2,9,1,0,0,,0.1,0.2,11.0,0.0
仁井田桃子,埼玉上尾メディックス,19,1,0,0,0,,,0,0,0,0,0,0,0,0,2,1,1,,0.0,0.0,,75.0
佐藤優花,埼玉上尾メディックス,10,4,23,8,0,34.8,34.8,3,0,0,0,13,2,1,4,15,6,1,0.0,2.0,0.0,21.2,43.3
佐藤澪,NECレッドロケッツ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
兵頭由希,デンソーエアリービーズ,24,8,20,5,0,25.0,25.0,2,1,0,1,19,2,1,9,2,1,0,50.0,0.6,0.1,21.1,50.0
冨永こよみ,埼玉上尾メディックス,2,10,3,1,0,33.3,33.3,0,0,0,2,25,0,2,7,0,0,0,,0.1,0.2,5.0,
古谷ちなみ,NECレッドロケッツ,11,14,136,43,11,31.6,23.5,25,3,2,2,50,2,7,8,8,1,0,12.0,3.1,0.1,4.5,12.5
古賀紗理那,NECレッドロケッツ,2,14,137,41,8,29.9,24.1,11,4,1,7,44,4,2,8,112,68,19,36.4,2.9,0.5,12.5,69.2
吉野優理,埼玉上尾メディックス,8,13,123,39,10,31.7,23.6,7,0,1,3,58,3,1,17,73,43,17,0.0,3.0,0.2,12.1,70.5
堀川真理,東レアローズ,2,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
堀江美志,埼玉上尾メディックス,4,5,37,5,1,13.5,10.8,5,1,0,0,13,0,1,7,27,13,4,20.0,1.0,0.0,11.5,55.6
塚田しおり,NECレッドロケッツ,3,3,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,,0.0,0.0,6.2,
大室璃紗,埼玉上尾メディックス,23,11,0,0,0,,,0,0,0,0,3,0,1,0,13,9,1,,0.0,0.0,-8.3,73.1
大崎琴未,東レアローズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
大野果歩,東レアローズ,3,13,45,20,4,44.4,35.6,0,0,0,11,28,1,1,3,3,1,1,,1.5,0.8,5.4,50.0
奥山優奈,NECレッドロケッツ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
奥村麻依,デンソーエアリービーズ,13,10,29,13,0,44.8,44.8,0,0,0,7,38,0,1,10,2,2,0,,1.3,0.7,5.9,100.0
小口樹葉,デンソーエアリービーズ,9,7,0,0,0,,,0,0,0,0,0,0,0,0,15,8,2,,0.0,0.0,,60.0
