名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アレクサンドラツルンチェヴィッチ,2013-11,パイオニアレッドウィングス,1,0,3,0,3,24,12,1,50.0,45.8,1,0,1,0,9,1,1,2,33,17,0,13,0.0,4.0,0.0,13.9,51.5
アレクサンドラツルンチェヴィッチ,2013-12,パイオニアレッドウィングス,1,10,10,2,18,175,61,10,34.9,29.1,23,7,4,6,61,3,5,26,150,81,0,70,30.4,3.39,0.33,13.5,54.0
アレクサンドラツルンチェヴィッチ,2014-01,パイオニアレッドウィングス,1,2,18,0,20,207,71,13,34.3,28.0,24,7,7,7,55,2,4,20,148,83,0,80,29.2,3.55,0.35,10.9,56.1
アレクサンドラツルンチェヴィッチ,2014-02,パイオニアレッドウィングス,1,4,15,0,19,149,45,14,30.2,20.8,8,3,0,12,56,1,4,20,117,65,0,58,37.5,2.37,0.63,8.9,55.6
アレクサンドラツルンチェヴィッチ,2014-03,パイオニアレッドウィングス,1,11,23,1,34,302,81,21,26.8,19.9,35,3,4,18,139,7,7,54,219,126,0,106,8.6,2.38,0.53,13.5,57.5
カナニダニエルソン,2013-11,トヨタ車体クインシーズ,23,1,3,0,4,48,10,4,20.8,12.5,2,0,0,1,6,0,1,2,10,5,0,11,0.0,2.5,0.25,4.2,50.0
カナニダニエルソン,2013-12,トヨタ車体クインシーズ,23,8,11,2,17,183,59,14,32.2,24.6,16,6,2,6,54,1,1,11,82,26,0,66,37.5,3.47,0.35,6.5,31.7
カナニダニエルソン,2014-01,トヨタ車体クインシーズ,23,13,10,4,23,253,100,15,39.5,33.6,22,6,2,8,66,4,0,20,23,10,0,112,27.3,4.35,0.35,13.6,43.5
カナニダニエルソン,2014-02,トヨタ車体クインシーズ,23,17,12,5,28,338,147,19,43.5,37.9,44,19,4,8,102,1,3,34,8,3,0,156,43.2,5.25,0.29,8.6,37.5
カナニダニエルソン,2014-03,トヨタ車体クインシーズ,23,13,17,4,29,359,153,23,42.6,36.2,37,18,1,5,80,2,4,22,39,18,0,160,48.6,5.28,0.17,8.1,46.2
