名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
和田麻里江,日立リヴァーレ,2,18,1,3,1,1,33.3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
堀口夏実,岡山シーガルズ,6,38,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
堀川真理,東レアローズ,13,117,72,217,88,11,40.6,35.5,20,6,3,14,32,1,4,5,1,0,0,103,30.0,1.22,0.19,3.9,0.0
大升知春,岡山シーガルズ,25,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大野果奈,NECレッドロケッツ,13,117,101,459,158,25,34.4,29.0,0,0,0,42,345,15,16,127,16,11,0,215,,1.56,0.42,12.4,68.8
奥村麻依,JTマーヴェラス,3,117,114,839,286,17,34.1,32.1,1,0,0,99,306,5,36,93,16,7,0,390,0.0,2.51,0.87,6.3,43.8
宮下遥,岡山シーガルズ,14,117,107,47,20,2,42.6,38.3,1,0,0,42,409,9,10,145,6,0,0,71,0.0,0.19,0.39,10.5,0.0
宮田由佳里,東レアローズ,8,117,68,221,89,12,40.3,34.8,0,0,0,16,186,6,9,57,8,5,0,111,,1.31,0.24,9.7,62.5
家高七央子,NECレッドロケッツ,19,33,22,51,20,4,39.2,31.4,0,0,0,4,39,3,5,20,0,0,0,27,,0.91,0.18,17.3,
寺井有美,JTマーヴェラス,18,34,16,46,19,1,41.3,39.1,0,0,0,2,29,0,1,5,0,0,0,21,,1.19,0.12,3.4,
小山綾菜,NECレッドロケッツ,17,62,1,2,1,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
小平花織,東レアローズ,9,117,118,0,0,0,,,0,0,0,0,0,0,0,0,525,330,0,0,,0.0,0.0,,62.9
山口かなめ,JTマーヴェラス,7,117,22,3,1,0,33.3,33.3,0,0,0,1,38,1,4,13,0,0,0,3,,0.05,0.05,8.6,
山口舞,岡山シーガルズ,2,117,94,510,237,16,46.5,43.3,0,0,0,45,247,2,11,51,26,17,0,284,,2.52,0.48,4.9,65.4
山本陽子,トヨタ車体クインシーズ,3,23,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山河加苗,岡山シーガルズ,16,4,1,0,0,0,,,0,0,0,0,0,0,0,0,2,0,0,0,,0.0,0.0,,0.0
山田侑樹,トヨタ車体クインシーズ,16,109,63,3,1,0,33.3,33.3,0,0,0,0,94,10,15,29,48,16,0,11,,0.02,0.0,14.4,33.3
山田真里,トヨタ車体クインシーズ,12,114,97,474,150,43,31.6,22.6,3,0,0,19,314,21,30,112,730,383,0,190,0.0,1.55,0.2,13.2,52.5
岩坂名奈,久光製薬スプリングス,4,117,98,306,129,19,42.2,35.9,1,0,0,85,348,17,24,158,23,19,0,231,0.0,1.32,0.87,14.5,82.6
岩崎紗也加,NECレッドロケッツ,10,75,39,0,0,0,,,0,0,0,0,0,0,0,0,65,36,0,0,,0.0,0.0,,55.4
峯村沙紀,東レアローズ,10,94,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
島村春世,NECレッドロケッツ,8,117,103,782,325,36,41.6,37.0,4,1,0,50,316,17,23,117,23,18,0,392,25.0,3.16,0.49,12.8,78.3
川島亜依美,岡山シーガルズ,28,117,93,328,125,6,38.1,36.3,0,0,0,29,257,9,20,103,12,5,0,163,,1.34,0.31,11.6,41.7
川島里華,トヨタ車体クインシーズ,8,58,26,86,26,4,30.2,25.6,0,0,0,8,15,0,2,6,17,5,0,34,,1.0,0.31,6.7,29.4
川村小捺,日立リヴァーレ,15,60,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川畑夏希,岡山シーガルズ,24,44,59,1,0,0,0.0,0.0,0,0,0,0,68,1,1,24,55,29,0,1,,0.0,0.0,9.9,52.7
川畑愛希,岡山シーガルズ,8,117,100,1095,351,44,32.1,28.0,10,2,0,19,325,13,1,118,287,153,0,383,20.0,3.51,0.19,13.0,53.3
