名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カルボナリマリステラナオミ,2007-01,PFUブルーキャッツ,3,4,15,130,55,13,42.3,32.3,13,6,3,3,46,3,4,11,53,24,0,46.2,3.67,0.2,10.3,45.3
カルボナリマリステラナオミ,2007-02,PFUブルーキャッツ,3,12,17,122,46,13,37.7,27.0,12,6,3,1,58,4,3,11,46,28,0,50.0,2.71,0.06,10.3,60.9
カルボナリマリステラナオミ,2007-03,PFUブルーキャッツ,3,12,5,21,11,3,52.4,38.1,4,1,2,2,8,0,0,2,22,9,0,25.0,2.2,0.4,6.2,40.9
三崎栄子,2007-01,健祥会レッドハーツ,5,4,13,11,3,1,27.3,18.2,1,1,0,0,54,4,4,17,0,0,0,100.0,0.23,0.0,13.4,
三崎栄子,2007-02,健祥会レッドハーツ,5,12,24,15,4,1,26.7,20.0,1,0,1,4,82,7,5,19,1,0,0,0.0,0.17,0.17,12.8,0.0
三崎栄子,2007-03,健祥会レッドハーツ,5,12,16,9,1,0,11.1,11.1,0,0,0,1,56,1,4,18,2,0,0,,0.06,0.06,8.0,0.0
上田美子,2007-01,KUROBEアクアフェアリーズ,13,4,16,112,38,14,33.9,21.4,0,0,0,2,60,3,8,23,30,15,0,,2.38,0.12,11.2,50.0
上田美子,2007-02,KUROBEアクアフェアリーズ,13,8,5,26,7,1,26.9,23.1,0,0,0,0,10,0,4,2,12,11,0,,1.4,0.0,-5.0,91.7
上田美子,2007-03,KUROBEアクアフェアリーズ,13,12,12,83,25,11,30.1,16.9,0,0,0,2,46,3,5,12,37,17,0,,2.08,0.17,10.3,45.9
中剃あやか,2007-01,大野石油広島オイラーズ,16,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中尾巴美,2007-01,埼玉上尾メディックス,7,4,18,82,36,5,43.9,37.8,0,0,0,3,61,2,4,22,27,10,0,,2.0,0.17,10.7,37.0
中尾巴美,2007-02,埼玉上尾メディックス,7,12,24,161,74,6,46.0,42.2,0,0,0,5,76,1,2,21,37,18,0,,3.08,0.21,7.6,48.6
中尾巴美,2007-03,埼玉上尾メディックス,7,12,14,83,32,8,38.6,28.9,0,0,0,1,41,2,2,12,36,18,0,,2.29,0.07,11.0,50.0
丸山舞子,2007-01,三洋電機レッドソア,2,4,14,10,6,1,60.0,50.0,0,0,0,4,41,3,3,15,0,0,0,,0.43,0.29,14.6,
丸山舞子,2007-02,三洋電機レッドソア,2,12,11,10,5,0,50.0,50.0,0,0,0,1,24,0,0,9,0,0,0,,0.45,0.09,9.4,
丸山舞子,2007-03,三洋電機レッドソア,2,12,11,5,3,0,60.0,60.0,0,0,0,4,45,1,0,11,0,0,0,,0.27,0.36,8.3,
久井真由美,2007-01,埼玉上尾メディックス,1,4,4,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,,0.0,0.0,0.0,
久井真由美,2007-02,埼玉上尾メディックス,1,12,10,16,7,1,43.8,37.5,0,0,0,3,20,0,1,3,0,0,0,,0.7,0.3,2.5,
久井真由美,2007-03,埼玉上尾メディックス,1,12,5,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
井之上由梨奈,2007-01,大野石油広島オイラーズ,10,4,2,4,0,0,0.0,0.0,0,0,0,1,2,0,0,0,1,0,0,,0.0,0.5,0.0,0.0
井之上由梨奈,2007-02,大野石油広島オイラーズ,10,12,3,8,4,0,50.0,50.0,0,0,0,1,6,1,1,1,0,0,0,,1.33,0.33,16.7,
井之上由梨奈,2007-03,大野石油広島オイラーズ,10,12,6,0,0,0,,,0,0,0,0,10,1,1,4,0,0,0,,0.0,0.0,17.5,
伊藤睦美,2007-01,KUROBEアクアフェアリーズ,9,4,16,160,45,10,28.1,21.9,4,1,1,1,52,2,1,13,75,34,0,25.0,2.81,0.06,9.6,45.3
伊藤睦美,2007-02,KUROBEアクアフェアリーズ,9,12,21,260,92,13,35.4,30.4,5,0,0,6,52,0,2,7,89,48,0,0.0,4.38,0.29,2.4,53.9
伊藤睦美,2007-03,KUROBEアクアフェアリーズ,9,12,14,166,46,12,27.7,20.5,6,3,1,3,37,3,2,8,78,34,0,50.0,3.29,0.21,12.2,43.6
佐々木侑,2007-01,PFUブルーキャッツ,15,4,15,169,71,22,42.0,29.0,24,4,8,5,55,8,18,16,30,17,0,16.7,4.73,0.33,13.6,56.7
佐々木侑,2007-02,PFUブルーキャッツ,15,12,21,220,85,25,38.6,27.3,31,8,6,11,58,3,15,15,39,24,0,25.8,4.05,0.52,5.2,61.5
佐々木侑,2007-03,PFUブルーキャッツ,15,12,16,189,85,16,45.0,36.5,36,11,6,10,46,5,17,13,57,39,0,30.6,5.31,0.62,8.7,68.4
