試合日,年月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,0,,佐々木みき,3,■,■,■,,,34,17,1,50.0,47.1,5.67,10,5,0,50.0,1,0.33,9,0,2,5,13.9,3,0,0,0.0,18
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,1,,栗原恵,3,■,■,■,,,29,11,1,37.9,34.5,3.67,3,1,0,33.3,1,0.33,9,0,3,4,11.1,8,2,0,25.0,12
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,3,,フールマンフランシーヌ,3,■,■,■,,,19,4,1,21.1,15.8,1.33,0,0,0,-,0,-,12,0,2,5,10.4,1,1,0,100.0,4
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,5,,多治見麻子,3,■,■,■,,,12,3,1,25.0,16.7,1.00,0,0,0,-,2,0.67,9,0,1,3,8.3,2,2,0,100.0,5
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,7,L,吉田実代,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,4,0,40.0,0
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,9,,榛澤舞子,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,11,,吉原知子,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,2,25.0,11,4,0,36.4,0
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,14,,久保庭怜奈,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,16,,内田役子,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,13,0,0,6,11.5,0,0,0,-,0
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,17,,江口理代,3,■,■,■,,,6,3,1,50.0,33.3,1.00,0,0,0,-,0,-,7,0,2,2,7.1,28,10,0,35.7,3
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,19,,荒木麻里,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,パイオニアレッドウィングス,久光製薬スプリングス,22,,高橋牧子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,1,,野田昌代,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,2,,成田郁久美,3,■,■,■,,,14,6,2,42.9,28.6,2.00,0,0,0,-,3,1.00,8,0,0,2,6.2,30,12,0,40.0,9
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,3,,落合真理,3,■,■,■,,,21,9,2,42.9,33.3,3.00,2,0,0,0.0,2,0.67,10,0,0,8,20.0,7,4,0,57.1,11
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,4,,先野久美子,3,■,■,■,,,13,6,1,46.2,38.5,2.00,0,0,0,-,3,1.00,15,0,1,10,16.7,3,1,0,33.3,9
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,5,,小山修加,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,6,,青木絢子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,8,,大村加奈子,3,■,■,■,,,10,5,0,50.0,50.0,1.67,0,0,0,-,1,0.33,9,1,3,1,13.9,0,0,0,-,7
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,10,,鶴田桂子,3,■,■,■,,,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,18,0,2,9,12.5,0,0,0,-,1
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,11,,カルカセスケニア,3,■,■,■,,,45,20,3,44.4,37.8,6.67,6,2,0,33.3,2,0.67,10,0,1,9,22.5,0,0,0,-,22
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,12,,渡辺真由美,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,14,L,吉田あい,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,8,0,66.7,0
2006-02-25,2006-02,久光製薬スプリングス,パイオニアレッドウィングス,17,,橋本直子,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2006-02-25,2006-02,東レアローズ,武富士バンブー,1,,向井久子,3,,□,□,□,,3,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,0,1,6.2,6,1,0,16.7,0
2006-02-25,2006-02,東レアローズ,武富士バンブー,2,,小玉佐知子,4,■,■,■,■,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,17,0,0,7,10.3,1,0,0,0.0,0
2006-02-25,2006-02,東レアローズ,武富士バンブー,4,,芝田安希,2,,□,□,,,2,1,0,50.0,50.0,0.50,0,0,0,-,2,1.00,0,0,0,0,-,2,0,0,0.0,3
2006-02-25,2006-02,東レアローズ,武富士バンブー,5,,西脇万里子,4,■,■,■,■,,27,9,0,33.3,33.3,2.25,0,0,0,-,4,1.00,16,1,2,8,17.5,1,0,0,0.0,14
2006-02-25,2006-02,東レアローズ,武富士バンブー,8,,冨田寧寧,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,東レアローズ,武富士バンブー,12,,大山加奈,4,■,■,■,■,,44,19,1,43.2,40.9,4.75,2,1,0,50.0,2,0.50,8,0,0,4,12.5,0,0,0,-,21
2006-02-25,2006-02,東レアローズ,武富士バンブー,13,,荒木絵里香,4,■,■,■,■,,20,6,2,30.0,20.0,1.50,0,0,0,-,2,0.50,14,0,1,8,14.3,0,0,0,-,8
2006-02-25,2006-02,東レアローズ,武富士バンブー,14,L,濱口華菜里,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,11,0,55.0,0
2006-02-25,2006-02,東レアローズ,武富士バンブー,15,,中道瞳,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,東レアローズ,武富士バンブー,16,,大山未希,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,3,2,0,66.7,0
2006-02-25,2006-02,東レアローズ,武富士バンブー,17,,木村沙織,4,■,■,■,■,,27,9,2,33.3,25.9,2.25,0,0,0,-,0,-,13,0,1,7,13.5,39,23,0,59.0,9
2006-02-25,2006-02,東レアローズ,武富士バンブー,25,,ニコリッチイェレナ,4,■,■,■,■,,44,12,4,27.3,18.2,3.00,1,0,1,0.0,2,0.50,21,1,3,10,16.7,15,8,0,53.3,15
2006-02-25,2006-02,武富士バンブー,東レアローズ,0,,吉澤智恵,4,■,■,■,■,,42,15,1,35.7,33.3,3.75,2,0,1,0.0,2,0.50,11,0,0,4,9.1,19,5,0,26.3,17
2006-02-25,2006-02,武富士バンブー,東レアローズ,1,,ハニーフタイーバ,4,■,■,■,■,,51,18,4,35.3,27.5,4.50,16,7,1,43.8,0,-,15,1,1,9,20.3,1,0,0,0.0,19
2006-02-25,2006-02,武富士バンブー,東レアローズ,3,,鈴木洋美,4,□,□,□,□,,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2006-02-25,2006-02,武富士バンブー,東レアローズ,4,,小出真弓,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,武富士バンブー,東レアローズ,5,,足立留美,4,■,■,■,■,,45,19,4,42.2,33.3,4.75,2,0,0,0.0,0,-,18,2,1,5,15.8,28,13,0,46.4,21
2006-02-25,2006-02,武富士バンブー,東レアローズ,6,,今村直美,3,,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,2,0,25.0,0
2006-02-25,2006-02,武富士バンブー,東レアローズ,7,,内藤香菜子,4,■,■,■,■,,17,4,2,23.5,11.8,1.00,0,0,0,-,3,0.75,11,0,2,2,4.5,0,0,0,-,7
2006-02-25,2006-02,武富士バンブー,東レアローズ,10,,井村仁美,4,■,■,■,■,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,26,3,2,11,20.6,0,0,0,-,3
2006-02-25,2006-02,武富士バンブー,東レアローズ,12,,伊豫谷瞳,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,武富士バンブー,東レアローズ,14,,三澤由佳,4,■,■,■,■,,16,5,1,31.2,25.0,1.25,0,0,0,-,2,0.50,13,0,0,6,11.5,0,0,0,-,7
2006-02-25,2006-02,武富士バンブー,東レアローズ,16,,小松留美,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-25,2006-02,武富士バンブー,東レアローズ,33,L,和久山志恵里,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,30,19,0,63.3,0
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,0,,佐々木みき,4,■,■,■,■,,25,11,4,44.0,28.0,2.75,5,1,2,20.0,2,0.50,11,0,3,6,13.6,14,6,0,42.9,13
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,1,,栗原恵,4,■,■,■,■,,42,12,8,28.6,9.5,3.00,3,0,1,0.0,3,0.75,15,2,3,9,25.7,12,6,0,50.0,17
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,3,,フールマンフランシーヌ,4,■,■,■,■,,52,23,1,44.2,42.3,5.75,0,0,0,-,0,-,10,0,0,2,5.0,0,0,0,-,23
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,4,,庄司夕起,4,□,□,□,□,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,5,,多治見麻子,4,■,■,■,■,,16,7,2,43.8,31.2,1.75,0,0,0,-,1,0.25,17,1,1,5,12.1,0,0,0,-,9
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,7,L,吉田実代,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,25,12,0,48.0,0
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,9,,榛澤舞子,2,,,□,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0,0,-,0
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,11,,吉原知子,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,14,,久保庭怜奈,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,16,,内田役子,4,■,■,■,■,,2,1,0,50.0,50.0,0.25,0,0,0,-,1,0.25,15,0,0,9,15.0,0,0,0,-,2
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,17,,江口理代,4,■,■,■,■,,21,9,2,42.9,33.3,2.25,0,0,0,-,0,-,16,1,0,5,12.8,21,6,0,28.6,10
2006-02-26,2006-02,パイオニアレッドウィングス,武富士バンブー,19,,荒木麻里,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,1,0,33.3,0
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,0,,吉澤智恵,4,■,■,■,■,,27,7,3,25.9,14.8,1.75,1,0,1,0.0,2,0.50,11,1,0,4,16.4,23,12,0,52.2,10
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,1,,ハニーフタイーバ,4,■,■,■,■,,47,15,5,31.9,21.3,3.75,21,5,3,23.8,1,0.25,12,2,2,4,21.7,0,0,0,-,18
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,3,,鈴木洋美,3,□,,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,4,,小出真弓,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,5,,足立留美,4,■,■,■,■,,34,10,0,29.4,29.4,2.50,0,0,0,-,0,-,16,3,0,5,24.1,19,4,0,21.1,13
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,6,,今村直美,3,,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,2,0,100.0,0
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,7,,内藤香菜子,4,■,■,■,■,,17,3,0,17.6,17.6,0.75,0,0,0,-,1,0.25,9,0,1,6,16.7,2,1,0,50.0,4
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,10,,井村仁美,4,■,■,■,■,,3,0,0,0.0,0.0,-,0,0,0,-,0,-,20,0,1,14,17.5,1,0,0,0.0,0
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,12,,伊豫谷瞳,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,14,,三澤由佳,3,■,■,,□,,12,5,2,41.7,25.0,1.67,0,0,0,-,0,-,6,1,1,2,21.7,2,1,0,50.0,6
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,16,,小松留美,4,□,□,■,■,,7,3,0,42.9,42.9,0.75,0,0,0,-,1,0.25,7,0,0,3,10.7,1,1,0,100.0,4
2006-02-26,2006-02,武富士バンブー,パイオニアレッドウィングス,33,L,和久山志恵里,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,31,18,0,58.1,0
