名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
先野久美子,2006-02,久光製薬スプリングス,4,2,3,0.0,13,6,1,46.2,38.5,0,0,0,3,15,0,1,10,3,1,0,9,,2.0,1.0,15.0,33.3
内田役子,2006-02,パイオニアレッドウィングス,16,4,7,0.0,2,1,0,50.0,50.0,0,0,0,1,28,0,0,15,0,0,0,2,,0.14,0.14,13.4,
内藤香菜子,2006-02,武富士バンブー,7,4,8,0.0,34,7,2,20.6,14.7,0,0,0,4,20,0,3,8,2,1,0,11,,0.88,0.5,6.2,50.0
冨田寧寧,2006-02,東レアローズ,8,2,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉原知子,2006-02,パイオニアレッドウィングス,11,4,4,0.0,0,0,0,,,0,0,0,0,3,0,0,2,11,4,0,0,,0.0,0.0,16.7,36.4
吉澤智恵,2006-02,武富士バンブー,0,4,8,0.0,69,22,4,31.9,26.1,3,0,2,4,22,1,0,8,42,17,0,27,0.0,2.75,0.5,13.6,40.5
吉田あい,2006-02,久光製薬スプリングス,14,2,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,12,8,0,0,,0.0,0.0,,66.7
吉田実代,2006-02,パイオニアレッドウィングス,7,4,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,35,16,0,0,,0.0,0.0,,45.7
向井久子,2006-02,東レアローズ,1,2,3,0.0,3,0,0,0.0,0.0,0,0,0,0,4,0,0,1,6,1,0,0,,0.0,0.0,6.2,16.7
和久山志恵里,2006-02,武富士バンブー,33,4,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,61,37,0,0,,0.0,0.0,,60.7
多治見麻子,2006-02,パイオニアレッドウィングス,5,4,7,0.0,28,10,3,35.7,25.0,0,0,0,3,26,1,2,8,2,2,0,14,,1.43,0.43,9.6,100.0
大山加奈,2006-02,東レアローズ,12,2,4,0.0,44,19,1,43.2,40.9,2,1,0,2,8,0,0,4,0,0,0,21,50.0,4.75,0.5,12.5,
大山未希,2006-02,東レアローズ,16,2,1,0.0,0,0,0,,,0,0,0,0,1,0,0,1,3,2,0,0,,0.0,0.0,25.0,66.7
大村加奈子,2006-02,久光製薬スプリングス,8,2,3,0.0,10,5,0,50.0,50.0,0,0,0,1,9,1,3,1,0,0,0,7,,1.67,0.33,5.6,
小出真弓,2006-02,武富士バンブー,4,4,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小山修加,2006-02,久光製薬スプリングス,5,2,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小松留美,2006-02,武富士バンブー,16,4,4,0.0,7,3,0,42.9,42.9,0,0,0,1,7,0,0,3,1,1,0,4,,0.75,0.25,10.7,100.0
小玉佐知子,2006-02,東レアローズ,2,2,4,0.0,1,0,0,0.0,0.0,0,0,0,0,17,0,0,7,1,0,0,0,,0.0,0.0,10.3,0.0
