名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
サベリエフイリア,2001-03,JTサンダーズ,21,9,9,0.0,77,42,4,54.5,49.4,22,10,2,1,39,3,12,13,36,28,0,46,45.5,4.67,0.11,8.3,77.8
ジルソンベルナルド,2001-03,サントリーサンバーズ,16,9,8,0.0,127,73,13,57.5,47.2,45,25,6,4,30,4,13,9,0,0,0,81,55.6,9.12,0.5,10.0,
ファンダールミューレンオロフ,2001-03,NECブルーロケッツ,29,9,10,0.0,101,50,11,49.5,38.6,41,17,5,4,38,3,5,17,0,0,0,57,41.5,5.0,0.4,15.8,
ホフトーマス,2001-03,東レアローズ,19,9,10,0.0,39,22,3,56.4,48.7,0,0,0,4,34,2,7,4,0,0,0,28,,2.2,0.4,3.7,
下村英士,2001-03,JTサンダーズ,16,9,5,0.0,1,1,0,100.0,100.0,0,0,0,0,14,0,0,3,0,0,0,1,,0.2,0.0,5.4,
下田悟,2001-03,JTサンダーズ,7,9,6,0.0,13,5,1,38.5,30.8,1,0,0,2,5,0,0,2,28,15,0,7,0.0,0.83,0.33,10.0,53.6
中野順平,2001-03,東レアローズ,1,9,3,0.0,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
伊勢隆一,2001-03,JTサンダーズ,14,9,9,0.0,24,13,4,54.2,37.5,1,0,1,3,41,0,4,7,0,0,0,16,0.0,1.44,0.33,1.8,
佐々木太一,2001-03,サントリーサンバーズ,2,9,10,0.0,24,9,2,37.5,29.2,0,0,0,8,44,2,10,8,0,0,0,19,,0.9,0.8,3.4,
佐藤宝男,2001-03,NECブルーロケッツ,16,9,2,0.0,3,1,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,0.0,,
加藤陽一,2001-03,東レアローズ,3,9,10,0.0,80,34,9,42.5,31.2,22,9,4,3,43,2,9,7,26,20,0,39,40.9,3.4,0.3,3.5,76.9
大森陽祐,2001-03,NECブルーロケッツ,3,6,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,55,44,0,0,,0.0,0.0,,80.0
大竹秀之,2001-03,NECブルーロケッツ,7,6,4,0.0,11,5,1,45.5,36.4,1,1,0,4,11,0,0,2,0,0,0,9,100.0,1.25,1.0,4.5,
大関元樹,2001-03,NECブルーロケッツ,5,9,8,0.0,14,12,0,85.7,85.7,0,0,0,4,17,0,3,4,0,0,0,16,,1.5,0.5,1.5,
天谷陽介,2001-03,東レアローズ,10,9,1,0.0,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,1,1,0,1,,1.0,0.0,,100.0
奥田晃,2001-03,NECブルーロケッツ,12,9,6,0.0,1,1,0,100.0,100.0,0,0,0,1,9,0,1,2,0,0,0,2,,0.17,0.17,2.8,
守屋信次郎,2001-03,サントリーサンバーズ,7,9,1,0.0,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
宮本守,2001-03,サントリーサンバーズ,3,9,9,0.0,27,16,1,59.3,55.6,9,4,0,1,21,1,4,7,0,0,0,18,44.4,1.78,0.11,8.3,
小坂慎吾,2001-03,サントリーサンバーズ,5,9,5,0.0,18,7,5,38.9,11.1,3,3,0,3,12,1,2,3,27,19,0,11,100.0,1.4,0.6,10.4,70.4
小林敦,2001-03,東レアローズ,11,9,9,0.0,28,13,3,46.4,35.7,0,0,0,7,35,0,2,6,1,1,0,20,,1.44,0.78,2.9,100.0
山口誠,2001-03,東レアローズ,6,9,9,0.0,0,0,0,,,0,0,0,4,29,0,4,1,0,0,0,4,,0.0,0.44,-2.6,
山本健之,2001-03,JTサンダーズ,12,9,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,44,37,0,0,,0.0,0.0,,84.1
山田忠一,2001-03,JTサンダーズ,11,9,8,0.0,7,3,1,42.9,28.6,0,0,0,0,25,0,1,2,0,0,0,3,,0.38,0.0,1.0,
平野信孝,2001-03,JTサンダーズ,2,9,2,0.0,12,4,1,33.3,25.0,4,2,0,0,7,0,2,2,3,2,0,4,50.0,2.0,0.0,0.0,66.7
徳元幸人,2001-03,JTサンダーズ,8,9,9,0.0,42,15,4,35.7,26.2,1,0,1,4,29,0,0,3,90,69,0,19,0.0,1.67,0.44,2.6,76.7
朝日健太郎,2001-03,サントリーサンバーズ,1,9,11,0.0,25,20,0,80.0,80.0,0,0,0,9,24,0,5,4,1,1,0,29,,1.82,0.82,-1.0,100.0
木原丈裕,2001-03,サントリーサンバーズ,12,9,11,0.0,54,24,3,44.4,38.9,7,1,1,0,37,3,3,2,26,14,0,27,14.3,2.18,0.0,7.4,53.8
栗原功武,2001-03,サントリーサンバーズ,15,9,8,0.0,5,2,0,40.0,40.0,0,0,0,0,12,1,1,2,0,0,0,3,,0.25,0.0,10.4,
栗原圭介,2001-03,サントリーサンバーズ,6,9,2,0.0,0,0,0,,,0,0,0,0,7,1,1,1,0,0,0,1,,0.0,0.0,14.3,
河野裕輔,2001-03,JTサンダーズ,4,9,9,0.0,83,47,11,56.6,43.4,37,23,5,3,36,0,3,1,4,2,0,50,62.2,5.22,0.33,-1.4,50.0
泉川正幸,2001-03,東レアローズ,8,9,10,0.0,60,29,7,48.3,36.7,11,5,2,2,49,2,5,8,100,77,0,33,45.5,2.9,0.2,5.6,77.0
津曲勝利,2001-03,サントリーサンバーズ,11,9,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,65,59,0,0,,0.0,0.0,,90.8
浅川敏,2001-03,東レアローズ,18,9,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,84,62,0,0,,0.0,0.0,,73.8
清水雅之,2001-03,サントリーサンバーズ,4,9,10,0.0,2,1,1,50.0,0.0,0,0,0,2,38,0,1,6,0,0,0,3,,0.1,0.2,3.3,
渡貫健三,2001-03,東レアローズ,14,9,9,0.0,2,1,0,50.0,50.0,0,0,0,2,5,1,0,0,0,0,0,4,,0.11,0.22,20.0,
渡邉正堂,2001-03,NECブルーロケッツ,11,9,9,0.0,26,11,5,42.3,23.1,0,0,0,7,37,2,2,2,0,0,0,20,,1.22,0.78,5.4,
直弘龍治,2001-03,JTサンダーズ,10,9,3,0.0,16,7,2,43.8,31.2,9,5,1,2,6,0,1,0,1,0,0,9,55.6,2.33,0.67,-4.2,0.0
竹内実,2001-03,NECブルーロケッツ,6,9,10,0.0,60,24,5,40.0,31.7,5,1,0,2,52,3,7,11,68,55,0,29,20.0,2.4,0.2,7.7,80.9
笠原紀久,2001-03,東レアローズ,5,9,6,0.0,24,7,3,29.2,16.7,0,0,0,2,19,0,1,2,23,17,0,9,,1.17,0.33,1.3,73.9
細川延由,2001-03,NECブルーロケッツ,2,9,10,0.0,79,32,8,40.5,30.4,4,0,3,4,39,3,2,8,60,46,0,39,0.0,3.2,0.4,11.5,76.7
脇戸新之助,2001-03,NECブルーロケッツ,9,9,8,0.0,1,1,0,100.0,100.0,0,0,0,1,24,0,2,1,2,1,0,2,,0.12,0.12,-1.0,50.0
臺光章,2001-03,JTサンダーズ,6,9,7,0.0,2,1,0,50.0,50.0,0,0,0,0,30,0,1,2,0,0,0,1,,0.14,0.0,0.8,
苅谷淳司,2001-03,JTサンダーズ,3,9,10,0.0,13,9,2,69.2,53.8,0,0,0,5,24,0,3,0,0,0,0,14,,0.9,0.5,-3.1,
荻野正二,2001-03,サントリーサンバーズ,10,9,9,0.0,23,7,2,30.4,21.7,2,0,1,4,35,2,4,4,93,80,0,13,0.0,0.78,0.44,5.7,86.0
藤井壮浩,2001-03,NECブルーロケッツ,1,9,6,0.0,1,0,0,0.0,0.0,1,0,0,0,8,0,2,0,4,4,0,0,0.0,0.0,0.0,-6.2,100.0
西村晃一,2001-03,NECブルーロケッツ,8,3,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,22,17,0,0,,0.0,0.0,,77.3
鎌田修,2001-03,NECブルーロケッツ,14,9,7,0.0,0,0,0,,,0,0,0,0,9,0,0,2,0,0,0,0,,0.0,0.0,5.6,
青木一平,2001-03,NECブルーロケッツ,10,3,1,0.0,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
高杉洋平,2001-03,東レアローズ,16,9,1,0.0,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
齋藤信治,2001-03,東レアローズ,7,9,7,0.0,76,37,9,48.7,36.8,21,12,5,1,22,0,4,5,0,0,0,38,57.1,5.29,0.14,1.1,
