名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバンドログエッラ,サントリーサンバーズ,7,89,72,792,411,78,51.9,42.0,360,181,39,34,263,28,69,85,0,0,0,473,50.3,5.71,0.47,12.2,
エルナンデスフェルナンド,ジェイテクトSTINGS,19,76,67,720,324,71,45.0,35.1,277,124,29,14,260,20,84,98,0,0,0,358,44.8,4.84,0.21,9.0,
オムルチェンイゴール,豊田合成トレフェルサ,15,99,84,1079,528,69,48.9,42.5,446,221,37,30,332,25,84,134,0,0,0,583,49.6,6.29,0.36,11.3,
チアーゴアウヴェス,パナソニックパンサーズ,8,75,46,219,95,18,43.4,35.2,5,1,1,22,146,7,25,31,199,132,0,124,20.0,2.07,0.48,5.8,66.3
ブロックソムジョエル,パナソニックパンサーズ,7,54,31,0,0,0,,,0,0,0,0,44,1,11,12,0,0,0,1,,0.0,0.0,2.8,
ペピチミラン,堺ブレイザーズ,6,100,80,781,355,94,45.5,33.4,310,140,49,49,281,23,87,84,0,0,0,427,45.2,4.44,0.61,7.9,
ボヨビッチデヤン,東レアローズ,12,100,82,721,335,62,46.5,37.9,297,140,26,36,294,15,77,95,7,2,0,386,47.1,4.09,0.44,6.6,28.6
ミルシェフダナイル,FC東京,11,100,72,627,270,52,43.1,34.8,259,122,27,25,230,11,79,65,0,0,0,306,47.1,3.75,0.35,3.3,
ヴィソットレアンドロ,JTサンダーズ,18,100,79,791,365,58,46.1,38.8,344,147,37,39,354,41,77,135,3,3,0,445,42.7,4.62,0.49,15.7,100.0
中島健太,JTサンダーズ,4,70,4,2,2,0,100.0,100.0,0,0,0,1,6,0,1,2,0,0,0,3,,0.5,0.25,4.2,
久保山尚,ジェイテクトSTINGS,5,20,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
久原大輝,JTサンダーズ,8,100,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上俊輔,JTサンダーズ,19,100,13,8,3,0,37.5,37.5,1,0,0,4,36,1,7,10,2,0,0,8,0.0,0.23,0.31,4.9,0.0
井上崇昭,豊田合成トレフェルサ,8,89,26,10,5,0,50.0,50.0,0,0,0,2,9,0,0,1,3,1,0,7,,0.19,0.08,2.8,33.3
井上裕介,堺ブレイザーズ,2,100,75,0,0,0,,,0,0,0,0,0,0,0,0,415,277,0,0,,0.0,0.0,,66.7
井手智,東レアローズ,22,100,83,0,0,0,,,0,0,0,0,0,0,0,0,482,314,0,0,,0.0,0.0,,65.1
今村駿,堺ブレイザーズ,19,100,59,8,7,1,87.5,75.0,0,0,0,12,185,3,11,46,4,0,0,22,,0.12,0.2,6.4,0.0
伊藤康貴,堺ブレイザーズ,11,100,34,53,16,5,30.2,20.8,2,0,0,2,83,4,20,23,185,107,0,22,0.0,0.47,0.06,5.7,57.8
伏見大和,東レアローズ,3,6,11,0,0,0,,,0,0,0,0,5,0,3,1,0,0,0,0,,0.0,0.0,-10.0,
佐々木恵三,豊田合成トレフェルサ,17,21,3,5,2,0,40.0,40.0,0,0,0,0,1,0,0,1,0,0,0,2,,0.67,0.0,25.0,
佐川翔,堺ブレイザーズ,8,100,42,8,5,0,62.5,62.5,1,0,0,11,102,0,21,26,2,0,0,16,0.0,0.12,0.26,1.2,0.0
佐野翔,東レアローズ,4,85,13,24,8,2,33.3,25.0,5,2,1,1,12,0,5,3,0,0,0,9,40.0,0.62,0.08,-4.2,
傳田亮太,豊田合成トレフェルサ,22,100,64,157,102,10,65.0,58.6,0,0,0,37,161,4,41,45,2,2,0,143,,1.59,0.58,3.1,100.0
八子大輔,JTサンダーズ,14,100,35,194,84,11,43.3,37.6,14,10,1,9,109,3,18,35,172,85,0,96,71.4,2.4,0.26,6.7,49.4
内山正平,豊田合成トレフェルサ,4,100,88,18,11,1,61.1,55.6,0,0,0,30,293,1,8,76,7,1,0,42,,0.12,0.34,6.1,14.3
内藤和也,堺ブレイザーズ,5,100,41,18,7,2,38.9,27.8,2,2,0,1,68,0,15,23,16,7,0,8,100.0,0.17,0.02,2.9,43.8
出耒田敬,堺ブレイザーズ,7,100,55,131,74,3,56.5,54.2,3,0,0,25,191,7,26,78,0,0,0,106,0.0,1.35,0.45,10.5,
前田一誠,豊田合成トレフェルサ,5,100,19,0,0,0,,,0,0,0,0,20,1,1,4,0,0,0,1,,0.0,0.0,8.8,
千々木駿介,堺ブレイザーズ,10,100,71,364,147,23,40.4,34.1,71,34,4,18,240,8,43,64,377,216,0,173,47.9,2.07,0.25,5.5,57.3
古田史郎,ジェイテクトSTINGS,1,98,53,132,57,9,43.2,36.4,22,11,3,5,49,3,13,4,52,17,0,65,50.0,1.08,0.09,1.5,32.7
古賀太一郎,豊田合成トレフェルサ,19,96,30,0,0,0,,,0,0,0,0,0,0,0,0,38,26,0,0,,0.0,0.0,,68.4
古賀幸一郎,豊田合成トレフェルサ,10,100,88,0,0,0,,,0,0,0,0,0,0,0,0,412,298,0,0,,0.0,0.0,,72.3
吉岡光大,JTサンダーズ,5,99,3,8,3,1,37.5,25.0,0,0,0,0,4,1,0,2,8,3,0,4,,1.0,0.0,37.5,37.5
吉村康佑,パナソニックパンサーズ,9,91,2,0,0,0,,,0,0,0,0,0,0,0,0,5,2,0,0,,0.0,0.0,,40.0
和中謙治,FC東京,28,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂梨朋彦,堺ブレイザーズ,14,100,37,0,0,0,,,0,0,0,0,0,0,0,0,50,36,0,0,,0.0,0.0,,72.0
塚崎祐平,JTサンダーズ,16,77,2,4,2,0,50.0,50.0,0,0,0,0,0,0,0,0,1,1,0,2,,1.0,0.0,,100.0
塩田達也,サントリーサンバーズ,12,54,24,8,6,0,75.0,75.0,0,0,0,1,13,0,6,3,1,1,0,7,,0.25,0.04,-5.8,100.0
大木貴之,東レアローズ,20,43,11,14,5,3,35.7,14.3,3,0,1,1,18,0,2,4,8,7,0,6,0.0,0.45,0.09,2.8,87.5
大竹貴久,パナソニックパンサーズ,16,94,9,0,0,0,,,0,0,0,3,19,1,0,2,0,0,0,4,,0.0,0.33,7.9,
安井勇誠,JTサンダーズ,11,100,15,10,4,0,40.0,40.0,4,1,0,0,18,0,5,5,0,0,0,4,25.0,0.27,0.0,0.0,
安永拓弥,JTサンダーズ,1,54,11,22,8,2,36.4,27.3,0,0,0,5,21,0,6,4,2,0,0,13,,0.73,0.45,-2.4,0.0
富松崇彰,東レアローズ,1,100,83,200,114,13,57.0,50.5,0,0,0,61,265,4,22,86,1,1,0,179,,1.37,0.73,7.5,100.0
小澤翔,JTサンダーズ,10,98,54,244,123,18,50.4,43.0,3,2,1,20,144,6,36,39,318,182,0,149,66.7,2.28,0.37,4.7,57.2
山岡祐也,FC東京,10,61,43,8,6,2,75.0,50.0,0,0,0,6,127,2,4,29,1,0,0,14,,0.14,0.14,6.5,0.0
山本将平,FC東京,6,100,76,439,191,34,43.5,35.8,23,14,2,16,251,16,73,86,737,439,0,223,60.9,2.51,0.21,7.7,59.6
山本洋平,FC東京,23,78,25,1,1,0,100.0,100.0,1,1,0,0,0,0,0,0,30,17,0,1,100.0,0.04,0.0,,56.7
山村宏太,サントリーサンバーズ,1,99,62,143,73,9,51.0,44.8,0,0,0,31,257,8,5,73,8,5,0,112,,1.18,0.5,9.7,62.5
山添信也,パナソニックパンサーズ,3,100,65,116,61,1,52.6,51.7,0,0,0,22,220,4,29,50,2,2,0,87,,0.94,0.34,4.2,100.0
山田脩造,豊田合成トレフェルサ,1,13,12,72,33,4,45.8,40.3,25,14,2,2,26,1,8,6,0,0,0,36,56.0,2.75,0.17,1.9,
山近哲,豊田合成トレフェルサ,2,100,41,82,49,3,59.8,56.1,0,0,0,20,110,1,27,26,1,0,0,70,,1.2,0.49,0.7,0.0
岡本祥吾,サントリーサンバーズ,6,63,14,2,0,0,0.0,0.0,0,0,0,4,25,0,2,10,1,0,0,4,,0.0,0.29,8.0,0.0
岡本秀明,豊田合成トレフェルサ,13,98,53,176,75,13,42.6,35.2,2,1,0,3,125,4,29,46,183,99,0,82,50.0,1.42,0.06,6.6,54.1
島野俊一,ジェイテクトSTINGS,16,79,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
川口太一,豊田合成トレフェルサ,20,44,1,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
巴特,FC東京,4,38,5,2,0,1,0.0,-50.0,0,0,0,2,8,0,0,2,0,0,0,2,,0.0,0.4,6.2,
手塚大,FC東京,9,100,72,553,238,43,43.0,35.3,83,35,11,18,244,8,68,103,242,118,0,264,42.2,3.31,0.25,6.9,48.8
新井洋介,豊田合成トレフェルサ,18,4,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
日高裕次郎,パナソニックパンサーズ,10,83,6,6,3,1,50.0,33.3,0,0,0,1,12,1,1,5,1,0,0,5,,0.5,0.17,16.7,0.0
星谷健太朗,サントリーサンバーズ,17,70,34,40,23,2,57.5,52.5,0,0,0,10,90,1,2,31,3,2,0,34,,0.68,0.29,9.2,66.7
星野秀知,東レアローズ,10,76,53,259,122,13,47.1,42.1,1,0,0,13,168,5,31,46,264,145,0,140,0.0,2.3,0.25,5.2,54.9
木村泰輔,堺ブレイザーズ,15,100,4,0,0,0,,,0,0,0,0,4,0,1,2,0,0,0,0,,0.0,0.0,6.2,
本間隆太,ジェイテクトSTINGS,9,100,67,0,0,0,,,0,0,0,0,0,0,0,0,4,2,0,0,,0.0,0.0,,50.0
李博,東レアローズ,15,100,52,123,65,6,52.8,48.0,0,0,0,25,150,7,8,50,3,0,0,97,,1.25,0.48,11.7,0.0
