名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンドレナシメント,サントリーサンバーズ,9,3,4,32,18,4,56.2,43.8,16,10,2,3,22,3,4,6,0,0,0,24,62.5,4.5,0.75,15.9,
エンダキエムブレイ,堺ブレイザーズ,7,3,4,41,22,2,53.7,48.8,11,7,0,2,13,1,3,4,0,0,0,25,63.6,5.5,0.5,9.6,
チアーゴアウヴェス,パナソニックパンサーズ,11,3,5,30,17,4,56.7,43.3,5,3,1,2,20,1,6,2,16,15,0,20,60.0,3.4,0.4,0.0,93.8
ボヨビッチデヤン,東レアローズ,12,3,5,66,30,2,45.5,42.4,30,13,1,1,29,2,6,4,0,0,0,33,43.3,6.0,0.2,5.2,
二木健太,サントリーサンバーズ,14,3,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井上裕介,堺ブレイザーズ,2,3,4,0,0,0,,,0,0,0,0,0,0,0,0,26,13,0,0,,0.0,0.0,,50.0
今村駿,堺ブレイザーズ,19,3,1,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
今田祐介,東レアローズ,14,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊東勇樹,パナソニックパンサーズ,4,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤康貴,堺ブレイザーズ,11,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐別當賢治,サントリーサンバーズ,15,3,2,0,0,0,,,0,0,0,0,1,0,0,1,1,0,0,0,,0.0,0.0,25.0,0.0
内藤和也,堺ブレイザーズ,5,3,2,0,0,0,,,0,0,0,0,4,0,1,2,0,0,0,0,,0.0,0.0,6.2,
勝野裕士,東レアローズ,15,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
北島武,堺ブレイザーズ,4,3,4,30,10,2,33.3,26.7,2,0,1,2,8,0,2,1,22,13,0,12,0.0,2.5,0.5,-3.1,59.1
名田篤史,堺ブレイザーズ,9,3,1,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,4,2,0,1,,1.0,0.0,,50.0
坂本雄一郎,サントリーサンバーズ,3,3,4,3,1,1,33.3,0.0,0,0,0,0,2,0,0,0,0,0,0,1,,0.25,0.0,0.0,
坂梨朋彦,堺ブレイザーズ,14,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大竹貴久,パナソニックパンサーズ,16,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大道大輔,堺ブレイザーズ,18,3,4,8,4,1,50.0,37.5,0,0,0,1,14,0,0,2,0,0,0,5,,1.0,0.25,3.6,
宇佐美大輔,パナソニックパンサーズ,2,3,5,1,0,0,0.0,0.0,0,0,0,1,26,0,5,8,0,0,0,1,,0.0,0.2,2.9,
富松崇彰,東レアローズ,1,3,5,8,7,0,87.5,87.5,0,0,0,8,17,0,1,5,0,0,0,15,,1.4,1.6,5.9,
山本拓矢,パナソニックパンサーズ,7,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
