名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三芳健斗,2011-01,富士通カワサキレッドスピリッツ,6,7,21,64,39,5,60.9,53.1,0,0,0,22,50,6,4,11,3,1,0,,1.86,1.05,15.5,33.3
三芳健斗,2011-02,富士通カワサキレッドスピリッツ,6,16,33,121,59,10,48.8,40.5,0,0,0,13,71,4,3,23,2,0,0,,1.79,0.39,12.7,0.0
三芳健斗,2011-03,富士通カワサキレッドスピリッツ,6,6,5,14,7,3,50.0,28.6,0,0,0,6,6,1,1,1,0,0,0,,1.4,1.2,16.7,
上道映人,2011-01,トヨタ自動車サンホークス,13,7,23,118,41,20,34.7,17.8,20,3,8,3,81,8,26,24,72,38,0,15.0,1.78,0.13,9.3,52.8
上道映人,2011-02,トヨタ自動車サンホークス,13,16,30,221,100,29,45.2,32.1,28,7,10,6,116,4,29,33,76,45,0,25.0,3.33,0.2,4.3,59.2
上道映人,2011-03,トヨタ自動車サンホークス,13,6,7,50,21,13,42.0,16.0,8,1,4,1,26,1,6,9,5,2,0,12.5,3.0,0.14,6.7,40.0
下田健一,2011-01,警視庁フォートファイターズ,11,7,14,17,6,2,35.3,23.5,6,2,0,0,24,1,4,6,1,0,0,33.3,0.43,0.0,6.2,0.0
下田健一,2011-02,警視庁フォートファイターズ,11,14,15,15,6,4,40.0,13.3,7,2,3,1,22,0,6,6,0,0,0,28.6,0.4,0.07,0.0,
下田健一,2011-03,警視庁フォートファイターズ,11,6,3,6,2,1,33.3,16.7,2,0,1,1,6,1,2,2,0,0,0,0.0,0.67,0.33,16.7,
中島俊介,2011-01,東京ヴェルディ,15,8,31,287,143,44,49.8,34.5,98,42,22,15,93,6,32,32,57,28,0,42.9,4.61,0.48,6.5,49.1
中島俊介,2011-02,東京ヴェルディ,15,14,24,245,131,30,53.5,41.2,69,32,17,10,94,14,29,26,60,34,0,46.4,5.46,0.42,14.1,56.7
中島俊介,2011-03,東京ヴェルディ,15,3,4,51,27,8,52.9,37.3,16,6,4,0,14,0,6,6,4,2,0,37.5,6.75,0.0,0.0,50.0
中島健太,2011-01,近畿クラブスフィーダ,19,5,8,47,23,7,48.9,34.0,9,2,4,3,18,0,1,6,3,2,0,22.2,2.88,0.38,6.9,66.7
中島健太,2011-02,近畿クラブスフィーダ,19,16,21,93,41,15,44.1,28.0,12,7,2,13,56,2,7,14,4,1,0,58.3,1.95,0.62,6.7,25.0
中島健太,2011-03,近畿クラブスフィーダ,19,6,10,49,25,9,51.0,32.7,7,2,3,6,26,0,2,7,3,1,0,28.6,2.5,0.6,4.8,33.3
中川剛,2011-01,富士通カワサキレッドスピリッツ,1,7,16,90,49,7,54.4,46.7,16,9,3,11,38,3,2,12,1,1,0,56.2,3.06,0.69,14.5,100.0
中川剛,2011-02,富士通カワサキレッドスピリッツ,1,16,24,187,101,21,54.0,42.8,73,41,10,8,92,2,5,37,0,0,0,56.2,4.21,0.33,10.9,
中川剛,2011-03,富士通カワサキレッドスピリッツ,1,6,5,17,5,1,29.4,23.5,0,0,0,1,7,0,0,0,0,0,0,,1.0,0.2,0.0,
中村成輔,2011-01,兵庫デルフィーノ,21,8,29,11,5,2,45.5,27.3,0,0,0,2,91,4,5,46,1,1,0,,0.17,0.07,15.7,100.0
中村成輔,2011-02,兵庫デルフィーノ,21,12,14,4,2,0,50.0,50.0,0,0,0,2,48,0,2,22,0,0,0,,0.14,0.14,10.4,
中村成輔,2011-03,兵庫デルフィーノ,21,6,7,1,1,0,100.0,100.0,0,0,0,1,20,0,2,7,0,0,0,,0.14,0.14,6.2,
中村航太朗,2011-01,警視庁フォートファイターズ,13,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中沢敏浩,2011-01,東京トヨペットグリーンスパークル,4,7,22,0,0,0,,,0,0,0,0,0,0,0,0,150,96,0,,0.0,0.0,,64.0
中沢敏浩,2011-02,東京トヨペットグリーンスパークル,4,14,27,0,0,0,,,0,0,0,0,0,0,0,0,166,86,0,,0.0,0.0,,51.8
中沢敏浩,2011-03,東京トヨペットグリーンスパークル,4,6,7,0,0,0,,,0,0,0,0,0,0,0,0,53,27,0,,0.0,0.0,,50.9
中田学,2011-01,警視庁フォートファイターズ,24,7,4,14,4,0,28.6,28.6,1,0,0,1,4,0,0,0,3,2,0,0.0,1.0,0.25,0.0,66.7
中田学,2011-02,警視庁フォートファイターズ,24,14,19,149,69,16,46.3,35.6,50,18,10,7,62,0,11,15,3,1,0,36.0,3.63,0.37,1.6,33.3
中田学,2011-03,警視庁フォートファイターズ,24,6,8,71,27,9,38.0,25.4,32,13,5,5,34,0,1,14,0,0,0,40.6,3.38,0.62,9.6,
中西優介,2011-01,きんでんトリニティーブリッツ,16,7,11,19,5,6,26.3,-5.3,0,0,0,1,24,2,0,6,35,21,0,,0.45,0.09,14.6,60.0
中西優介,2011-02,きんでんトリニティーブリッツ,16,14,18,44,17,2,38.6,34.1,0,0,0,5,49,0,1,13,80,52,0,,0.94,0.28,6.1,65.0
中西教之,2011-01,きんでんトリニティーブリッツ,5,1,1,3,2,0,66.7,66.7,0,0,0,1,1,0,0,0,1,1,0,,2.0,1.0,0.0,100.0
中西教之,2011-02,きんでんトリニティーブリッツ,5,14,17,52,24,3,46.2,40.4,0,0,0,6,48,1,6,6,7,3,0,,1.41,0.35,2.1,42.9
中西教之,2011-03,きんでんトリニティーブリッツ,5,6,7,24,6,1,25.0,20.8,0,0,0,5,26,1,0,18,3,3,0,,0.86,0.71,21.2,100.0
中道元貴,2011-01,警視庁フォートファイターズ,14,7,28,218,96,22,44.0,33.9,11,5,2,8,106,7,19,32,171,113,0,45.5,3.43,0.29,9.7,66.1
中道元貴,2011-02,警視庁フォートファイターズ,14,14,26,200,85,28,42.5,28.5,9,1,3,9,96,6,15,42,171,118,0,11.1,3.27,0.35,13.3,69.0
中道元貴,2011-03,警視庁フォートファイターズ,14,6,10,67,27,9,40.3,26.9,4,1,2,2,33,2,6,9,74,52,0,25.0,2.7,0.2,8.3,70.3
中道淑人,2011-01,大同特殊鋼レッドスター,17,7,19,0,0,0,,,0,0,0,0,22,1,3,10,23,14,0,,0.0,0.0,12.5,60.9
中道淑人,2011-02,大同特殊鋼レッドスター,17,16,25,0,0,0,,,0,0,0,0,17,1,3,6,51,27,0,,0.0,0.0,10.3,52.9
中道淑人,2011-03,大同特殊鋼レッドスター,17,6,5,0,0,0,,,0,0,0,0,5,1,2,0,4,0,0,,0.0,0.0,10.0,0.0
久原大輝,2011-01,つくばユナイテッドSunGAIA,19,7,5,4,1,1,25.0,0.0,1,0,0,0,8,0,4,2,14,7,0,0.0,0.2,0.0,-6.2,50.0
久原大輝,2011-02,つくばユナイテッドSunGAIA,19,12,8,32,15,2,46.9,40.6,0,0,0,0,21,1,8,4,58,38,0,,1.88,0.0,0.0,65.5
久原大輝,2011-03,つくばユナイテッドSunGAIA,19,3,3,20,6,1,30.0,25.0,0,0,0,3,15,1,1,6,33,20,0,,2.0,1.0,15.0,60.6
井上人哉,2011-01,警視庁フォートファイターズ,7,7,15,0,0,0,,,0,0,0,0,25,1,0,4,0,0,0,,0.0,0.0,8.0,
井上人哉,2011-02,警視庁フォートファイターズ,7,14,12,0,0,0,,,0,0,0,0,15,0,0,4,0,0,0,,0.0,0.0,6.7,
井上人哉,2011-03,警視庁フォートファイターズ,7,6,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
井上佑馬,2011-01,東京トヨペットグリーンスパークル,13,7,21,82,29,8,35.4,25.6,0,0,0,7,73,3,6,15,6,3,0,,1.38,0.33,7.2,50.0
井上佑馬,2011-02,東京トヨペットグリーンスパークル,13,14,27,91,39,7,42.9,35.2,0,0,0,9,95,2,4,33,2,0,0,,1.44,0.33,9.7,0.0
井上佑馬,2011-03,東京トヨペットグリーンスパークル,13,6,7,12,3,3,25.0,0.0,0,0,0,3,15,0,1,7,1,0,0,,0.43,0.43,10.0,0.0
井上優人,2011-01,兵庫デルフィーノ,1,8,29,104,45,5,43.3,38.5,5,2,0,16,122,8,12,41,5,3,0,40.0,1.55,0.55,12.5,60.0
井上優人,2011-02,兵庫デルフィーノ,1,10,17,54,23,5,42.6,33.3,1,0,0,9,57,2,7,18,7,6,0,0.0,1.35,0.53,8.3,85.7
井上優人,2011-03,兵庫デルフィーノ,1,6,7,30,11,0,36.7,36.7,2,0,0,4,26,2,2,11,2,1,0,0.0,1.57,0.57,16.3,50.0
井上周二,2011-01,兵庫デルフィーノ,6,8,29,197,84,16,42.6,34.5,11,4,1,3,134,2,12,27,251,167,0,36.4,2.9,0.1,4.3,66.5
井上周二,2011-02,兵庫デルフィーノ,6,12,20,120,41,5,34.2,30.0,5,2,1,7,93,6,10,31,202,125,0,40.0,2.05,0.35,12.1,61.9
井上周二,2011-03,兵庫デルフィーノ,6,6,8,45,16,1,35.6,33.3,1,0,0,2,23,0,2,5,87,55,0,0.0,2.0,0.25,3.3,63.2
今田善仁,2011-01,きんでんトリニティーブリッツ,4,7,16,3,1,0,33.3,33.3,0,0,0,1,26,1,1,6,2,0,0,,0.06,0.06,8.7,0.0
今田善仁,2011-02,きんでんトリニティーブリッツ,4,14,8,4,3,0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,,0.38,0.0,,
今田善仁,2011-03,きんでんトリニティーブリッツ,4,6,6,6,4,0,66.7,66.7,0,0,0,1,20,0,0,7,0,0,0,,0.67,0.17,8.8,
伊勢谷将弘,2011-01,近畿クラブスフィーダ,22,4,10,0,0,0,,,0,0,0,0,3,0,0,1,65,25,0,,0.0,0.0,8.3,38.5
伊勢谷将弘,2011-02,近畿クラブスフィーダ,22,10,14,0,0,0,,,0,0,0,0,5,0,1,2,56,31,0,,0.0,0.0,5.0,55.4
伊勢谷将弘,2011-03,近畿クラブスフィーダ,22,6,10,0,0,0,,,0,0,0,0,0,0,0,0,104,59,0,,0.0,0.0,,56.7
伊藤優介,2011-01,東京トヨペットグリーンスパークル,1,7,22,157,39,23,24.8,10.2,24,4,6,9,69,3,10,25,33,18,0,16.7,1.77,0.41,9.8,54.5
伊藤優介,2011-02,東京トヨペットグリーンスパークル,1,14,22,128,53,20,41.4,25.8,38,19,8,9,62,2,14,19,13,7,0,50.0,2.41,0.41,5.2,53.8
伊藤優介,2011-03,東京トヨペットグリーンスパークル,1,6,7,21,9,3,42.9,28.6,4,2,1,1,14,0,3,3,15,4,0,50.0,1.29,0.14,0.0,26.7
伊藤勲男,2011-01,近畿クラブスフィーダ,6,6,12,90,25,17,27.8,8.9,9,4,2,2,33,6,13,10,5,4,0,44.4,2.08,0.17,15.9,80.0
伊藤勲男,2011-02,近畿クラブスフィーダ,6,16,11,56,24,5,42.9,33.9,3,1,0,3,26,1,12,9,1,0,0,33.3,2.18,0.27,1.0,0.0
