試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2011-01-08,2011-01,1,警視庁フォートファイターズ,1,,東條航,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,2,,清水大輔,3,■,■,■,,,7,1,0,0.14285714285714285,0.14285714285714285,0.33,0,0,0,-,5,1.67,10,1,0,3,15.5,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,4,,福田健太,3,■,■,■,,,33,14,2,0.42424242424242425,0.3636363636363637,4.67,10,3,2,30.0,1,0.33,9,0,2,2,5.6,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,5,,平林康裕,3,■,■,■,,,4,2,1,0.5,0.25,0.67,0,0,0,-,0,-,11,0,0,5,11.4,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,6,,松本幸博,3,■,■,■,,,18,6,1,0.3333333333333333,0.2777777777777778,2.00,1,1,0,100.0,1,0.33,9,0,0,1,2.8,26,20,0,76.9
2011-01-08,2011-01,1,警視庁フォートファイターズ,7,L,井上人哉,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,8,L,石川俊輔,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,12,0,52.2
2011-01-08,2011-01,1,警視庁フォートファイターズ,10,,岩知道呂夫,3,■,■,■,,,1,0,0,0.0,0.0,-,0,0,0,-,2,0.67,15,1,2,2,10.0,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,11,,下田健一,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,13,,中村航太朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,14,,中道元貴,2,■,■,,,,9,2,1,0.2222222222222222,0.1111111111111111,1.00,1,0,0,0.0,0,-,7,0,1,1,3.6,14,5,0,35.7
2011-01-08,2011-01,1,警視庁フォートファイターズ,20,,鈴木雅史,1,,,□,,,1,1,0,1.0,1.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,警視庁フォートファイターズ,24,,中田学,2,,□,■,,,11,4,0,0.3636363636363637,0.3636363636363637,2.00,1,0,0,0.0,1,0.50,2,0,0,0,0.0,2,1,0,50.0
2011-01-08,2011-01,1,警視庁フォートファイターズ,25,,金丸将大,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,1,,中川剛,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,4,,神山哲郎,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,6,,三芳健斗,3,■,■,■,,,8,4,1,0.5,0.375,1.33,0,0,0,-,3,1.00,7,0,0,3,10.7,1,0,0,0.0
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,7,,勝田祥平,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,8,,廣本遥,3,■,■,■,,,25,11,1,0.44,0.4,3.67,2,0,1,0.0,1,0.33,9,0,2,1,2.8,13,8,0,61.5
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,9,,平澤徹,3,■,■,■,,,13,5,1,0.38461538461538464,0.3076923076923077,1.67,0,0,0,-,2,0.67,8,0,0,2,6.2,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,11,L,呉屋宏和,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,12,,松本健作,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,13,,渡辺聖太,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,14,,岩井浩二,3,■,■,■,,,27,13,3,0.4814814814814815,0.3703703703703704,4.33,1,0,1,0.0,3,1.00,14,2,1,9,30.4,19,13,0,68.4
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,15,,北沢浩,3,■,■,■,,,2,1,0,0.5,0.5,0.33,0,0,0,-,1,0.33,11,0,1,1,2.3,1,0,0,0.0
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,17,L,藤森圭,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,22,0,91.7
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,18,,小川直紀,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,5,1,0,0,16.0,0,0,0,-
2011-01-08,2011-01,1,富士通カワサキレッドスピリッツ,19,,松野昭博,3,■,■,■,,,32,12,5,0.375,0.21875,4.00,12,4,4,33.3,1,0.33,14,1,2,8,20.0,0,0,0,-
2011-01-08,2011-01,1,近畿クラブスフィーダ,1,,川越裕康,2,■,■,,,,8,2,0,0.25,0.25,1.00,0,0,0,-,3,1.50,6,0,1,1,4.2,1,1,0,100.0
