試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,1,,奥田恭子,4,■,■,■,■,nan,39,17,2,43.6,38.5,4.25,0,0,0,-,0,-,12,0,1,2,4.2,39,34,0,87.2,17
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,2,,矢野美子,4,■,■,■,■,nan,21,10,1,47.6,42.9,2.50,0,0,0,-,0,-,12,0,1,2,4.2,0,0,0,-,10
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,4,,細田絵理,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,5,,熊谷桜子,4,■,■,■,■,nan,3,1,1,33.3,0.0,0.25,0,0,0,-,2,0.50,12,0,0,4,8.3,0,0,0,-,3
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,6,,鈴木裕子,4,■,■,■,■,nan,22,10,2,45.5,36.4,2.50,0,0,0,-,1,0.25,13,0,2,4,7.7,21,18,0,85.7,11
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,8,,井上香織,4,■,■,■,■,nan,15,8,0,53.3,53.3,2.00,0,0,0,-,1,0.25,20,0,2,5,6.2,0,0,0,-,9
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,9,L,櫻井由香,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,18,0,90.0,0
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,11,,井上奈々朱,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,14,L,高橋菜穂子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2010-11-27,2010-11,デンソーエアリービーズ,JTマーヴェラス,3,1,1,15,,本田つばさ,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
